"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","94.4% ","95.0% ","78.8% ","98.9% ","94.2% ","95.6% ","88.9% ","95.7% ","1.37% ","4.11% ","8.14% ","0.53% ","3.32% ","1.64% ","3.85% ","1.34% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","78.8% ","78.5% ","70.8% ","79.5% ","75.0% ","81.0% ","76.9% ","79.2% ","2.48% ","6.34% ","10.93% ","4.36% ","2.61% ","3.63% ","5.10% ","2.76% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","74.4% ","74.6% ","55.8% ","78.6% ","70.7% ","77.4% ","68.4% ","75.8% ","2.86% ","7.01% ","9.02% ","4.30% ","3.61% ","4.17% ","5.13% ","3.14% "
"II.B.4","Number of part-time employees","181,167 ","36,504 ","21,471 ","38,123 ","16,770 ","68,298 ","78,508 ","102,659 ","19,587 ","7,191 ","4,490 ","6,976 ","3,678 ","16,166 ","9,136 ","17,626 "
"II.B.4.a","Percent of number of part-time employees","181,167 ","20.1% ","11.9% ","21.0% ","9.3% ","37.7% ","43.3% ","56.7% ","19,587 ","3.81% ","2.57% ","3.76% ","2.11% ","6.02% ","5.17% ","5.17% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","57.3% ","13.3%*","35.3%*","46.5% ","91.1% ","85.6% ","22.5% ","83.9% ","5.67% ","5.30%*","10.82%*","11.03% ","5.65% ","11.34% ","4.90% ","8.14% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","32.3% ","suppressed","suppressed","14.2%*","33.7%*","36.9% ","32.6% ","32.2% ","6.15% ","suppressed","suppressed","6.07%*","12.25%*","9.99% ","8.23% ","7.23% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","60.2% ","suppressed","suppressed","suppressed","suppressed","65.6% ","suppressed","64.3% ","6.70% ","suppressed","suppressed","suppressed","suppressed","8.25% ","suppressed","7.08% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","19.4% ","suppressed","suppressed","6.5%*","22.0%*","24.2%*","13.0%*","20.7% ","5.00% ","suppressed","suppressed","3.64%*","10.79%*","8.22%*","4.40%*","5.97% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,770 ","9,264 ","7,621 ","8,278 ","9,243 ","8,847 ","8,815 ","8,760 ","378.17 ","1147.63 ","979.92 ","586.45 ","594.81 ","639.21 ","563.71 ","443.08 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","9,040 ","suppressed","suppressed","9,318 ","suppressed","9,238 ","9,593 ","8,868 ","550.41 ","suppressed","suppressed","1380.91 ","suppressed","428.46 ","1382.95 ","579.69 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,845 ","suppressed","7,601 ","8,186 ","9,544 ","8,824 ","8,850 ","8,845 ","535.18 ","suppressed","1360.91 ","691.23 ","695.88 ","827.07 ","727.48 ","607.35 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","7,739 ","suppressed","suppressed","7,135 ","8,906 ","7,782 ","7,716 ","7,752 ","434.95 ","suppressed","suppressed","820.42 ","797.04 ","422.66 ","613.88 ","590.50 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,404 ","9,264 ","7,621 ","8,565 ","8,355 ","8,202 ","8,728 ","8,117 ","380.88 ","1147.63 ","979.92 ","612.38 ","876.81 ","345.93 ","592.87 ","486.67 "
