"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","34.8% ","suppressed","suppressed","suppressed","suppressed","27.8%*","suppressed","32.7% ","8.74% ","suppressed","suppressed","suppressed","suppressed","9.15%*","suppressed","8.88% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","6.4%*","0% ","suppressed","12.8%*","2.9%*","6.3%*","8.3%*","6.1%*","2.10%*","0% ","suppressed","10.20%*","1.90%*","2.77%*","6.59%*","2.19%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","9,557 ","suppressed","9,709 ","9,441 ","10,061 ","9,379 ","9,260 ","9,618 ","256.14 ","suppressed","853.91 ","688.63 ","363.25 ","405.18 ","706.37 ","272.38 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","9,155 ","suppressed","suppressed","8,941 ","9,097 ","9,731 ","9,255 ","9,106 ","455.03 ","suppressed","suppressed","741.96 ","604.56 ","444.25 ","1110.39 ","428.55 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,404 ","suppressed","7,863 ","9,014 ","9,969 ","9,240 ","8,348 ","9,547 ","258.78 ","suppressed","689.74 ","864.35 ","412.04 ","349.80 ","622.78 ","279.00 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","10,840 ","suppressed","9,745 ","suppressed","12,503 ","9,918 ","suppressed","10,574 ","1108.21 ","suppressed","933.80 ","suppressed","995.88 ","1946.26 ","suppressed","1208.48 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","9,208 ","suppressed","10,016 ","9,736 ","9,938 ","8,266 ","9,259 ","9,191 ","404.71 ","suppressed","1263.15 ","989.56 ","577.58 ","382.10 ","990.62 ","423.95 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,831 ","10,819 ","9,158 ","8,864 ","10,153 ","9,863 ","9,263 ","9,894 ","316.21 ","1062.22 ","691.98 ","673.80 ","454.61 ","532.96 ","651.92 ","342.85 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","2,052 ","suppressed","suppressed","2,439 ","2,060 ","2,017 ","1,809 ","2,102 ","126.34 ","suppressed","suppressed","316.11 ","233.26 ","156.47 ","334.48 ","134.42 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,208 ","suppressed","suppressed","2,808 ","1,988 ","suppressed","2,210 ","2,206 ","268.22 ","suppressed","suppressed","274.85 ","181.14 ","suppressed","625.04 ","258.51 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,072 ","suppressed","suppressed","2,144 ","2,113 ","2,139 ","1,646*","2,130 ","162.87 ","suppressed","suppressed","494.77 ","316.63 ","196.00 ","507.39*","171.93 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,744 ","suppressed","suppressed","suppressed","suppressed","1,535 ","suppressed","1,837 ","209.13 ","suppressed","suppressed","suppressed","suppressed","279.56 ","suppressed","240.37 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,028 ","suppressed","suppressed","2,493 ","2,000 ","1,792 ","2,118 ","1,996 ","176.74 ","suppressed","suppressed","436.23 ","178.52 ","86.95 ","458.84 ","179.42 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,072 ","suppressed","suppressed","2,333 ","2,105 ","2,114 ","suppressed","2,170 ","176.46 ","suppressed","suppressed","420.23 ","381.78 ","211.37 ","suppressed","184.88 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","21.5% ","suppressed","suppressed","25.8% ","20.5% ","21.5% ","19.5% ","21.9% ","1.19% ","suppressed","suppressed","2.76% ","2.19% ","1.59% ","3.34% ","1.25% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","24.1% ","suppressed","suppressed","31.4% ","21.9% ","suppressed","23.9% ","24.2% ","2.43% ","suppressed","suppressed","2.00% ","1.55% ","suppressed","5.24% ","2.49% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","22.0% ","suppressed","suppressed","23.8% ","21.2% ","23.1% ","19.7% ","22.3% ","1.47% ","suppressed","suppressed","4.26% ","3.00% ","1.58% ","5.90% ","1.49% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","16.1% ","suppressed","suppressed","suppressed","suppressed","15.5%*","suppressed","17.4% ","2.61% ","suppressed","suppressed","suppressed","suppressed","5.07%*","suppressed","3.20% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","22.0% ","suppressed","suppressed","25.6% ","20.1% ","21.7% ","22.9% ","21.7% ","1.60% ","suppressed","suppressed","3.72% ","1.70% ","1.86% ","4.52% ","1.50% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","21.1% ","suppressed","suppressed","26.3% ","20.7% ","21.4% ","suppressed","21.9% ","1.71% ","suppressed","suppressed","3.13% ","3.56% ","2.06% ","suppressed","1.79% "
