"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,086 ","10,623 ","suppressed","8,939 ","9,834 ","8,672 ","10,093 ","8,912 ","319.61 ","657.41 ","suppressed","1266.93 ","463.18 ","404.41 ","660.23 ","353.00 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","9,460 ","suppressed","suppressed","7,299 ","11,675 ","9,820 ","6,797 ","10,044 ","763.45 ","suppressed","suppressed","291.90 ","1463.82 ","999.58 ","488.65 ","862.53 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","9,221 ","suppressed","8,997 ","9,286 ","9,706 ","9,319 ","9,198 ","9,234 ","474.47 ","suppressed","972.00 ","1375.72 ","879.83 ","574.61 ","655.73 ","636.20 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","8,724 ","suppressed","suppressed","7,318 ","10,395 ","8,488 ","suppressed","8,795 ","233.20 ","suppressed","suppressed","475.27 ","759.54 ","215.14 ","suppressed","235.51 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","2,012 ","suppressed","suppressed","2,316 ","2,818 ","1,818 ","1,388*","2,118 ","206.88 ","suppressed","suppressed","441.05 ","634.78 ","238.22 ","433.80*","225.13 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,025 ","suppressed","suppressed","suppressed","1,727 ","974 ","suppressed","1,034 ","107.98 ","suppressed","suppressed","suppressed","341.70 ","95.40 ","suppressed","93.57 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,117 ","suppressed","suppressed","1,795 ","3,192*","1,915 ","suppressed","2,210 ","302.27 ","suppressed","suppressed","240.31 ","966.27*","293.11 ","suppressed","321.46 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","3,066 ","0 ","suppressed","suppressed","suppressed","3,894 ","suppressed","3,448 ","571.25 ","0 ","suppressed","suppressed","suppressed","1160.12 ","suppressed","629.79 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,638 ","suppressed","suppressed","1,732 ","1,937 ","1,921 ","1,169*","1,898 ","228.35 ","suppressed","suppressed","265.89 ","369.02 ","199.85 ","545.31*","165.66 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,180 ","suppressed","suppressed","suppressed","3,263 ","1,803 ","2,095 ","2,185 ","270.39 ","suppressed","suppressed","suppressed","884.84 ","271.72 ","166.36 ","283.79 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","22.7% ","1.5%*","suppressed","27.5% ","27.7% ","21.2% ","15.8%*","23.8% ","2.31% ","1.14%*","suppressed","6.08% ","6.67% ","2.62% ","4.91%*","2.52% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","12.8% ","suppressed","suppressed","suppressed","23.0% ","12.1% ","suppressed","12.8% ","1.25% ","suppressed","suppressed","suppressed","2.94% ","1.03% ","suppressed","1.02% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","23.3% ","1.0%*","suppressed","20.1% ","32.5%*","22.1% ","suppressed","24.8% ","3.22% ","0.82%*","suppressed","3.10% ","9.98%*","3.05% ","suppressed","3.45% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","32.4% ","0% ","suppressed","suppressed","suppressed","39.7% ","suppressed","34.3% ","5.86% ","0% ","suppressed","suppressed","suppressed","8.10% ","suppressed","6.51% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","17.8% ","1.5%*","suppressed","18.6% ","20.0% ","20.6% ","12.7%*","20.6% ","2.40% ","1.14%*","suppressed","3.29% ","3.07% ","2.60% ","5.70%*","1.72% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","25.0% ","suppressed","suppressed","suppressed","31.4%*","21.2% ","28.5% ","24.8% ","3.06% ","suppressed","suppressed","suppressed","9.44%*","3.00% ","1.47% ","3.21% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","54.4% ","71.0% ","58.1% ","75.5% ","51.3% ","50.7% ","67.2% ","52.7% ","2.73% ","11.25% ","10.75% ","5.79% ","8.05% ","3.03% ","6.61% ","2.91% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","9.5% ","suppressed","suppressed","7.1%*","suppressed","3.8%*","41.7% ","4.0%*","2.34% ","suppressed","suppressed","4.77%*","suppressed","1.72%*","12.07% ","1.37%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","69.1% ","0% ","0% ","43.7%*","66.4% ","87.5% ","23.6%*","76.7% ","3.71% ","0% ","0% ","14.66%*","8.12% ","3.43% ","12.02%*","3.69% "
