"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","72.7% ","9.4%*","51.1% ","70.5% ","88.1% ","94.7% ","31.1% ","93.1% ","3.74% ","7.32%*","10.03% ","7.69% ","6.67% ","2.10% ","6.76% ","2.37% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","92.5% ","100% ","95.3% ","89.8% ","86.7% ","94.7% ","88.9% ","93.1% ","1.99% ","0% ","3.36% ","8.14% ","4.69% ","2.28% ","7.16% ","1.97% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","71.1% ","67.6% ","66.3% ","70.1% ","75.4% ","70.5% ","63.6% ","72.3% ","3.18% ","6.71% ","4.13% ","5.80% ","4.35% ","5.10% ","3.95% ","3.66% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","65.8% ","67.6% ","63.2% ","63.0% ","65.4% ","66.8% ","56.6% ","67.3% ","3.03% ","6.71% ","4.69% ","7.27% ","5.07% ","4.77% ","5.46% ","3.43% "
"II.B.4","Number of part-time employees","76,449 ","22,905*","12,499 ","10,592 ","8,765*","21,686 ","42,927 ","33,522 ","10,026 ","7,590*","3,502 ","2,124 ","2,827*","4,492 ","8,553 ","5,354 "
"II.B.4.a","Percent of number of part-time employees","76,449 ","30.0% ","16.4% ","13.9% ","11.5%*","28.4% ","56.2% ","43.8% ","10,026 ","7.45% ","4.38% ","3.02% ","3.59%*","5.36% ","6.33% ","6.33% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","50.1% ","suppressed","59.2% ","28.3%*","87.0% ","89.6% ","21.1%*","87.2% ","6.83% ","suppressed","13.14% ","8.78%*","9.28% ","5.67% ","7.66%*","4.76% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","23.6% ","suppressed","suppressed","30.4%*","11.2%*","27.8%*","25.2%*","23.0% ","5.48% ","suppressed","suppressed","10.86%*","5.54%*","9.14%*","11.43%*","6.25% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","43.7% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","45.8% ","7.62% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","8.60% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","10.3% ","0% ","suppressed","15.6%*","suppressed","13.2%*","9.4%*","10.6% ","2.91% ","0% ","suppressed","8.85%*","suppressed","4.68%*","6.91%*","3.15% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","10,630 ","suppressed","10,945 ","12,774 ","12,236 ","9,377 ","11,082 ","10,536 ","336.17 ","suppressed","1259.03 ","1227.05 ","784.99 ","312.50 ","898.57 ","365.88 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","10,362 ","suppressed","11,128 ","suppressed","13,912 ","9,041 ","11,028 ","10,067 ","685.78 ","suppressed","711.28 ","suppressed","1287.08 ","347.69 ","713.73 ","953.71 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","10,578 ","suppressed","suppressed","14,161 ","11,710 ","9,358 ","10,571 ","10,579 ","427.08 ","suppressed","suppressed","1527.73 ","854.95 ","416.37 ","1595.43 ","431.12 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","11,705 ","suppressed","suppressed","12,400 ","14,368 ","10,232 ","13,587 ","11,167 ","646.52 ","suppressed","suppressed","961.92 ","775.43 ","661.27 ","475.61 ","779.89 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","11,246 ","suppressed","12,131 ","13,010 ","11,798 ","8,408 ","11,754 ","10,982 ","568.90 ","suppressed","835.21 ","1303.73 ","1133.27 ","801.83 ","748.76 ","790.19 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","10,107 ","suppressed","suppressed","suppressed","12,979 ","9,617 ","suppressed","10,280 ","384.26 ","suppressed","suppressed","suppressed","928.28 ","303.09 ","suppressed","358.17 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,931 ","2,960 ","suppressed","2,340 ","1,946 ","1,876 ","1,866 ","1,945 ","155.29 ","76.25 ","suppressed","381.86 ","349.67 ","185.88 ","493.48 ","156.57 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,405 ","suppressed","suppressed","suppressed","suppressed","1,415 ","suppressed","1,666 ","275.27 ","suppressed","suppressed","suppressed","suppressed","214.06 ","suppressed","264.87 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,092 ","3,022 ","suppressed","2,321 ","1,918 ","1,994 ","suppressed","1,986 ","186.76 ","25.66 ","suppressed","404.74 ","424.51 ","237.99 ","suppressed","189.63 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,914 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","2,172 ","519.35 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","619.11 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,958 ","2,960 ","suppressed","2,161 ","1,876 ","1,895 ","2,047 ","1,912 ","248.23 ","76.25 ","suppressed","355.90 ","516.86 ","308.56 ","513.77 ","267.63 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,908 ","suppressed","suppressed","suppressed","2,063 ","1,872 ","suppressed","1,964 ","194.74 ","suppressed","suppressed","suppressed","333.22 ","222.13 ","suppressed","192.28 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","18.2% ","suppressed","suppressed","18.3% ","15.9% ","20.0% ","16.8% ","18.5% ","1.53% ","suppressed","suppressed","2.73% ","3.35% ","2.08% ","4.04% ","1.65% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","13.6% ","suppressed","suppressed","suppressed","suppressed","15.7% ","suppressed","16.5% ","2.36% ","suppressed","suppressed","suppressed","suppressed","2.55% ","suppressed","1.82% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","19.8% ","suppressed","suppressed","16.4% ","16.4% ","21.3% ","26.7% ","18.8% ","1.97% ","suppressed","suppressed","3.02% ","4.46% ","2.71% ","3.78% ","2.12% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","16.3% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","19.5% ","4.45% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","5.45% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","17.4% ","suppressed","suppressed","16.6% ","15.9%*","22.5% ","17.4% ","17.4% ","2.39% ","suppressed","suppressed","2.78% ","5.23%*","2.48% ","4.15% ","2.90% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","18.9% ","suppressed","suppressed","24.6% ","15.9% ","19.5% ","suppressed","19.1% ","1.94% ","suppressed","suppressed","3.14% ","2.57% ","2.48% ","suppressed","1.95% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","53.2% ","77.9% ","70.2% ","60.9% ","54.3% ","48.0% ","73.3% ","50.3% ","2.28% ","0.82% ","9.91% ","6.10% ","4.99% ","2.72% ","6.66% ","2.30% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","15.5% ","0% ","suppressed","suppressed","25.4%*","5.3%*","41.4%*","10.1% ","3.64% ","0% ","suppressed","suppressed","9.38%*","1.95%*","13.62%*","2.98% "
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","54.1% ","0% ","suppressed","22.9%*","37.1% ","80.1% ","8.8%*","63.5% ","4.95% ","0% ","suppressed","9.69%*","8.73% ","5.43% ","8.57%*","5.26% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","61.4% ","77.9% ","66.7% ","65.6% ","74.4% ","43.0% ","73.2% ","56.7% ","4.04% ","0.82% ","10.70% ","6.86% ","6.32% ","5.24% ","6.89% ","4.60% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","47.7% ","suppressed","suppressed","suppressed","37.2% ","49.4% ","suppressed","47.2% ","2.63% ","suppressed","suppressed","suppressed","3.55% ","3.08% ","suppressed","2.56% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","30,132 ","suppressed","38,964 ","30,621 ","37,419 ","26,780 ","39,824 ","29,538 ","1258.63 ","suppressed","3618.69 ","2563.01 ","2287.92 ","1461.58 ","3018.25 ","1288.95 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","29,518 ","suppressed","suppressed","suppressed","25,648 ","27,050 ","39,224 ","28,129 ","1476.25 ","suppressed","suppressed","suppressed","876.73 ","804.93 ","3073.63 ","1603.53 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","29,722 ","suppressed","suppressed","29,214 ","38,577 ","25,356 ","suppressed","29,577 ","1751.34 ","suppressed","suppressed","2671.75 ","2413.30 ","2127.94 ","suppressed","1770.93 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","32,113 ","suppressed","suppressed","suppressed","suppressed","30,426 ","suppressed","30,363 ","1264.47 ","suppressed","suppressed","suppressed","suppressed","337.52 ","suppressed","393.67 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","26,232 ","suppressed","38,964 ","30,244 ","29,669 ","19,901 ","38,370 ","23,891 ","2879.26 ","suppressed","3618.69 ","3612.43 ","1663.89 ","3735.08 ","3058.76 ","2913.21 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","31,951 ","suppressed","suppressed","suppressed","39,899 ","29,096 ","suppressed","31,767 ","1000.24 ","suppressed","suppressed","suppressed","2440.77 ","594.92 ","suppressed","995.18 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","6,171 ","suppressed","suppressed","6,672 ","5,598 ","6,570 ","suppressed","6,272 ","412.03 ","suppressed","suppressed","1934.82 ","741.30 ","458.73 ","suppressed","400.45 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,833 ","suppressed","suppressed","suppressed","suppressed","5,828 ","suppressed","5,727 ","1206.23 ","suppressed","suppressed","suppressed","suppressed","896.65 ","suppressed","996.14 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,382 ","suppressed","suppressed","suppressed","5,929 ","6,983 ","suppressed","6,460 ","509.35 ","suppressed","suppressed","suppressed","778.11 ","652.21 ","suppressed","518.07 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","4,916 ","suppressed","suppressed","suppressed","suppressed","5,831 ","suppressed","5,827 ","655.78 ","suppressed","suppressed","suppressed","suppressed","379.18 ","suppressed","371.34 "
