"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","68.6% ","70.2% ","63.9% ","66.6% ","70.3% ","68.9% ","69.0% ","68.6% ","2.52% ","6.47% ","6.24% ","4.54% ","4.48% ","4.14% ","3.71% ","2.97% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","64.3% ","62.7% ","58.9% ","64.6% ","61.7% ","66.2% ","64.8% ","64.1% ","2.49% ","7.57% ","6.20% ","4.60% ","5.88% ","3.86% ","3.93% ","2.91% "
"II.B.4","Number of part-time employees","820,999 ","85,037 ","111,132 ","75,575 ","180,995 ","368,259 ","236,490 ","584,508 ","102,829 ","17,656 ","22,382 ","16,632 ","40,563 ","89,471 ","29,776 ","99,011 "
"II.B.4.a","Percent of number of part-time employees","820,999 ","10.4% ","13.5% ","9.2% ","22.0% ","44.9% ","28.8% ","71.2% ","102,829 ","2.33% ","2.93% ","2.19% ","4.62% ","6.63% ","4.37% ","4.37% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","83.4% ","24.0%*","58.6% ","70.0% ","100% ","99.1% ","46.6% ","98.3% ","3.18% ","9.45%*","11.22% ","11.68% ","0% ","0.66% ","7.58% ","0.97% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","21.3% ","suppressed","10.4%*","19.1%*","9.1%*","28.3% ","18.9%*","21.8% ","4.10% ","suppressed","5.36%*","8.12%*","3.44%*","7.68% ","6.75%*","4.75% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","43.5% ","suppressed","suppressed","suppressed","suppressed","51.0% ","suppressed","46.5% ","6.44% ","suppressed","suppressed","suppressed","suppressed","8.34% ","suppressed","7.05% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","9.3% ","suppressed","0.8%*","5.1%*","2.9%*","14.4%*","4.8%*","10.1% ","2.17% ","suppressed","0.84%*","2.79%*","1.23%*","4.34%*","2.28%*","2.59% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","10,436 ","10,368 ","9,417 ","9,874 ","11,260 ","10,315 ","9,965 ","10,548 ","400.58 ","2068.90 ","712.34 ","358.23 ","732.03 ","620.15 ","697.20 ","464.22 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","10,470 ","7,520 ","suppressed","10,356 ","11,000 ","11,660 ","8,679 ","11,396 ","531.22 ","1090.03 ","suppressed","566.59 ","612.01 ","877.06 ","715.79 ","597.48 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,861 ","suppressed","9,703 ","9,699 ","10,752 ","9,624 ","9,545 ","9,905 ","377.70 ","suppressed","691.12 ","461.01 ","777.73 ","531.92 ","570.79 ","422.73 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","14,447 ","17,700 ","suppressed","8,356 ","13,484 ","suppressed","suppressed","14,177 ","1509.64 ","925.47 ","suppressed","297.98 ","340.86 ","suppressed","suppressed","1963.72 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","10,294 ","10,368 ","9,695 ","9,989 ","11,064 ","9,431 ","10,125 ","10,371 ","458.75 ","2068.90 ","851.23 ","368.39 ","856.70 ","328.31 ","757.73 ","564.19 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","10,615 ","suppressed","8,372 ","8,176 ","12,559 ","10,578 ","8,382 ","10,706 ","711.03 ","suppressed","776.19 ","222.80 ","954.09 ","796.05 ","505.70 ","738.13 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","2,038 ","1,106*","2,946 ","2,949 ","2,278 ","1,692 ","2,497 ","1,930 ","108.40 ","387.49*","315.30 ","298.91 ","250.60 ","116.06 ","304.78 ","113.02 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,884 ","suppressed","suppressed","2,322 ","1,900 ","1,850 ","1,807 ","1,923 ","170.44 ","suppressed","suppressed","202.59 ","480.44 ","243.68 ","279.78 ","214.85 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,011 ","suppressed","2,820 ","3,271 ","2,152 ","1,664 ","3,326 ","1,829 ","130.34 ","suppressed","492.22 ","462.67 ","337.73 ","118.34 ","459.06 ","117.81 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,641 ","suppressed","3,517 ","4,049 ","3,196 ","suppressed","suppressed","2,844 ","418.67 ","suppressed","293.52 ","226.39 ","92.52 ","suppressed","suppressed","310.60 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,214 ","1,106*","2,927 ","2,872 ","2,137 ","1,930 ","2,404 ","2,128 ","153.78 ","387.49*","376.88 ","310.01 ","269.83 ","205.80 ","323.11 ","169.44 "
