"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,263 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","2,370 ","444.26 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","597.07 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,659 ","suppressed","suppressed","suppressed","1,346 ","1,868 ","1,257*","1,710 ","149.16 ","suppressed","suppressed","suppressed","275.97 ","176.75 ","389.16*","160.27 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,685 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","692.34 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed"
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,872 ","suppressed","suppressed","2,595 ","1,744 ","1,983 ","1,419 ","2,057 ","236.29 ","suppressed","suppressed","669.43 ","459.25 ","220.32 ","333.61 ","301.39 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,739 ","suppressed","suppressed","suppressed","1,120 ","2,028 ","suppressed","1,754 ","180.27 ","suppressed","suppressed","suppressed","260.13 ","222.81 ","suppressed","186.24 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","23.0% ","suppressed","suppressed","32.9% ","18.6% ","25.3% ","18.3% ","23.8% ","1.62% ","suppressed","suppressed","5.44% ","3.09% ","1.94% ","3.90% ","1.77% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","30.6% ","suppressed","suppressed","43.7% ","suppressed","suppressed","suppressed","31.0% ","5.42% ","suppressed","suppressed","3.85% ","suppressed","suppressed","suppressed","6.94% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","21.2% ","suppressed","suppressed","suppressed","17.7% ","23.5% ","15.8%*","21.9% ","1.68% ","suppressed","suppressed","suppressed","3.30% ","1.92% ","4.85%*","1.77% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","32.5% ","suppressed","suppressed","suppressed","suppressed","36.8% ","suppressed","38.2% ","5.87% ","suppressed","suppressed","suppressed","suppressed","6.06% ","suppressed","5.18% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","24.9% ","suppressed","suppressed","34.8% ","24.1% ","26.8% ","18.1% ","27.9% ","2.76% ","suppressed","suppressed","5.78% ","5.67% ","2.07% ","4.25% ","3.36% "
