"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","33.7% ","suppressed","34.0%*","10.5%*","33.0%*","42.2% ","19.6%*","36.3% ","5.28% ","suppressed","12.80%*","3.88%*","11.63%*","7.11% ","6.28%*","6.00% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","36.5% ","suppressed","suppressed","24.2%*","9.5%*","54.1% ","27.8%*","37.3% ","8.69% ","suppressed","suppressed","10.01%*","5.31%*","9.70% ","12.82%*","9.45% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","12.3% ","suppressed","8.0%*","2.5%*","3.1%*","22.8% ","5.4%*","13.5% ","3.43% ","suppressed","5.78%*","0.99%*","1.59%*","6.71% ","2.54%*","3.99% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","10,913 ","13,593 ","10,803 ","10,515 ","11,058 ","10,708 ","11,804 ","10,760 ","327.71 ","1631.36 ","1300.82 ","763.09 ","662.68 ","450.62 ","845.55 ","353.93 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","11,732 ","suppressed","suppressed","8,277 ","9,014 ","13,269 ","11,917 ","11,699 ","795.89 ","suppressed","suppressed","1579.02 ","1151.65 ","912.94 ","2334.56 ","840.46 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","10,526 ","12,791 ","11,494 ","11,209 ","11,344 ","9,759 ","11,784 ","10,305 ","304.61 ","1521.12 ","1092.17 ","735.96 ","738.26 ","353.13 ","752.75 ","321.02 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","10,945 ","suppressed","suppressed","11,133 ","12,925 ","8,774 ","11,566 ","10,863 ","928.76 ","suppressed","suppressed","1975.08 ","1634.56 ","767.40 ","1553.93 ","1035.30 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","11,048 ","13,754 ","10,965 ","10,869 ","11,699 ","10,169 ","12,117 ","10,692 ","453.32 ","1638.10 ","1375.39 ","626.06 ","808.16 ","735.77 ","919.00 ","495.79 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","10,762 ","suppressed","suppressed","9,167 ","10,377 ","11,059 ","9,033 ","10,818 ","479.80 ","suppressed","suppressed","2313.97 ","1106.66 ","516.11 ","889.35 ","491.88 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","2,231 ","2,684*","3,244 ","2,536 ","2,985 ","1,696 ","2,885 ","2,119 ","206.64 ","1203.86*","629.61 ","492.77 ","672.77 ","139.16 ","471.73 ","226.21 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,109 ","suppressed","suppressed","2,046*","2,443 ","1,516 ","4,211 ","1,730 ","342.30 ","suppressed","suppressed","754.71*","290.76 ","361.96 ","1239.34 ","274.91 "
