"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","9,027 ","suppressed","11,591 ","7,452 ","9,554 ","8,260 ","10,500 ","8,750 ","489.95 ","suppressed","2206.31 ","1198.38 ","593.20 ","682.25 ","1850.23 ","435.42 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,906 ","10,342 ","10,408 ","9,208 ","10,817 ","9,477 ","10,086 ","9,883 ","273.82 ","906.12 ","718.77 ","447.45 ","767.74 ","254.72 ","447.92 ","303.34 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","9,522 ","suppressed","suppressed","8,538 ","10,632 ","9,452 ","8,096 ","10,063 ","628.34 ","suppressed","suppressed","1572.24 ","998.00 ","472.05 ","1114.55 ","671.80 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","9,338 ","9,750 ","10,307 ","8,641 ","9,727 ","8,891 ","9,816 ","9,164 ","271.98 ","720.66 ","1035.86 ","495.48 ","519.11 ","400.33 ","562.05 ","299.25 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","10,059 ","9,324 ","11,366 ","9,493 ","11,322 ","9,486 ","10,574 ","10,051 ","359.71 ","275.87 ","1062.76 ","993.07 ","1018.45 ","285.55 ","663.33 ","365.37 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,858 ","1,495*","1,968 ","2,456 ","1,780 ","1,783 ","2,112 ","1,820 ","85.10 ","535.90*","402.10 ","278.75 ","135.00 ","121.19 ","261.02 ","89.00 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,700 ","suppressed","suppressed","1,334 ","2,033 ","1,174 ","2,329 ","1,582 ","178.39 ","suppressed","suppressed","284.34 ","175.01 ","233.69 ","629.16 ","162.55 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,891 ","suppressed","suppressed","2,791 ","1,728 ","1,857 ","2,097 ","1,865 ","96.52 ","suppressed","suppressed","355.54 ","183.78 ","119.17 ","310.04 ","101.51 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,899 ","suppressed","suppressed","suppressed","1,637 ","2,167 ","suppressed","1,904 ","257.80 ","suppressed","suppressed","suppressed","314.99 ","398.06 ","suppressed","241.70 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,960 ","suppressed","1,961 ","2,588 ","1,854 ","1,702 ","2,125 ","1,900 ","135.52 ","suppressed","435.19 ","298.19 ","174.77 ","260.42 ","277.73 ","153.51 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,770 ","suppressed","suppressed","suppressed","1,709 ","1,814 ","suppressed","1,768 ","100.26 ","suppressed","suppressed","suppressed","163.03 ","131.71 ","suppressed","101.43 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","19.1% ","15.4%*","18.9% ","28.1% ","16.9% ","19.1% ","21.4% ","18.8% ","0.98% ","5.24%*","3.57% ","3.48% ","1.82% ","1.22% ","2.55% ","1.06% "
