"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,471 ","suppressed","2,525 ","2,408 ","2,496 ","1,033 ","2,775 ","2,100 ","250.13 ","suppressed","498.67 ","408.33 ","357.73 ","163.37 ","386.98 ","301.10 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,999 ","suppressed","suppressed","suppressed","2,183 ","1,937 ","suppressed","1,997 ","208.79 ","suppressed","suppressed","suppressed","412.36 ","271.81 ","suppressed","225.62 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","21.9% ","suppressed","19.5% ","21.5% ","22.9% ","20.3% ","22.9% ","21.4% ","1.83% ","suppressed","4.88% ","2.77% ","2.69% ","3.84% ","3.29% ","2.24% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","21.9% ","suppressed","suppressed","24.8% ","26.4% ","15.8% ","23.2% ","21.3% ","2.12% ","suppressed","suppressed","4.77% ","2.78% ","2.70% ","3.33% ","2.68% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","23.3% ","suppressed","18.3% ","21.1% ","22.5% ","23.6% ","24.4% ","22.7% ","2.75% ","suppressed","4.81% ","4.01% ","3.53% ","6.20% ","4.76% ","3.39% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","17.1% ","suppressed","38.4% ","suppressed","suppressed","15.8% ","suppressed","16.5% ","1.80% ","suppressed","3.09% ","suppressed","suppressed","1.05% ","suppressed","1.36% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","23.7% ","suppressed","20.0% ","23.6% ","27.6% ","11.7% ","24.1% ","23.1% ","2.78% ","suppressed","5.59% ","3.62% ","4.18% ","2.12% ","4.11% ","3.27% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","20.5% ","suppressed","suppressed","16.0% ","21.1% ","21.3% ","suppressed","20.9% ","2.53% ","suppressed","suppressed","2.56% ","3.45% ","4.19% ","suppressed","2.78% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","58.5% ","82.6% ","77.4% ","69.5% ","55.6% ","51.0% ","76.1% ","53.8% ","2.22% ","6.25% ","7.71% ","3.15% ","3.52% ","2.38% ","3.53% ","2.06% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","7.0% ","suppressed","16.7%*","19.0%*","2.1%*","0.5%*","15.5%*","3.9%*","1.69% ","suppressed","9.97%*","5.72%*","1.32%*","0.41%*","5.10%*","1.38%*"
