"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,936 ","suppressed","9,375 ","9,388 ","9,136 ","8,573 ","9,644 ","8,810 ","278.08 ","suppressed","1326.28 ","1067.24 ","554.04 ","293.09 ","1024.39 ","263.87 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","9,991 ","suppressed","suppressed","11,056 ","10,114 ","9,832 ","7,130 ","10,225 ","515.69 ","suppressed","suppressed","1652.34 ","626.68 ","657.73 ","366.54 ","531.42 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,567 ","suppressed","9,674 ","9,143 ","9,006 ","8,244 ","9,599 ","8,407 ","298.37 ","suppressed","1455.14 ","1493.12 ","732.40 ","294.88 ","1071.67 ","282.38 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","9,579 ","suppressed","suppressed","suppressed","8,546 ","9,187 ","suppressed","8,828 ","1226.37 ","suppressed","suppressed","suppressed","1207.47 ","146.88 ","suppressed","708.34 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,899 ","suppressed","9,675 ","9,245 ","9,000 ","7,530 ","9,722 ","8,406 ","619.75 ","suppressed","1318.04 ","1278.43 ","538.61 ","702.21 ","1146.79 ","626.25 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","8,955 ","suppressed","suppressed","suppressed","9,193 ","8,839 ","suppressed","8,949 ","266.41 ","suppressed","suppressed","suppressed","753.65 ","257.46 ","suppressed","269.34 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,947 ","suppressed","suppressed","1,212 ","1,750 ","1,980 ","2,306*","1,884 ","236.15 ","suppressed","suppressed","243.74 ","229.42 ","219.81 ","1271.90*","162.51 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,499 ","suppressed","suppressed","2,095 ","suppressed","1,103 ","suppressed","1,526 ","246.98 ","suppressed","suppressed","368.89 ","suppressed","293.92 ","suppressed","267.85 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,901 ","suppressed","suppressed","suppressed","1,789 ","2,183 ","1,000 ","2,041 ","183.60 ","suppressed","suppressed","suppressed","308.85 ","239.78 ","267.20 ","196.50 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","3,161*","suppressed","suppressed","suppressed","1,036 ","suppressed","suppressed","1,283 ","1870.93*","suppressed","suppressed","suppressed","93.26 ","suppressed","suppressed","242.36 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,478 ","suppressed","suppressed","1,038 ","1,937 ","3,199 ","2,383*","2,534 ","605.88 ","suppressed","suppressed","176.59 ","359.14 ","571.65 ","1466.14*","403.86 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,664 ","suppressed","suppressed","suppressed","1,672 ","1,669 ","suppressed","1,660 ","131.01 ","suppressed","suppressed","suppressed","290.25 ","147.86 ","suppressed","133.66 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","21.8% ","suppressed","suppressed","12.9% ","19.2% ","23.1% ","23.9%*","21.4% ","2.64% ","suppressed","suppressed","2.88% ","2.45% ","3.06% ","11.95%*","2.12% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","15.0% ","suppressed","suppressed","suppressed","suppressed","11.2% ","suppressed","14.9% ","2.50% ","suppressed","suppressed","suppressed","suppressed","3.00% ","suppressed","2.61% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","22.2% ","suppressed","suppressed","suppressed","19.9% ","26.5% ","10.4%*","24.3% ","2.49% ","suppressed","suppressed","suppressed","3.26% ","3.48% ","3.24%*","2.66% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","33.0%*","suppressed","suppressed","suppressed","12.1% ","suppressed","suppressed","14.5% ","16.10%*","suppressed","suppressed","suppressed","1.50% ","suppressed","suppressed","2.86% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","27.8% ","suppressed","suppressed","11.2% ","21.5% ","42.5% ","24.5%*","30.1% ","6.74% ","suppressed","suppressed","2.45% ","4.29% ","10.14% ","13.64%*","6.38% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","18.6% ","suppressed","suppressed","suppressed","18.2% ","18.9% ","suppressed","18.5% ","1.50% ","suppressed","suppressed","suppressed","2.94% ","1.84% ","suppressed","1.54% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","57.4% ","85.3% ","73.5% ","68.5% ","63.2% ","51.6% ","75.1% ","55.1% ","1.97% ","6.85% ","4.84% ","5.35% ","2.11% ","2.73% ","3.17% ","2.13% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","9.4% ","suppressed","suppressed","19.5%*","8.5%*","2.4%*","31.0% ","5.6%*","2.29% ","suppressed","suppressed","8.38%*","5.45%*","2.09%*","8.51% ","2.27%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","65.2% ","suppressed","suppressed","18.7%*","70.5% ","79.7% ","13.3%*","74.4% ","4.95% ","suppressed","suppressed","8.81%*","9.57% ","6.90% ","5.39%*","5.28% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","65.2% ","84.0% ","70.7% ","73.5% ","66.0% ","54.8% ","72.9% ","61.3% ","2.93% ","7.96% ","5.26% ","4.24% ","3.22% ","6.16% ","3.32% ","3.90% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","54.0% ","91.4% ","89.9% ","suppressed","62.0% ","50.8% ","92.7% ","53.3% ","2.44% ","8.18% ","5.37% ","suppressed","2.66% ","2.98% ","3.80% ","2.46% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","24,520 ","suppressed","suppressed","17,743 ","23,821 ","25,538 ","20,839 ","24,775 ","885.22 ","suppressed","suppressed","4463.95 ","1073.79 ","1068.14 ","1678.37 ","937.64 "
