"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","41.6% ","suppressed","suppressed","suppressed","suppressed","45.6% ","suppressed","44.1% ","6.43% ","suppressed","suppressed","suppressed","suppressed","6.07% ","suppressed","6.17% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","14.1%*","suppressed","0% ","7.6%*","1.2%*","21.8%*","5.6%*","16.3%*","5.78%*","suppressed","0% ","5.46%*","0.64%*","8.78%*","4.01%*","6.92%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,169 ","7,212 ","suppressed","8,010 ","8,135 ","8,269 ","7,854 ","8,216 ","136.55 ","1011.13 ","suppressed","432.69 ","331.81 ","155.99 ","539.07 ","136.46 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","8,358 ","suppressed","suppressed","suppressed","8,864 ","8,673 ","suppressed","8,603 ","371.63 ","suppressed","suppressed","suppressed","530.10 ","601.77 ","suppressed","393.12 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,191 ","suppressed","suppressed","8,461 ","8,006 ","8,275 ","7,899 ","8,226 ","159.54 ","suppressed","suppressed","450.39 ","445.43 ","179.35 ","671.19 ","161.15 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","7,901 ","suppressed","suppressed","6,360 ","7,442 ","8,006 ","8,224 ","7,808 ","365.56 ","suppressed","suppressed","584.59 ","300.19 ","375.56 ","1136.57 ","323.97 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,076 ","7,749 ","suppressed","8,207 ","7,884 ","8,066 ","8,328 ","8,007 ","175.43 ","908.77 ","suppressed","404.00 ","466.79 ","146.00 ","541.07 ","165.76 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","8,251 ","suppressed","suppressed","7,202 ","8,311 ","8,395 ","6,295 ","8,370 ","199.51 ","suppressed","suppressed","1251.67 ","450.24 ","209.88 ","1109.41 ","192.88 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","2,048 ","suppressed","suppressed","2,328 ","2,296 ","1,886 ","2,336 ","2,005 ","137.36 ","suppressed","suppressed","328.64 ","340.81 ","129.19 ","524.23 ","132.18 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,568 ","suppressed","suppressed","suppressed","1,777 ","1,431 ","suppressed","1,715 ","206.20 ","suppressed","suppressed","suppressed","294.79 ","273.58 ","suppressed","231.17 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,908 ","suppressed","suppressed","2,252 ","2,036 ","1,879 ","1,809*","1,920 ","117.95 ","suppressed","suppressed","354.82 ","171.23 ","142.08 ","555.17*","115.89 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","3,161 ","suppressed","suppressed","suppressed","suppressed","2,188 ","4,537 ","2,765 ","490.54 ","suppressed","suppressed","suppressed","suppressed","368.14 ","826.38 ","554.88 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,052 ","suppressed","suppressed","2,261 ","2,283 ","1,709 ","2,465 ","1,939 ","228.47 ","suppressed","suppressed","350.90 ","248.47 ","113.92 ","650.06 ","181.22 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,045 ","suppressed","suppressed","suppressed","2,304 ","1,996 ","suppressed","2,054 ","169.80 ","suppressed","suppressed","suppressed","553.68 ","155.01 ","suppressed","174.27 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","25.1% ","suppressed","suppressed","29.1% ","28.2% ","22.8% ","29.7% ","24.4% ","1.61% ","suppressed","suppressed","4.53% ","4.38% ","1.42% ","5.91% ","1.56% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","18.8% ","suppressed","suppressed","suppressed","20.0% ","16.5% ","suppressed","19.9% ","2.24% ","suppressed","suppressed","suppressed","3.26% ","2.39% ","suppressed","2.35% "
