"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","20.4% ","24.0% ","13.2%*","10.2%*","25.3%*","22.1% ","15.0% ","22.7% ","2.81% ","4.72% ","5.88%*","4.48%*","8.56%*","3.98% ","2.95% ","3.77% "
"II.B.3","Number of full-time employees","1,942,491 ","195,091 ","204,103 ","206,132 ","440,838 ","896,327 ","497,224 ","1,445,267 ","143,065 ","21,638 ","35,323 ","26,938 ","72,209 ","122,667 ","40,321 ","139,655 "
"II.B.3.a","Percent of number of full-time employees","1,942,491 ","10.0% ","10.5% ","10.6% ","22.7% ","46.1% ","25.6% ","74.4% ","143,065 ","1.27% ","1.85% ","1.52% ","3.35% ","4.02% ","2.47% ","2.47% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","85.3% ","34.3% ","60.5% ","83.6% ","94.4% ","97.9% ","53.6% ","96.2% ","2.23% ","7.29% ","10.14% ","6.50% ","4.43% ","1.94% ","5.62% ","1.93% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","90.7% ","86.9% ","93.4% ","84.2% ","89.2% ","92.5% ","90.5% ","90.7% ","2.21% ","10.16% ","5.43% ","7.08% ","3.47% ","3.47% ","4.19% ","2.51% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","69.6% ","72.9% ","65.2% ","60.1% ","72.5% ","70.5% ","66.0% ","70.3% ","2.07% ","6.24% ","8.51% ","7.05% ","4.85% ","2.56% ","5.08% ","2.28% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","63.1% ","63.3% ","60.9% ","50.6% ","64.7% ","65.2% ","59.8% ","63.8% ","2.40% ","8.49% ","8.27% ","7.86% ","4.63% ","3.43% ","5.08% ","2.70% "
"II.B.4","Number of part-time employees","561,707 ","88,502 ","78,994 ","129,323 ","120,305*","144,583 ","244,772 ","316,935 ","73,073 ","13,337 ","17,756 ","35,010 ","50,986*","34,731 ","35,624 ","65,368 "
"II.B.4.a","Percent of number of part-time employees","561,707 ","15.8% ","14.1% ","23.0% ","21.4%*","25.7% ","43.6% ","56.4% ","73,073 ","2.87% ","3.34% ","5.55% ","7.43%*","5.48% ","6.33% ","6.33% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","71.9% ","25.8%*","34.1%*","80.6% ","87.4% ","100% ","42.1% ","94.9% ","4.99% ","8.15%*","12.10%*","9.67% ","10.87% ","0% ","8.64% ","4.07% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","26.6%*","suppressed","suppressed","7.4%*","56.6%*","24.3% ","8.8%*","32.7%*","9.19%*","suppressed","suppressed","3.91%*","21.14%*","6.24% ","3.82%*","11.40%*"
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","29.1%*","suppressed","suppressed","suppressed","suppressed","50.1% ","suppressed","28.5%*","11.27%*","suppressed","suppressed","suppressed","suppressed","11.90% ","suppressed","12.01%*"
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","7.8% ","suppressed","suppressed","suppressed","6.6%*","12.2%*","3.2%*","9.3%*","2.24% ","suppressed","suppressed","suppressed","2.26%*","5.41%*","1.83%*","2.92%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,816 ","10,901 ","7,137 ","7,422 ","9,077 ","9,111 ","8,039 ","8,977 ","269.81 ","1513.62 ","1422.80 ","677.13 ","586.16 ","265.57 ","923.66 ","256.87 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","8,403 ","suppressed","suppressed","suppressed","9,048 ","8,779 ","suppressed","8,698 ","515.22 ","suppressed","suppressed","suppressed","921.32 ","453.68 ","suppressed","493.74 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,831 ","suppressed","suppressed","7,245 ","8,848 ","9,229 ","7,584 ","9,063 ","313.16 ","suppressed","suppressed","744.47 ","749.23 ","328.34 ","979.00 ","301.69 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","10,655 ","suppressed","suppressed","11,430 ","10,557 ","9,152 ","suppressed","9,751 ","749.80 ","suppressed","suppressed","1010.04 ","1238.34 ","130.74 ","suppressed","552.40 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,232 ","10,068 ","suppressed","7,055 ","8,266 ","8,628 ","8,100 ","8,285 ","396.17 ","1327.57 ","suppressed","683.80 ","672.00 ","486.08 ","930.79 ","407.71 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,382 ","suppressed","suppressed","8,401 ","10,645 ","9,306 ","suppressed","9,484 ","331.29 ","suppressed","suppressed","1360.41 ","859.84 ","301.57 ","suppressed","288.69 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,618 ","suppressed","896*","1,588 ","1,527 ","1,776 ","1,295 ","1,685 ","116.14 ","suppressed","282.44*","335.07 ","281.29 ","136.37 ","276.88 ","127.08 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,288 ","suppressed","suppressed","suppressed","1,155 ","1,301 ","suppressed","1,248 ","166.01 ","suppressed","suppressed","suppressed","242.48 ","197.18 ","suppressed","162.07 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,794 ","suppressed","suppressed","1,304 ","1,853 ","1,978 ","1,078 ","1,927 ","148.17 ","suppressed","suppressed","342.80 ","455.22 ","173.83 ","287.16 ","160.81 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,791 ","suppressed","suppressed","suppressed","suppressed","1,399 ","suppressed","1,848 ","437.62 ","suppressed","suppressed","suppressed","suppressed","124.39 ","suppressed","513.38 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,509 ","suppressed","suppressed","1,449 ","1,108 ","2,112 ","1,363 ","1,568 ","155.94 ","suppressed","suppressed","367.06 ","181.99 ","292.20 ","285.98 ","185.52 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,723 ","suppressed","suppressed","suppressed","2,338 ","1,640 ","suppressed","1,770 ","170.17 ","suppressed","suppressed","suppressed","669.28 ","140.11 ","suppressed","173.52 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","18.4% ","suppressed","12.6% ","21.4% ","16.8% ","19.5% ","16.1% ","18.8% ","1.27% ","suppressed","3.63% ","3.28% ","3.07% ","1.48% ","3.10% ","1.39% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","15.3% ","suppressed","suppressed","suppressed","12.8% ","14.8% ","suppressed","14.3% ","1.82% ","suppressed","suppressed","suppressed","2.53% ","2.32% ","suppressed","1.81% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","20.3% ","suppressed","suppressed","18.0% ","20.9% ","21.4% ","14.2% ","21.3% ","1.71% ","suppressed","suppressed","3.40% ","5.90% ","1.90% ","3.74% ","1.88% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","16.8% ","suppressed","suppressed","suppressed","suppressed","15.3% ","suppressed","19.0% ","3.88% ","suppressed","suppressed","suppressed","suppressed","1.37% ","suppressed","4.32% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","18.3% ","suppressed","suppressed","20.5% ","13.4% ","24.5% ","16.8% ","18.9% ","1.79% ","suppressed","suppressed","4.28% ","2.43% ","2.92% ","3.17% ","2.17% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","18.4% ","suppressed","suppressed","23.3% ","22.0% ","17.6% ","suppressed","18.7% ","1.77% ","suppressed","suppressed","2.62% ","6.40% ","1.48% ","suppressed","1.81% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","57.6% ","45.4% ","70.8% ","67.4% ","60.4% ","53.9% ","65.5% ","56.2% ","1.76% ","7.54% ","5.65% ","8.02% ","2.72% ","2.19% ","3.81% ","1.87% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","13.8% ","suppressed","33.9%*","13.1%*","22.1%*","3.8%*","30.1% ","10.4%*","3.13% ","suppressed","14.58%*","6.17%*","8.64%*","2.25%*","8.83% ","3.30%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","50.8% ","suppressed","18.9%*","27.2%*","34.1% ","71.2% ","17.5%*","57.7% ","4.98% ","suppressed","12.49%*","11.37%*","8.19% ","6.20% ","7.65%*","5.65% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","60.1% ","40.6% ","67.8% ","66.4% ","63.2% ","55.5% ","63.1% ","59.0% ","2.48% ","7.83% ","6.32% ","10.19% ","3.37% ","3.92% ","4.32% ","2.94% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","55.3% ","suppressed","87.9% ","70.1% ","55.7% ","53.3% ","80.4% ","54.3% ","2.39% ","suppressed","2.36% ","10.76% ","4.44% ","2.60% ","4.97% ","2.33% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","25,055 ","23,640 ","suppressed","21,310 ","24,409 ","26,514 ","21,275 ","25,668 ","710.45 ","2078.47 ","suppressed","1054.65 ","1057.24 ","767.85 ","2584.27 ","677.52 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","24,269 ","suppressed","suppressed","suppressed","22,726 ","28,762 ","suppressed","26,077 ","1433.85 ","suppressed","suppressed","suppressed","1456.94 ","1004.53 ","suppressed","1214.90 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","25,078 ","suppressed","18,787 ","20,449 ","24,747 ","25,914 ","20,583 ","25,569 ","845.94 ","suppressed","1777.75 ","2567.05 ","1388.50 ","969.25 ","1629.63 ","862.55 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","26,556 ","suppressed","suppressed","22,473 ","27,583 ","25,840 ","suppressed","25,300 ","1918.55 ","suppressed","suppressed","855.33 ","3360.53 ","386.36 ","suppressed","1617.06 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","22,797 ","24,838 ","suppressed","22,272 ","22,299 ","24,322 ","21,344 ","23,371 ","1093.28 ","2136.63 ","suppressed","975.07 ","1021.62 ","1880.61 ","2893.61 ","1032.03 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","26,809 ","suppressed","suppressed","suppressed","27,242 ","27,260 ","suppressed","26,982 ","617.26 ","suppressed","suppressed","suppressed","1527.59 ","604.22 ","suppressed","606.09 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","6,733 ","suppressed","suppressed","6,640 ","7,805 ","6,385 ","7,191 ","6,659 ","478.00 ","suppressed","suppressed","1948.11 ","1194.95 ","527.07 ","1560.07 ","488.70 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","5,707 ","suppressed","suppressed","suppressed","6,292 ","5,447 ","suppressed","5,865 ","880.01 ","suppressed","suppressed","suppressed","1325.14 ","841.83 ","suppressed","730.62 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,207 ","suppressed","suppressed","suppressed","9,233 ","6,719 ","suppressed","7,102 ","570.98 ","suppressed","suppressed","suppressed","1439.19 ","633.49 ","suppressed","588.92 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,705 ","suppressed","suppressed","suppressed","suppressed","5,303 ","suppressed","6,049 ","1321.96 ","suppressed","suppressed","suppressed","suppressed","632.75 ","suppressed","1466.26 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","7,185 ","suppressed","suppressed","suppressed","5,878 ","8,481 ","7,581 ","7,029 ","816.61 ","suppressed","suppressed","suppressed","999.52 ","1184.16 ","1675.07 ","918.45 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,383 ","suppressed","suppressed","suppressed","10,392 ","5,672 ","suppressed","6,448 ","514.78 ","suppressed","suppressed","suppressed","1803.07 ","359.23 ","suppressed","526.66 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","26.9% ","suppressed","suppressed","31.2% ","32.0% ","24.1% ","33.8% ","25.9% ","2.03% ","suppressed","suppressed","9.13% ","4.24% ","2.27% ","6.49% ","2.04% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","23.5% ","suppressed","suppressed","71.8% ","27.7% ","18.9% ","suppressed","22.5% ","3.52% ","suppressed","suppressed","4.83% ","5.23% ","2.91% ","suppressed","2.73% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","28.7% ","suppressed","suppressed","40.8% ","37.3% ","25.9% ","39.7% ","27.8% ","2.69% ","suppressed","suppressed","7.40% ","6.28% ","2.88% ","7.80% ","2.73% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","25.2% ","suppressed","suppressed","suppressed","suppressed","20.5% ","suppressed","23.9% ","3.62% ","suppressed","suppressed","suppressed","suppressed","2.18% ","suppressed","4.36% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","31.5% ","suppressed","suppressed","suppressed","26.4% ","34.9% ","35.5% ","30.1% ","3.33% ","suppressed","suppressed","suppressed","4.36% ","5.08% ","7.05% ","3.70% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","23.8% ","suppressed","suppressed","suppressed","38.1% ","20.8% ","suppressed","23.9% ","2.01% ","suppressed","suppressed","suppressed","5.69% ","1.43% ","suppressed","2.05% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","24.1% ","33.2% ","23.9% ","18.9%*","20.5% ","25.9% ","22.3% ","24.4% ","1.76% ","8.33% ","4.40% ","7.65%*","2.06% ","2.57% ","3.30% ","1.97% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","5.4%*","suppressed","suppressed","9.7%*","6.0%*","0% ","26.2%*","2.1%*","1.68%*","suppressed","suppressed","7.45%*","3.84%*","0% ","9.21%*","1.14%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","56.3% ","suppressed","suppressed","24.2%*","42.7% ","74.6% ","11.2%*","63.6% ","7.00% ","suppressed","suppressed","16.96%*","10.17% ","7.86% ","5.43%*","7.51% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","22.4% ","33.8% ","26.0% ","19.4%*","18.7% ","23.6% ","23.1% ","22.1% ","2.22% ","9.37% ","4.91% ","10.01%*","2.93% ","3.44% ","3.72% ","2.70% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","25.6% ","suppressed","suppressed","suppressed","23.7% ","26.9% ","suppressed","26.0% ","2.57% ","suppressed","suppressed","suppressed","2.31% ","3.23% ","suppressed","2.64% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","17,447 ","suppressed","suppressed","15,169 ","17,149 ","17,279 ","19,954 ","17,168 ","487.98 ","suppressed","suppressed","1426.58 ","936.88 ","589.57 ","1698.69 ","491.96 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","16,746 ","suppressed","suppressed","16,120 ","16,000 ","15,467 ","20,033 ","15,834 ","886.94 ","suppressed","suppressed","1544.26 ","1082.60 ","1625.69 ","1726.47 ","945.08 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","18,021 ","suppressed","suppressed","suppressed","18,866 ","18,018 ","suppressed","18,026 ","485.59 ","suppressed","suppressed","suppressed","1357.92 ","491.82 ","suppressed","487.82 "
"II.E.2","Average total employee contribution (in dollars) per enrolled employee for employee-plus-one coverage at establishments that offer health insurance","4,543 ","suppressed","suppressed","6,735 ","5,009 ","4,066 ","6,320*","4,346 ","361.66 ","suppressed","suppressed","959.28 ","840.18 ","343.73 ","2000.78*","341.17 "
"II.E.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for employee-plus-one coverage at private-sector establishments that offer health insurance","4,716 ","suppressed","suppressed","7,663 ","3,872 ","4,596 ","6,206*","4,303 ","624.62 ","suppressed","suppressed","941.83 ","716.26 ","909.92 ","2034.82*","582.54 "
