"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,383 ","suppressed","suppressed","1,562 ","1,514 ","1,222 ","1,472 ","1,339 ","141.14 ","suppressed","suppressed","339.87 ","231.16 ","149.88 ","323.98 ","134.59 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","3,203*","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","2,342 ","1364.67*","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","440.93 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,611 ","suppressed","suppressed","1,377 ","1,476 ","1,592 ","1,909 ","1,353 ","283.47 ","suppressed","suppressed","283.77 ","320.09 ","128.02 ","547.40 ","229.03 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,333 ","suppressed","suppressed","2,434 ","1,806 ","1,129 ","suppressed","1,335 ","145.57 ","suppressed","suppressed","427.93 ","366.83 ","121.85 ","suppressed","139.29 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","16.8% ","suppressed","suppressed","18.0% ","17.1% ","13.8% ","19.9% ","15.2% ","1.84% ","suppressed","suppressed","2.81% ","2.28% ","1.13% ","4.80% ","1.31% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","14.3% ","suppressed","suppressed","suppressed","suppressed","12.5% ","20.1% ","12.7% ","1.92% ","suppressed","suppressed","suppressed","suppressed","2.38% ","3.40% ","1.86% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","14.9% ","suppressed","suppressed","17.1% ","15.9% ","14.3% ","15.3% ","14.7% ","1.46% ","suppressed","suppressed","3.34% ","2.13% ","1.43% ","3.48% ","1.30% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","35.2%*","suppressed","suppressed","suppressed","28.1% ","suppressed","suppressed","26.3% ","11.62%*","suppressed","suppressed","suppressed","0.86% ","suppressed","suppressed","2.19% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","18.9% ","suppressed","suppressed","16.3% ","16.6% ","19.5% ","22.6% ","15.8% ","2.98% ","suppressed","suppressed","3.00% ","3.12% ","2.52% ","5.71% ","2.40% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","14.1% ","suppressed","suppressed","27.5% ","18.2% ","13.0% ","suppressed","14.8% ","1.51% ","suppressed","suppressed","4.62% ","3.42% ","1.17% ","suppressed","1.34% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","57.2% ","54.7% ","69.3% ","54.5% ","66.9% ","49.8% ","57.9% ","56.8% ","3.06% ","11.92% ","5.78% ","8.50% ","3.71% ","4.02% ","7.03% ","3.03% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","23.1% ","suppressed","suppressed","34.9% ","15.3%*","3.3%*","44.0% ","13.0%*","3.99% ","suppressed","suppressed","9.13% ","7.70%*","1.85%*","7.93% ","4.08%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","42.6% ","suppressed","suppressed","14.4%*","32.6%*","87.4% ","18.7%*","54.2% ","4.84% ","suppressed","suppressed","7.52%*","10.58%*","4.62% ","7.23%*","5.96% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","60.8% ","68.9% ","65.8% ","52.5% ","65.8% ","60.6% ","59.0% ","62.4% ","4.37% ","8.95% ","6.09% ","8.96% ","4.77% ","4.62% ","7.82% ","4.01% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","52.9% ","suppressed","suppressed","70.9% ","69.2% ","48.5% ","suppressed","52.8% ","4.21% ","suppressed","suppressed","12.92% ","4.05% ","4.31% ","suppressed","4.13% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","21,989 ","21,503 ","22,867 ","18,427 ","21,059 ","24,829 ","20,292 ","22,878 ","812.69 ","3413.36 ","4317.66 ","968.34 ","2207.31 ","947.62 ","1188.45 ","1004.93 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","22,892 ","suppressed","suppressed","suppressed","16,290 ","25,260 ","suppressed","23,234 ","1103.30 ","suppressed","suppressed","suppressed","1484.90 ","807.76 ","suppressed","1124.57 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","21,753 ","suppressed","suppressed","18,341 ","21,180 ","24,781 ","20,045 ","22,811 ","946.77 ","suppressed","suppressed","1056.67 ","3032.27 ","1178.85 ","1224.22 ","1271.74 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","23,892 ","suppressed","suppressed","suppressed","24,964 ","suppressed","26,456 ","suppressed","1796.25 ","suppressed","suppressed","suppressed","1311.74 ","suppressed","2190.10 ","suppressed"
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","19,697 ","24,240 ","suppressed","18,426 ","19,061 ","24,866 ","20,387 ","18,782 ","956.00 ","2136.53 ","suppressed","997.34 ","2449.17 ","663.99 ","1066.92 ","1687.23 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","24,282 ","suppressed","suppressed","suppressed","25,201 ","24,826 ","suppressed","24,875 ","1018.50 ","suppressed","suppressed","suppressed","3281.44 ","1030.54 ","suppressed","979.94 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","4,967 ","suppressed","8,749 ","3,032*","8,266 ","4,769 ","4,365*","5,282 ","771.14 ","suppressed","1349.52 ","1569.24*","1318.90 ","354.61 ","1829.37*","535.93 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,399 ","suppressed","suppressed","suppressed","10,525 ","4,109 ","suppressed","5,730 ","747.07 ","suppressed","suppressed","suppressed","410.54 ","335.00 ","suppressed","720.07 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","4,507 ","suppressed","suppressed","suppressed","7,449 ","4,990 ","3,700*","5,008 ","841.73 ","suppressed","suppressed","suppressed","1476.33 ","478.77 ","1730.05*","613.62 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","9,822 ","suppressed","suppressed","suppressed","11,072 ","suppressed","suppressed","suppressed","1623.58 ","suppressed","suppressed","suppressed","1069.74 ","suppressed","suppressed","suppressed"
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","4,802 ","suppressed","suppressed","2,812*","7,565 ","6,906 ","4,210*","5,586 ","1432.71 ","suppressed","suppressed","1547.45*","1606.07 ","703.56 ","2092.65*","1394.63 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","5,132 ","suppressed","suppressed","suppressed","9,720 ","4,570 ","suppressed","5,134 ","484.69 ","suppressed","suppressed","suppressed","1619.53 ","336.74 ","suppressed","452.69 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","22.6% ","suppressed","38.3% ","16.5%*","39.3% ","19.2% ","21.5%*","23.1% ","3.05% ","suppressed","5.54% ","8.39%*","5.42% ","1.32% ","8.31%*","1.98% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","28.0% ","suppressed","suppressed","suppressed","64.6% ","16.3% ","suppressed","24.7% ","4.26% ","suppressed","suppressed","suppressed","4.38% ","1.76% ","suppressed","4.18% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","20.7% ","suppressed","suppressed","suppressed","35.2% ","20.1% ","18.5%*","22.0% ","3.36% ","suppressed","suppressed","suppressed","5.85% ","1.69% ","8.03%*","2.15% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","41.1% ","suppressed","suppressed","suppressed","44.4% ","suppressed","suppressed","suppressed","6.48% ","suppressed","suppressed","suppressed","2.30% ","suppressed","suppressed","suppressed"
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","24.4% ","suppressed","suppressed","15.3%*","39.7% ","27.8% ","20.7%*","29.7% ","6.76% ","suppressed","suppressed","8.26%*","5.02% ","3.47% ","9.56%*","5.48% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","21.1% ","suppressed","suppressed","suppressed","suppressed","18.4% ","suppressed","20.6% ","1.76% ","suppressed","suppressed","suppressed","suppressed","1.24% ","suppressed","1.74% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","26.0% ","23.0% ","15.2% ","34.1% ","14.8% ","32.0% ","27.6% ","25.2% ","2.88% ","5.50% ","3.52% ","9.51% ","2.47% ","3.25% ","7.16% ","2.43% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","27.7%*","suppressed","suppressed","72.5% ","suppressed","0% ","62.4% ","9.6%*","10.25%*","suppressed","suppressed","13.75% ","suppressed","0% ","15.32% ","6.47%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","50.0% ","suppressed","suppressed","suppressed","32.5%*","91.5% ","17.1%*","67.2% ","8.51% ","suppressed","suppressed","suppressed","12.51%*","4.74% ","8.49%*","7.89% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","24.1% ","17.4%*","14.1% ","36.8% ","14.6% ","26.3% ","28.7%*","19.9% ","4.83% ","6.72%*","4.03% ","10.11% ","2.87% ","7.20% ","8.67%*","3.86% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","28.3% ","suppressed","suppressed","suppressed","15.2% ","32.7% ","suppressed","29.1% ","2.85% ","suppressed","suppressed","suppressed","4.15% ","3.54% ","suppressed","3.17% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","15,842 ","suppressed","suppressed","12,384 ","14,594 ","17,161 ","16,382 ","15,634 ","776.68 ","suppressed","suppressed","942.53 ","1838.86 ","861.01 ","1689.45 ","850.14 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","15,278 ","21,359 ","suppressed","11,882 ","13,846 ","17,160 ","18,108 ","13,476 ","1430.96 ","1252.43 ","suppressed","950.44 ","2353.60 ","1231.34 ","1784.67 ","1633.85 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","16,375 ","suppressed","suppressed","suppressed","16,641 ","17,161 ","12,713 ","17,140 ","728.03 ","suppressed","suppressed","suppressed","791.50 ","921.80 ","608.29 ","760.31 "
"II.E.2","Average total employee contribution (in dollars) per enrolled employee for employee-plus-one coverage at establishments that offer health insurance","3,674 ","suppressed","7,992 ","4,428 ","4,401 ","2,829 ","4,138*","3,495 ","482.84 ","suppressed","779.08 ","1205.54 ","685.72 ","415.34 ","1313.68*","440.47 "
"II.E.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for employee-plus-one coverage at private-sector establishments that offer health insurance","4,308 ","suppressed","7,992 ","3,874*","3,886 ","3,051 ","5,503 ","3,547 ","643.31 ","suppressed","779.08 ","1278.38*","795.62 ","452.62 ","1081.25 ","652.50 "
