"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","19.6% ","18.1% ","9.1%*","18.7%*","13.1% ","24.6% ","13.6% ","21.6% ","2.01% ","3.98% ","3.59%*","5.99%*","3.55% ","2.95% ","2.36% ","2.47% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","9.1% ","7.2% ","5.5%*","7.6%*","1.8%*","13.4% ","5.4% ","10.3% ","1.53% ","1.98% ","3.05%*","4.62%*","0.60%*","2.32% ","1.38% ","1.91% "
"II.B.3","Number of full-time employees","1,297,815 ","114,073 ","109,140 ","166,098 ","270,168 ","638,336 ","292,335 ","1,005,480 ","112,518 ","10,701 ","15,135 ","23,953 ","35,385 ","105,366 ","19,010 ","112,173 "
"II.B.3.a","Percent of number of full-time employees","1,297,815 ","8.8% ","8.4% ","12.8% ","20.8% ","49.2% ","22.5% ","77.5% ","112,518 ","1.08% ","1.33% ","1.99% ","2.85% ","4.49% ","2.32% ","2.32% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","89.3% ","43.6% ","69.4% ","92.9% ","98.0% ","96.2% ","63.0% ","96.9% ","1.58% ","7.12% ","7.96% ","3.19% ","2.02% ","1.51% ","4.53% ","1.09% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","94.4% ","87.0% ","96.7% ","93.7% ","90.1% ","96.8% ","93.7% ","94.6% ","1.48% ","5.59% ","1.86% ","2.35% ","5.55% ","0.86% ","2.12% ","1.71% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","60.6% ","71.1% ","59.2% ","66.4% ","69.1% ","55.1% ","66.3% ","59.5% ","4.22% ","4.96% ","6.20% ","6.27% ","6.36% ","6.34% ","3.69% ","4.88% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","57.2% ","61.8% ","57.3% ","62.2% ","62.3% ","53.3% ","62.1% ","56.2% ","4.03% ","4.89% ","5.90% ","6.33% ","6.88% ","6.20% ","3.59% ","4.67% "
"II.B.4","Number of part-time employees","293,229 ","39,390 ","30,841 ","57,646 ","31,593 ","133,758 ","100,946 ","192,283 ","31,234 ","8,278 ","6,148 ","14,181 ","9,414 ","24,697 ","14,119 ","28,457 "
"II.B.4.a","Percent of number of part-time employees","293,229 ","13.4% ","10.5% ","19.7% ","10.8% ","45.6% ","34.4% ","65.6% ","31,234 ","2.83% ","2.22% ","4.35% ","3.09% ","5.50% ","4.69% ","4.69% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","77.0% ","13.7%*","43.3% ","74.4% ","100% ","99.0% ","40.8% ","96.0% ","4.04% ","5.23%*","11.26% ","11.39% ","0% ","0.98% ","7.89% ","2.98% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","24.8% ","suppressed","suppressed","8.6%*","20.3%*","30.9% ","12.8%*","27.5% ","4.38% ","suppressed","suppressed","4.73%*","9.47%*","6.02% ","5.29%*","5.06% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","44.5% ","suppressed","suppressed","suppressed","suppressed","52.3% ","suppressed","45.1% ","7.46% ","suppressed","suppressed","suppressed","suppressed","8.42% ","suppressed","7.97% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","11.0% ","suppressed","suppressed","3.3%*","1.2%*","16.2% ","suppressed","12.4% ","3.01% ","suppressed","suppressed","2.47%*","0.85%*","4.51% ","suppressed","3.54% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,124 ","8,811 ","7,446 ","7,746 ","7,910 ","8,357 ","8,231 ","8,101 ","211.62 ","1013.21 ","791.41 ","623.03 ","575.93 ","211.86 ","556.10 ","227.56 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","8,157 ","suppressed","suppressed","9,374 ","7,195 ","8,143 ","8,977 ","8,032 ","316.89 ","suppressed","suppressed","949.33 ","543.79 ","388.45 ","1093.22 ","321.58 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,052 ","8,685 ","7,362 ","7,257 ","7,784 ","8,506 ","8,011 ","8,062 ","275.71 ","1301.86 ","1000.79 ","700.67 ","758.78 ","259.33 ","667.10 ","302.98 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","8,460 ","suppressed","suppressed","suppressed","9,086 ","8,046 ","suppressed","8,531 ","627.48 ","suppressed","suppressed","suppressed","1046.66 ","528.73 ","suppressed","657.67 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","7,748 ","9,032 ","7,621 ","7,944 ","7,786 ","7,045 ","8,332 ","7,504 ","324.31 ","1060.81 ","462.74 ","574.22 ","781.58 ","187.59 ","520.50 ","394.26 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","8,485 ","suppressed","suppressed","suppressed","8,192 ","8,775 ","suppressed","8,533 ","257.27 ","suppressed","suppressed","suppressed","612.28 ","191.11 ","suppressed","238.95 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,558 ","2,121*","1,840 ","1,110 ","1,516 ","1,606 ","1,750 ","1,517 ","111.53 ","706.96*","372.73 ","284.43 ","327.29 ","96.50 ","287.64 ","120.36 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,642 ","suppressed","suppressed","suppressed","suppressed","1,109 ","suppressed","1,493 ","299.52 ","suppressed","suppressed","suppressed","suppressed","101.00 ","suppressed","298.89 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,543 ","suppressed","suppressed","937*","1,176 ","1,862 ","1,641 ","1,521 ","111.15 ","suppressed","suppressed","309.03*","235.28 ","105.35 ","270.12 ","122.04 "
