"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,172 ","suppressed","suppressed","2,905 ","2,335 ","1,629 ","2,390*","2,089 ","281.80 ","suppressed","suppressed","568.08 ","468.45 ","65.66 ","874.92*","203.16 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,086 ","suppressed","suppressed","suppressed","2,632 ","2,061 ","suppressed","2,225 ","192.89 ","suppressed","suppressed","suppressed","284.57 ","227.68 ","suppressed","193.95 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","22.4% ","suppressed","suppressed","26.8% ","23.8% ","21.9% ","17.1%*","23.6% ","1.72% ","suppressed","suppressed","4.77% ","3.76% ","2.04% ","5.37%*","1.75% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","20.4%*","suppressed","suppressed","1.2%*","suppressed","26.0%*","0% ","24.0%*","7.06%*","suppressed","suppressed","1.32%*","suppressed","8.24%*","0% ","7.37%*"
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","22.7% ","suppressed","suppressed","29.2% ","22.1% ","20.9% ","20.0%*","23.0% ","1.79% ","suppressed","suppressed","5.80% ","3.46% ","1.84% ","7.82%*","1.78% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","22.6% ","suppressed","suppressed","suppressed","suppressed","22.7% ","suppressed","26.2% ","4.22% ","suppressed","suppressed","suppressed","suppressed","4.11% ","suppressed","4.94% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","23.0% ","suppressed","suppressed","28.5% ","25.7% ","18.6% ","23.0% ","22.9% ","2.60% ","suppressed","suppressed","5.24% ","4.50% ","0.66% ","6.74% ","2.41% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","22.1% ","suppressed","suppressed","suppressed","22.7% ","22.9% ","4.7%*","23.9% ","2.25% ","suppressed","suppressed","suppressed","4.88% ","2.67% ","2.08%*","2.38% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","55.5% ","62.4% ","suppressed","61.4% ","57.3% ","52.4% ","61.2% ","54.5% ","2.40% ","9.56% ","suppressed","4.13% ","9.94% ","2.69% ","6.24% ","2.59% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","12.8% ","suppressed","suppressed","22.6%*","9.6%*","5.1%*","43.3% ","7.1%*","2.82% ","suppressed","suppressed","7.57%*","6.87%*","3.02%*","10.09% ","2.61%*"
