"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.3","Number of full-time employees","4,406,413 ","328,007 ","268,091 ","662,444 ","1,131,042 ","2,016,829 ","963,568 ","3,442,845 ","351,469 ","30,240 ","39,774 ","73,127 ","153,477 ","318,271 ","75,257 ","347,428 "
"II.B.3.a","Percent of number of full-time employees","4,406,413 ","7.4% ","6.1% ","15.0% ","25.7% ","45.8% ","21.9% ","78.1% ","351,469 ","0.88% ","1.00% ","1.88% ","3.33% ","4.39% ","2.24% ","2.24% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","89.3% ","33.1% ","70.0% ","87.6% ","92.4% ","99.8% ","64.8% ","96.1% ","2.03% ","5.97% ","7.69% ","4.37% ","6.32% ","0.25% ","4.10% ","2.24% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","91.8% ","85.0% ","92.7% ","92.2% ","91.9% ","92.0% ","91.5% ","91.9% ","1.29% ","7.18% ","3.82% ","2.75% ","2.80% ","1.83% ","2.87% ","1.43% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","69.7% ","85.5% ","74.1% ","75.4% ","71.7% ","65.9% ","77.7% ","68.2% ","2.57% ","5.00% ","4.24% ","2.86% ","3.94% ","4.07% ","2.22% ","2.93% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","64.0% ","72.7% ","68.7% ","69.5% ","65.9% ","60.6% ","71.1% ","62.7% ","2.20% ","7.32% ","4.76% ","3.59% ","4.19% ","3.20% ","3.23% ","2.49% "
"II.B.4","Number of part-time employees","1,420,167 ","183,207 ","181,440 ","198,550 ","389,111 ","467,859 ","447,735 ","972,432 ","149,003 ","24,259 ","40,139 ","52,413 ","100,453 ","87,777 ","48,658 ","142,212 "
"II.B.4.a","Percent of number of part-time employees","1,420,167 ","12.9% ","12.8% ","14.0% ","27.4% ","32.9% ","31.5% ","68.5% ","149,003 ","2.03% ","2.82% ","3.49% ","5.58% ","5.01% ","3.99% ","3.99% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","78.5% ","10.2%*","55.6% ","71.6% ","99.0% ","100% ","38.1% ","97.1% ","3.16% ","3.99%*","11.76% ","10.88% ","1.06% ","0% ","6.46% ","1.77% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","24.8% ","suppressed","2.9%*","18.1%*","14.4% ","39.6% ","10.0%*","27.5% ","4.24% ","suppressed","2.00%*","7.27%*","3.79% ","7.84% ","3.52%*","4.96% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","35.8% ","suppressed","suppressed","suppressed","36.3% ","32.0% ","suppressed","35.9% ","4.02% ","suppressed","suppressed","suppressed","9.37% ","3.91% ","suppressed","4.22% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","8.9% ","suppressed","1.9%*","11.6%*","5.2%*","12.7% ","3.5%*","9.9% ","1.95% ","suppressed","1.34%*","7.60%*","2.11%*","3.14% ","1.58%*","2.28% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","9,421 ","8,836 ","7,854 ","8,946 ","9,889 ","9,550 ","8,554 ","9,619 ","279.42 ","709.28 ","404.33 ","620.93 ","787.18 ","276.88 ","479.04 ","322.02 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","9,364 ","9,510 ","suppressed","8,290 ","10,282 ","9,470 ","8,148 ","9,782 ","465.16 ","418.11 ","suppressed","1077.53 ","913.10 ","445.35 ","880.57 ","482.88 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,647 ","9,045 ","8,004 ","9,599 ","10,299 ","9,491 ","9,146 ","9,733 ","333.41 ","1086.64 ","693.75 ","799.11 ","1022.56 ","304.33 ","666.97 ","372.80 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","8,127 ","suppressed","7,761 ","7,475 ","7,252 ","10,857 ","7,390 ","8,380 ","661.64 ","suppressed","464.77 ","956.41 ","1424.18 ","1316.63 ","389.38 ","868.32 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,378 ","8,516 ","7,646 ","8,082 ","7,557 ","9,317 ","8,151 ","8,512 ","429.66 ","647.71 ","394.33 ","565.25 ","1316.08 ","693.10 ","452.70 ","619.43 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","10,231 ","suppressed","9,113 ","11,268 ","10,865 ","9,659 ","11,449 ","10,180 ","285.49 ","suppressed","649.44 ","953.21 ","662.83 ","239.68 ","1003.37 ","292.88 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,669 ","2,786 ","1,909 ","1,528 ","1,506 ","1,703 ","1,774 ","1,645 ","106.76 ","792.17 ","451.08 ","193.75 ","216.27 ","151.04 ","264.14 ","115.86 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,397 ","suppressed","suppressed","983 ","1,026*","1,542 ","1,580*","1,334 ","225.41 ","suppressed","suppressed","260.64 ","375.94*","298.69 ","500.31*","250.28 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,744 ","suppressed","suppressed","1,763 ","1,674 ","1,726 ","1,871 ","1,722 ","125.80 ","suppressed","suppressed","231.83 ","238.96 ","183.55 ","298.92 ","137.03 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,868 ","suppressed","suppressed","1,797 ","suppressed","2,093 ","suppressed","1,857 ","242.20 ","suppressed","suppressed","191.38 ","suppressed","371.19 ","suppressed","219.84 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,664 ","2,855 ","1,912 ","1,410 ","1,707 ","1,477 ","1,792 ","1,588 ","177.44 ","804.19 ","513.28 ","213.31 ","439.48 ","274.08 ","299.33 ","212.09 "
