"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","25.5% ","suppressed","suppressed","26.7%*","25.8% ","25.0% ","suppressed","24.9% ","2.24% ","suppressed","suppressed","10.73%*","5.37% ","1.49% ","suppressed","2.09% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","28.7% ","suppressed","suppressed","suppressed","suppressed","28.6% ","suppressed","28.0% ","2.40% ","suppressed","suppressed","suppressed","suppressed","2.08% ","suppressed","2.32% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","24.7% ","suppressed","suppressed","suppressed","25.8% ","23.2% ","suppressed","24.4% ","2.63% ","suppressed","suppressed","suppressed","5.81% ","1.18% ","suppressed","2.53% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","suppressed","suppressed","suppressed","suppressed","suppressed","29.0% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","4.44% ","suppressed","suppressed"
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","27.6% ","suppressed","suppressed","suppressed","35.0% ","25.4% ","suppressed","27.5% ","4.11% ","suppressed","suppressed","suppressed","5.40% ","3.60% ","suppressed","3.64% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","24.3% ","suppressed","suppressed","suppressed","20.8%*","24.9% ","suppressed","23.8% ","2.63% ","suppressed","suppressed","suppressed","6.53%*","1.55% ","suppressed","2.56% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","21.6% ","suppressed","suppressed","17.6% ","22.4% ","24.3% ","12.1%*","23.2% ","1.81% ","suppressed","suppressed","3.44% ","4.18% ","2.09% ","4.44%*","1.87% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","12.2%*","suppressed","suppressed","41.3%*","20.2%*","0% ","suppressed","9.0%*","5.34%*","suppressed","suppressed","17.92%*","14.10%*","0% ","suppressed","5.43%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","62.7% ","0% ","suppressed","33.5%*","63.5% ","72.7% ","suppressed","68.0% ","7.63% ","0% ","suppressed","17.00%*","12.11% ","12.72% ","suppressed","8.40% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","22.0% ","suppressed","suppressed","18.5% ","23.9% ","25.5% ","17.4% ","23.7% ","2.92% ","suppressed","suppressed","4.68% ","5.03% ","4.86% ","5.00% ","3.29% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","21.3% ","0% ","suppressed","suppressed","21.7% ","23.8% ","1.7%*","23.0% ","2.24% ","0% ","suppressed","suppressed","5.82% ","2.14% ","1.88%*","2.28% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","19,454 ","suppressed","suppressed","19,703 ","20,589 ","18,315 ","21,911 ","19,059 ","724.17 ","suppressed","suppressed","1806.38 ","966.84 ","629.39 ","3622.69 ","566.23 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","19,745 ","suppressed","suppressed","19,477 ","19,581 ","18,537 ","22,302 ","18,590 ","1582.87 ","suppressed","suppressed","2742.59 ","1236.72 ","1478.42 ","4270.24 ","1001.32 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","19,282 ","suppressed","suppressed","suppressed","21,107 ","18,232 ","suppressed","19,257 ","661.65 ","suppressed","suppressed","suppressed","1207.16 ","639.84 ","suppressed","687.46 "
"II.E.2","Average total employee contribution (in dollars) per enrolled employee for employee-plus-one coverage at establishments that offer health insurance","4,461 ","suppressed","suppressed","6,419 ","5,269 ","3,781 ","5,360*","4,317 ","383.43 ","suppressed","suppressed","1744.26 ","620.24 ","404.03 ","1660.27*","350.46 "
"II.E.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for employee-plus-one coverage at private-sector establishments that offer health insurance","4,548 ","suppressed","suppressed","suppressed","5,561 ","suppressed","suppressed","4,258 ","890.92 ","suppressed","suppressed","suppressed","584.59 ","suppressed","suppressed","897.02 "
"II.E.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for employee-plus-one coverage at private-sector establishments that offer health insurance","4,410 ","suppressed","suppressed","suppressed","5,118 ","3,938 ","suppressed","4,342 ","318.68 ","suppressed","suppressed","suppressed","863.75 ","238.36 ","suppressed","321.27 "
