"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.3.a","Percent of number of full-time employees","2,534,384 ","6.2% ","6.4% ","11.1% ","19.0% ","57.3% ","19.6% ","80.4% ","310,890 ","1.07% ","1.46% ","2.16% ","4.20% ","5.71% ","2.82% ","2.82% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","89.6% ","30.9%*","63.8% ","83.4% ","97.2% ","97.5% ","59.7% ","96.9% ","1.87% ","9.65%*","11.00% ","6.46% ","2.09% ","1.40% ","5.75% ","1.27% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","96.7% ","100% ","100% ","96.5% ","98.4% ","95.8% ","97.7% ","96.6% ","0.97% ","0% ","0% ","1.62% ","0.59% ","1.59% ","1.25% ","1.11% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","74.5% ","suppressed","69.4% ","65.6% ","74.6% ","76.4% ","66.4% ","75.8% ","2.79% ","suppressed","8.68% ","6.45% ","3.67% ","3.94% ","5.38% ","3.01% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","72.1% ","suppressed","69.4% ","63.3% ","73.4% ","73.2% ","64.9% ","73.2% ","2.96% ","suppressed","8.68% ","6.48% ","3.84% ","4.24% ","5.39% ","3.21% "
"II.B.4","Number of part-time employees","555,573 ","63,683 ","suppressed","54,452 ","73,786 ","285,437 ","179,744 ","375,829 ","81,056 ","11,119 ","suppressed","14,766 ","18,130 ","75,020 ","24,528 ","77,412 "
"II.B.4.a","Percent of number of part-time employees","555,573 ","11.5% ","suppressed","9.8% ","13.3% ","51.4% ","32.4% ","67.6% ","81,056 ","2.45% ","suppressed","2.86% ","3.43% ","7.16% ","5.42% ","5.42% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","75.9% ","8.6%*","suppressed","77.6% ","96.4% ","97.8% ","30.5% ","97.6% ","4.72% ","5.05%*","suppressed","12.62% ","3.19% ","2.25% ","7.13% ","1.82% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","25.9%*","suppressed","suppressed","29.9%*","6.3%*","31.3%*","21.7%*","26.5%*","8.33%*","suppressed","suppressed","13.49%*","3.34%*","12.30%*","9.28%*","9.46%*"
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","18.7% ","suppressed","suppressed","suppressed","suppressed","20.2%*","suppressed","19.5% ","5.05% ","suppressed","suppressed","suppressed","suppressed","6.40%*","suppressed","5.69% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","4.8%*","suppressed","0% ","0.8%*","1.8%*","6.3%*","2.6%*","5.2%*","1.56%*","suppressed","0% ","0.78%*","1.28%*","2.39%*","2.11%*","1.78%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,667 ","suppressed","8,293 ","7,522 ","8,274 ","8,906 ","8,365 ","8,712 ","325.95 ","suppressed","335.05 ","687.76 ","741.14 ","398.68 ","470.58 ","361.58 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","9,580 ","suppressed","9,099 ","6,914 ","6,501 ","9,908 ","8,558 ","9,674 ","342.98 ","suppressed","553.53 ","219.95 ","1289.30 ","180.78 ","389.79 ","320.64 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,419 ","suppressed","7,801 ","7,808 ","8,629 ","8,368 ","8,268 ","8,445 ","301.00 ","suppressed","412.08 ","877.99 ","829.01 ","317.00 ","653.79 ","333.93 "
