"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","97.8% ","97.9% ","90.2% ","90.7% ","100% ","98.7% ","94.5% ","98.2% ","0.79% ","2.26% ","8.29% ","5.47% ","0% ","0.67% ","3.22% ","0.79% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","19.8% ","33.1% ","12.4%*","10.4% ","18.6% ","20.7% ","20.9% ","19.4% ","2.01% ","6.15% ","4.93%*","2.91% ","4.22% ","3.11% ","3.35% ","2.42% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","11.4% ","29.0% ","4.2%*","5.3%*","11.4%*","10.5% ","15.4% ","10.1% ","1.41% ","5.85% ","1.41%*","2.73%*","3.91%*","1.85% ","3.08% ","1.56% "
"II.B.3","Number of full-time employees","3,578,870 ","313,850 ","198,341 ","482,128 ","573,644 ","2,010,908 ","784,097 ","2,794,773 ","267,217 ","34,700 ","32,157 ","55,984 ","82,507 ","254,811 ","57,923 ","265,485 "
"II.B.3.a","Percent of number of full-time employees","3,578,870 ","8.8% ","5.5% ","13.5% ","16.0% ","56.2% ","21.9% ","78.1% ","267,217 ","1.12% ","0.97% ","1.73% ","2.36% ","3.57% ","2.14% ","2.14% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","88.6% ","40.4% ","50.0% ","81.8% ","99.7% ","98.5% ","55.2% ","98.0% ","1.42% ","8.04% ","9.75% ","5.61% ","0.33% ","0.75% ","5.06% ","0.86% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","94.0% ","88.9% ","96.2% ","92.4% ","93.4% ","94.7% ","93.1% ","94.1% ","1.41% ","8.66% ","1.98% ","3.61% ","2.03% ","1.97% ","3.14% ","1.56% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","69.6% ","suppressed","71.1% ","61.5% ","71.2% ","71.8% ","59.7% ","71.1% ","1.68% ","suppressed","7.88% ","5.16% ","3.16% ","2.11% ","5.30% ","1.73% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","65.4% ","suppressed","68.4% ","56.8% ","66.5% ","68.0% ","55.6% ","66.9% ","1.86% ","suppressed","8.25% ","5.39% ","3.37% ","2.38% ","5.15% ","1.96% "
"II.B.4","Number of part-time employees","758,837 ","111,454 ","68,295 ","77,344 ","101,671*","400,073 ","222,879 ","535,957 ","77,180 ","19,014 ","18,055 ","19,477 ","38,081*","60,981 ","27,925 ","72,447 "
"II.B.4.a","Percent of number of part-time employees","758,837 ","14.7% ","9.0% ","10.2% ","13.4%*","52.7% ","29.4% ","70.6% ","77,180 ","2.60% ","2.38% ","2.57% ","4.55%*","5.08% ","3.86% ","3.86% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","71.3% ","8.3%*","30.5%*","62.7% ","97.2% ","90.8% ","23.4% ","91.1% ","4.47% ","4.13%*","13.05%*","12.69% ","2.94% ","5.85% ","6.32% ","4.65% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","28.0% ","0% ","suppressed","suppressed","8.8%*","34.2% ","34.2%*","27.3% ","5.62% ","0% ","suppressed","suppressed","5.48%*","7.79% ","11.90%*","6.08% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","33.1% ","suppressed","suppressed","suppressed","78.4% ","30.1% ","suppressed","33.2% ","4.80% ","suppressed","suppressed","suppressed","5.70% ","4.80% ","suppressed","4.85% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","9.2% ","0% ","suppressed","2.5%*","6.9%*","10.3% ","10.9%*","9.1% ","2.31% ","0% ","suppressed","2.24%*","4.26%*","3.05% ","6.94%*","2.44% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,907 ","suppressed","8,034 ","8,580 ","8,737 ","8,766 ","9,801 ","8,768 ","275.94 ","suppressed","544.73 ","821.04 ","469.78 ","287.62 ","1322.69 ","239.50 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","8,833 ","suppressed","suppressed","suppressed","8,470 ","9,465 ","suppressed","9,180 ","650.83 ","suppressed","suppressed","suppressed","1146.21 ","649.92 ","suppressed","579.85 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,029 ","suppressed","7,663 ","9,120 ","9,353 ","8,616 ","10,635 ","8,783 ","321.16 ","suppressed","408.76 ","680.80 ","478.77 ","288.27 ","1641.98 ","253.08 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","8,320 ","suppressed","11,837 ","8,635 ","7,179 ","8,676 ","9,908 ","8,167 ","763.02 ","suppressed","710.10 ","579.00 ","960.98 ","1080.23 ","970.23 ","822.98 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,664 ","suppressed","8,150 ","7,918 ","8,450 ","8,136 ","9,767 ","8,159 ","522.29 ","suppressed","608.18 ","850.23 ","647.07 ","293.66 ","1494.60 ","283.79 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,054 ","suppressed","suppressed","10,859 ","8,947 ","8,957 ","10,050 ","9,028 ","302.48 ","suppressed","suppressed","1154.21 ","624.90 ","353.56 ","1137.25 ","308.36 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,748 ","suppressed","suppressed","1,981 ","1,752 ","1,681 ","1,994 ","1,710 ","99.31 ","suppressed","suppressed","412.99 ","222.59 ","107.25 ","399.66 ","97.27 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,485 ","suppressed","suppressed","suppressed","suppressed","1,223 ","suppressed","1,290 ","218.70 ","suppressed","suppressed","suppressed","suppressed","89.35 ","suppressed","162.17 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,716 ","suppressed","suppressed","1,825 ","1,631 ","1,714 ","1,809 ","1,701 ","111.80 ","suppressed","suppressed","404.00 ","176.10 ","132.98 ","433.36 ","110.81 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,299 ","suppressed","suppressed","suppressed","suppressed","2,130 ","suppressed","2,291 ","280.21 ","suppressed","suppressed","suppressed","suppressed","266.27 ","suppressed","291.02 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,747 ","suppressed","suppressed","1,787 ","2,152 ","1,434 ","1,885 ","1,684 ","180.44 ","suppressed","suppressed","459.10 ","401.98 ","143.56 ","416.68 ","179.37 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,749 ","suppressed","suppressed","suppressed","1,459 ","1,756 ","suppressed","1,721 ","114.68 ","suppressed","suppressed","suppressed","205.76 ","128.37 ","suppressed","112.74 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","19.6% ","suppressed","suppressed","23.1% ","20.0% ","19.2% ","20.3% ","19.5% ","1.19% ","suppressed","suppressed","4.25% ","2.78% ","1.19% ","5.03% ","1.10% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","16.8% ","suppressed","suppressed","suppressed","suppressed","12.9% ","suppressed","14.1% ","2.25% ","suppressed","suppressed","suppressed","suppressed","0.96% ","suppressed","1.71% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","19.0% ","suppressed","suppressed","20.0% ","17.4% ","19.9% ","17.0%*","19.4% ","1.39% ","suppressed","suppressed","4.21% ","2.53% ","1.51% ","5.45%*","1.26% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","27.6% ","suppressed","suppressed","suppressed","36.0% ","24.6% ","suppressed","28.0% ","3.14% ","suppressed","suppressed","suppressed","6.57% ","3.09% ","suppressed","3.23% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","20.2% ","suppressed","suppressed","22.6% ","25.5% ","17.6% ","19.3% ","20.6% ","2.33% ","suppressed","suppressed","5.35% ","4.05% ","1.57% ","5.39% ","1.99% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","19.3% ","suppressed","suppressed","suppressed","16.3% ","19.6% ","suppressed","19.1% ","1.29% ","suppressed","suppressed","suppressed","2.93% ","1.45% ","suppressed","1.29% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","56.0% ","67.1% ","70.1% ","62.3% ","58.4% ","53.0% ","64.8% ","54.8% ","1.84% ","5.99% ","8.66% ","5.78% ","4.79% ","2.05% ","5.61% ","1.89% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","8.6% ","suppressed","suppressed","26.5%*","12.2%*","1.3%*","34.3% ","4.6%*","1.99% ","suppressed","suppressed","9.75%*","5.43%*","0.59%*","9.59% ","1.45%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","62.3% ","suppressed","suppressed","22.5%*","57.8% ","76.8% ","11.9%*","70.1% ","4.91% ","suppressed","suppressed","9.75%*","8.20% ","7.33% ","4.63%*","5.52% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","57.3% ","71.2% ","70.1% ","66.8% ","61.2% ","47.5% ","69.9% ","53.0% ","3.78% ","4.76% ","9.59% ","6.77% ","4.92% ","4.79% ","5.69% ","4.01% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","55.2% ","suppressed","suppressed","suppressed","56.5% ","55.0% ","suppressed","55.6% ","1.95% ","suppressed","suppressed","suppressed","7.21% ","1.86% ","suppressed","1.98% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","26,439 ","suppressed","24,936 ","28,288 ","26,712 ","26,360 ","27,747 ","26,308 ","799.40 ","suppressed","2293.54 ","2763.71 ","2994.37 ","720.08 ","2633.93 ","834.65 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","26,947 ","suppressed","suppressed","24,798 ","27,778 ","26,976 ","24,997 ","27,079 ","1835.25 ","suppressed","suppressed","2404.05 ","1865.22 ","2685.81 ","2273.49 ","1947.96 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","27,177 ","suppressed","suppressed","28,739 ","29,413 ","26,827 ","28,024 ","27,073 ","775.96 ","suppressed","suppressed","3083.05 ","2806.59 ","529.37 ","2893.31 ","791.77 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","22,511 ","suppressed","suppressed","suppressed","19,214 ","23,651 ","suppressed","22,419 ","2820.49 ","suppressed","suppressed","suppressed","3739.07 ","3309.83 ","suppressed","2879.69 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","24,950 ","19,952 ","24,799 ","24,993 ","26,350 ","24,780 ","26,921 ","24,584 ","917.66 ","1910.04 ","2463.06 ","2578.43 ","2246.23 ","1178.60 ","1675.79 ","1053.75 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","27,194 ","suppressed","suppressed","32,316 ","26,894 ","26,978 ","suppressed","27,091 ","1092.53 ","suppressed","suppressed","4069.67 ","4345.36 ","893.01 ","suppressed","1102.01 "
