"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","9,762 ","8,797 ","10,271 ","9,398 ","10,502 ","9,485 ","9,252 ","9,895 ","273.12 ","1363.82 ","973.33 ","562.27 ","419.77 ","428.09 ","638.43 ","293.78 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","9,439 ","suppressed","suppressed","10,446 ","9,294 ","8,919 ","10,561 ","9,165 ","442.81 ","suppressed","suppressed","400.15 ","314.25 ","617.22 ","1600.32 ","371.89 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,738 ","7,877 ","10,696 ","9,005 ","10,563 ","9,593 ","8,937 ","9,937 ","325.92 ","1342.49 ","1194.56 ","703.57 ","488.94 ","497.33 ","752.60 ","347.03 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","10,865 ","suppressed","10,590 ","suppressed","suppressed","9,387 ","9,641 ","11,471 ","809.72 ","suppressed","773.55 ","suppressed","suppressed","370.75 ","792.89 ","1090.01 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","9,520 ","8,797 ","9,672 ","9,415 ","10,252 ","8,852 ","9,005 ","9,791 ","297.13 ","1363.82 ","1032.10 ","563.97 ","346.69 ","387.10 ","635.07 ","288.41 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","10,080 ","suppressed","13,610 ","suppressed","11,050 ","9,724 ","13,610 ","9,987 ","474.55 ","suppressed","718.26 ","suppressed","1008.66 ","546.76 ","718.26 ","487.28 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,863 ","suppressed","1,906 ","1,357 ","1,818 ","2,001 ","1,777 ","1,885 ","132.13 ","suppressed","367.21 ","258.62 ","216.86 ","201.68 ","321.42 ","144.11 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,256 ","suppressed","suppressed","2,020 ","2,453 ","suppressed","2,133 ","2,287 ","318.29 ","suppressed","suppressed","350.42 ","354.66 ","suppressed","356.18 ","385.24 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,711 ","suppressed","1,490 ","1,053 ","1,614 ","1,932 ","1,602 ","1,738 ","142.60 ","suppressed","361.48 ","236.70 ","246.26 ","201.66 ","385.60 ","150.68 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,741 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","529.15 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed"
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,819 ","suppressed","2,117 ","1,342 ","1,837 ","2,030 ","1,836 ","1,811 ","184.49 ","suppressed","370.05 ","258.80 ","245.21 ","501.31 ","334.15 ","220.35 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,920 ","suppressed","suppressed","suppressed","1,777 ","1,990 ","suppressed","1,951 ","191.81 ","suppressed","suppressed","suppressed","435.41 ","217.20 ","suppressed","193.46 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","19.1% ","suppressed","18.6% ","14.4% ","17.3% ","21.1% ","19.2% ","19.1% ","1.21% ","suppressed","3.87% ","2.85% ","1.90% ","1.77% ","3.32% ","1.27% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","23.9% ","suppressed","suppressed","19.3% ","26.4% ","suppressed","suppressed","25.0% ","3.22% ","suppressed","suppressed","3.31% ","3.52% ","suppressed","suppressed","3.67% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","17.6% ","suppressed","13.9% ","11.7% ","15.3% ","20.1% ","17.9% ","17.5% ","1.26% ","suppressed","3.37% ","2.90% ","2.03% ","1.64% ","3.94% ","1.26% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","25.2% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","5.56% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed"
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","19.1% ","suppressed","21.9% ","14.3% ","17.9% ","22.9% ","20.4% ","18.5% ","1.84% ","suppressed","3.86% ","2.84% ","2.35% ","5.06% ","3.44% ","2.13% "
