"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,638 ","1,620*","1,398 ","1,181 ","1,547 ","1,829 ","1,583 ","1,646 ","122.79 ","672.93*","367.59 ","276.29 ","274.92 ","153.25 ","288.99 ","134.61 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,572 ","suppressed","suppressed","2,540 ","1,290 ","2,105 ","1,194*","1,639 ","260.63 ","suppressed","suppressed","490.70 ","270.19 ","624.10 ","411.30*","297.92 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,654 ","suppressed","suppressed","979*","1,633 ","1,788 ","1,757 ","1,641 ","151.00 ","suppressed","suppressed","308.66*","439.62 ","146.90 ","432.71 ","161.13 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,677 ","suppressed","suppressed","suppressed","suppressed","1,650 ","suppressed","1,713 ","232.50 ","suppressed","suppressed","suppressed","suppressed","364.87 ","suppressed","279.38 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,772 ","1,668*","1,414 ","1,225 ","2,120 ","2,054 ","1,620 ","1,831 ","217.98 ","724.09*","402.42 ","299.77 ","571.58 ","280.67 ","312.02 ","278.28 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,538 ","suppressed","suppressed","suppressed","1,171 ","1,756 ","suppressed","1,546 ","137.06 ","suppressed","suppressed","suppressed","203.97 ","180.28 ","suppressed","139.52 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","19.2% ","16.3%*","17.3%*","15.4% ","18.7% ","20.7% ","18.1% ","19.3% ","1.36% ","6.75%*","5.33%*","3.24% ","3.03% ","1.71% ","3.38% ","1.48% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","18.1% ","suppressed","suppressed","suppressed","16.9% ","21.1% ","12.8%*","19.1% ","2.86% ","suppressed","suppressed","suppressed","3.35% ","5.90% ","4.66%*","3.25% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","19.5% ","suppressed","suppressed","13.3% ","19.4% ","20.7% ","20.3% ","19.4% ","1.71% ","suppressed","suppressed","3.83% ","4.74% ","1.84% ","4.83% ","1.83% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","19.2% ","suppressed","suppressed","suppressed","suppressed","19.3% ","suppressed","19.2% ","2.91% ","suppressed","suppressed","suppressed","suppressed","4.39% ","suppressed","3.12% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","21.2% ","18.2%*","16.5%*","15.4% ","24.9% ","25.1% ","18.7% ","22.2% ","2.48% ","7.50%*","5.44%*","3.44% ","6.09% ","3.72% ","3.60% ","3.18% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","17.7% ","suppressed","suppressed","suppressed","14.4% ","19.4% ","suppressed","17.8% ","1.44% ","suppressed","suppressed","suppressed","2.25% ","1.87% ","suppressed","1.46% "
