"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","13.7% ","31.1% ","9.2%*","8.7%*","16.0%*","12.7%*","14.9% ","13.4% ","2.57% ","6.28% ","4.14%*","3.54%*","4.98%*","4.05%*","2.58% ","3.15% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","9.7% ","17.5% ","4.9%*","3.4%*","11.3%*","10.3%*","7.7% ","10.2%*","2.57% ","4.83% ","2.81%*","1.58%*","5.06%*","4.14%*","1.91% ","3.19%*"
"II.B.3","Number of full-time employees","1,165,435 ","63,643 ","75,840 ","131,004 ","228,121 ","666,826 ","222,300 ","943,135 ","138,834 ","7,134 ","14,025 ","21,585 ","24,587 ","135,517 ","18,756 ","138,112 "
"II.B.3.a","Percent of number of full-time employees","1,165,435 ","5.5% ","6.5% ","11.2% ","19.6% ","57.2% ","19.1% ","80.9% ","138,834 ","0.88% ","1.40% ","2.15% ","2.90% ","5.26% ","2.64% ","2.64% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","90.1% ","34.7% ","65.1% ","83.9% ","99.3% ","96.4% ","61.1% ","97.0% ","1.97% ","8.84% ","10.49% ","5.89% ","0.57% ","2.18% ","5.74% ","1.54% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","90.2% ","92.5% ","99.2% ","89.1% ","88.3% ","90.2% ","96.3% ","89.2% ","2.40% ","5.76% ","0.77% ","7.07% ","4.36% ","3.37% ","2.07% ","2.79% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","74.5% ","75.3% ","64.1% ","68.9% ","69.9% ","77.8% ","70.4% ","75.1% ","3.96% ","8.31% ","4.77% ","6.64% ","4.09% ","5.59% ","4.05% ","4.47% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","67.1% ","69.7% ","63.6% ","61.4% ","61.8% ","70.2% ","67.9% ","67.0% ","4.69% ","7.84% ","4.94% ","9.41% ","4.74% ","6.80% ","4.35% ","5.37% "
"II.B.4","Number of part-time employees","351,659 ","28,259 ","33,320 ","47,099 ","40,401 ","202,581 ","83,875 ","267,784 ","46,743 ","7,113 ","7,789 ","13,197 ","10,868 ","43,011 ","11,785 ","45,512 "
"II.B.4.a","Percent of number of part-time employees","351,659 ","8.0% ","9.5% ","13.4% ","11.5% ","57.6% ","23.9% ","76.1% ","46,743 ","2.15% ","2.42% ","3.74% ","3.16% ","6.04% ","4.05% ","4.05% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","82.6% ","8.3%*","49.5% ","72.8% ","97.5% ","97.7% ","36.7% ","97.0% ","3.44% ","6.02%*","13.09% ","11.21% ","2.49% ","2.04% ","8.24% ","1.74% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","23.4%*","suppressed","0% ","4.9%*","14.7%*","30.5%*","1.3%*","26.0%*","7.53%*","suppressed","0% ","2.12%*","5.65%*","10.54%*","1.30%*","8.30%*"
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","51.7%*","suppressed","suppressed","suppressed","suppressed","56.9% ","suppressed","52.0%*","16.66%*","suppressed","suppressed","suppressed","suppressed","17.05% ","suppressed","16.67%*"
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","12.1%*","suppressed","0% ","0.2%*","1.6%*","17.4%*","0% ","13.5%*","7.06%*","suppressed","0% ","0.19%*","0.83%*","9.90%*","0% ","7.81%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,215 ","suppressed","7,110 ","9,202 ","7,761 ","8,315 ","8,232 ","8,213 ","395.02 ","suppressed","514.40 ","1129.44 ","408.13 ","614.26 ","775.31 ","441.77 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","7,665 ","suppressed","5,672 ","suppressed","5,948 ","7,764 ","9,121 ","7,352 ","685.44 ","suppressed","425.06 ","suppressed","417.42 ","972.82 ","1747.78 ","655.57 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,322 ","suppressed","7,818 ","7,517 ","8,233 ","8,546 ","7,212 ","8,466 ","426.73 ","suppressed","464.30 ","999.15 ","452.10 ","665.67 ","488.77 ","484.09 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","10,024 ","suppressed","suppressed","suppressed","9,306 ","suppressed","suppressed","9,935 ","937.36 ","suppressed","suppressed","suppressed","564.20 ","suppressed","suppressed","1202.66 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","7,750 ","suppressed","7,384 ","9,380 ","7,555 ","7,391 ","8,389 ","7,601 ","531.62 ","suppressed","507.69 ","1197.91 ","464.77 ","913.72 ","860.43 ","610.57 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,099 ","suppressed","suppressed","suppressed","8,441 ","9,424 ","7,078 ","9,202 ","305.02 ","suppressed","suppressed","suppressed","852.10 ","288.72 ","1121.90 ","306.19 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,563 ","suppressed","816*","1,999 ","1,508 ","1,567 ","1,422 ","1,586 ","149.91 ","suppressed","331.56*","373.20 ","152.60 ","230.07 ","289.17 ","169.51 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,144 ","suppressed","suppressed","suppressed","1,531 ","951*","suppressed","1,122 ","247.16 ","suppressed","suppressed","suppressed","180.27 ","289.22*","suppressed","272.96 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,739 ","suppressed","suppressed","2,196 ","1,508 ","1,850 ","1,264 ","1,801 ","151.14 ","suppressed","suppressed","399.57 ","198.03 ","215.36 ","324.53 ","165.72 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,752 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","474.49 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed"
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,461 ","suppressed","suppressed","2,010 ","1,546 ","1,365 ","1,321 ","1,494 ","202.64 ","suppressed","suppressed","399.26 ","180.20 ","353.56 ","316.40 ","241.75 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,755 ","suppressed","suppressed","suppressed","1,383*","1,809 ","suppressed","1,734 ","178.73 ","suppressed","suppressed","suppressed","415.53*","207.96 ","suppressed","184.46 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","19.0% ","suppressed","11.5%*","21.7% ","19.4% ","18.8% ","17.3% ","19.3% ","2.01% ","suppressed","5.12%*","5.43% ","2.26% ","3.00% ","4.40% ","2.24% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","14.9% ","suppressed","suppressed","suppressed","25.7% ","12.2% ","suppressed","15.3% ","3.02% ","suppressed","suppressed","suppressed","2.25% ","3.08% ","suppressed","3.32% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","20.9% ","suppressed","suppressed","29.2% ","18.3% ","21.7% ","17.5% ","21.3% ","2.35% ","suppressed","suppressed","4.49% ","2.47% ","3.44% ","5.22% ","2.54% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","17.5% ","suppressed","suppressed","suppressed","suppressed","16.4% ","suppressed","suppressed","4.89% ","suppressed","suppressed","suppressed","suppressed","0.78% ","suppressed","suppressed"
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","18.9% ","suppressed","4.5%*","21.4% ","20.5% ","18.5%*","15.7% ","19.7% ","3.00% ","suppressed","2.22%*","5.70% ","3.07% ","5.58%*","4.62% ","3.62% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","19.3% ","suppressed","suppressed","26.9% ","16.4% ","19.2% ","suppressed","18.8% ","2.02% ","suppressed","suppressed","1.14% ","3.41% ","2.33% ","suppressed","2.02% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","53.8% ","suppressed","62.4% ","64.4% ","62.6% ","49.1% ","61.0% ","52.8% ","3.98% ","suppressed","4.81% ","5.89% ","3.44% ","4.88% ","4.90% ","4.33% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","11.2% ","suppressed","55.8% ","19.5%*","18.6%*","1.8%*","40.1% ","6.4%*","3.05% ","suppressed","15.36% ","10.31%*","9.37%*","1.28%*","9.81% ","2.82%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","34.5% ","suppressed","25.5%*","7.1%*","23.3%*","45.4% ","12.0%*","38.2% ","6.33% ","suppressed","12.54%*","5.12%*","8.10%*","11.32% ","5.13%*","7.59% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","51.6% ","suppressed","61.0% ","63.9% ","61.7% ","43.9% ","61.6% ","49.7% ","5.23% ","suppressed","5.37% ","6.19% ","3.03% ","6.06% ","5.47% ","5.65% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","58.6% ","suppressed","suppressed","suppressed","65.6% ","57.3% ","56.9% ","58.7% ","1.90% ","suppressed","suppressed","suppressed","10.76% ","1.41% ","8.78% ","1.94% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","23,075 ","suppressed","22,914 ","21,355 ","23,658 ","23,328 ","20,601 ","23,408 ","1126.45 ","suppressed","2937.79 ","2243.55 ","1216.64 ","1564.00 ","1699.23 ","1324.93 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","20,654 ","suppressed","16,625 ","suppressed","19,806 ","21,230 ","14,278 ","21,228 ","947.95 ","suppressed","1003.19 ","suppressed","1166.92 ","1367.90 ","1015.29 ","1275.62 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","24,622 ","22,405 ","suppressed","22,639 ","24,177 ","25,062 ","23,067 ","24,828 ","1015.11 ","883.88 ","suppressed","1765.46 ","1602.19 ","1392.18 ","1564.49 ","1124.71 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","25,129 ","suppressed","suppressed","25,372 ","suppressed","26,680 ","suppressed","26,382 ","1921.37 ","suppressed","suppressed","1850.88 ","suppressed","1528.02 ","suppressed","1539.16 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","21,555 ","suppressed","24,883 ","21,036 ","22,359 ","21,436 ","20,674 ","21,709 ","1140.08 ","suppressed","3282.21 ","2281.57 ","1399.43 ","1563.79 ","2008.88 ","1333.72 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","26,145 ","suppressed","15,393 ","suppressed","28,818 ","26,290 ","20,232 ","26,516 ","772.76 ","suppressed","1312.74 ","suppressed","1636.87 ","810.85 ","1974.18 ","741.87 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","7,902 ","suppressed","8,891 ","10,615 ","8,092 ","7,759 ","7,528 ","7,953 ","388.58 ","suppressed","1026.95 ","1844.11 ","1006.23 ","465.70 ","1008.62 ","417.08 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","8,123 ","suppressed","11,624 ","suppressed","7,899 ","8,150 ","suppressed","8,192 ","529.59 ","suppressed","905.26 ","suppressed","1420.71 ","580.07 ","suppressed","548.62 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,712 ","suppressed","suppressed","11,881 ","7,917 ","7,456 ","7,225 ","7,776 ","553.15 ","suppressed","suppressed","2071.44 ","1199.21 ","672.76 ","1241.55 ","604.83 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","8,134 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","1681.43 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed"
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","8,268 ","suppressed","8,011 ","10,600 ","7,433 ","8,393 ","7,456 ","8,410 ","505.51 ","suppressed","1057.38 ","1920.94 ","1114.53 ","643.28 ","1007.68 ","574.05 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","7,163 ","suppressed","12,251 ","suppressed","10,710 ","6,765 ","suppressed","7,118 ","528.89 ","suppressed","991.87 ","suppressed","1669.03 ","504.51 ","suppressed","512.79 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","34.2% ","suppressed","suppressed","49.7% ","34.2% ","33.3% ","36.5% ","34.0% ","2.58% ","suppressed","suppressed","6.14% ","4.12% ","3.47% ","5.04% ","2.86% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","39.3% ","suppressed","69.9% ","suppressed","39.9% ","38.4% ","suppressed","38.6% ","3.14% ","suppressed","4.32% ","suppressed","7.94% ","3.81% ","suppressed","3.51% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","31.3% ","suppressed","suppressed","52.5% ","32.7% ","29.8% ","31.3% ","31.3% ","2.54% ","suppressed","suppressed","9.17% ","4.61% ","3.14% ","6.00% ","2.76% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","32.4% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","6.74% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed"
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","38.4% ","suppressed","suppressed","50.4% ","33.2% ","39.2% ","36.1% ","38.7% ","3.12% ","suppressed","suppressed","6.50% ","5.11% ","4.18% ","4.92% ","3.50% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","27.4% ","suppressed","79.6% ","suppressed","37.2% ","25.7% ","suppressed","26.8% ","2.07% ","suppressed","1.94% ","suppressed","5.60% ","1.92% ","suppressed","1.95% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","24.0% ","suppressed","19.7% ","19.1% ","17.5% ","26.7% ","22.9% ","24.2% ","2.77% ","suppressed","3.63% ","3.93% ","2.16% ","3.72% ","3.30% ","3.11% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","4.0%*","suppressed","suppressed","3.0%*","9.1%*","0% ","23.1%*","1.4%*","1.70%*","suppressed","suppressed","2.35%*","7.13%*","0% ","7.84%*","1.20%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","33.1%*","suppressed","suppressed","suppressed","20.1%*","39.0%*","16.5%*","35.4%*","10.19%*","suppressed","suppressed","suppressed","7.59%*","15.49%*","7.75%*","12.02%*"
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","23.5% ","suppressed","suppressed","19.6% ","18.0% ","26.7% ","22.0% ","23.8% ","3.95% ","suppressed","suppressed","4.12% ","2.26% ","5.83% ","3.54% ","4.59% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","25.1% ","suppressed","suppressed","suppressed","15.9% ","26.6% ","suppressed","24.9% ","2.14% ","suppressed","suppressed","suppressed","4.15% ","2.25% ","suppressed","2.22% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","14,858 ","suppressed","14,571 ","15,344 ","15,047 ","14,843 ","13,611 ","14,982 ","1414.56 ","suppressed","1895.95 ","1813.55 ","1188.41 ","1939.78 ","1185.84 ","1570.98 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","13,929 ","suppressed","16,176 ","15,313 ","13,845 ","13,735 ","13,898 ","13,933 ","1646.69 ","suppressed","1868.72 ","1914.47 ","1120.24 ","2307.36 ","1305.10 ","1833.67 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","17,926 ","suppressed","8,534 ","suppressed","19,643 ","18,007 ","suppressed","18,221 ","701.54 ","suppressed","384.41 ","suppressed","981.75 ","735.54 ","suppressed","670.96 "
"II.E.2","Average total employee contribution (in dollars) per enrolled employee for employee-plus-one coverage at establishments that offer health insurance","4,498 ","suppressed","4,283 ","7,147 ","5,443 ","3,980 ","6,257 ","4,324 ","408.21 ","suppressed","639.86 ","566.95 ","610.29 ","518.93 ","867.02 ","427.63 "
"II.E.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for employee-plus-one coverage at private-sector establishments that offer health insurance","4,319 ","suppressed","suppressed","7,127 ","4,995 ","3,763 ","6,235 ","4,095 ","511.44 ","suppressed","suppressed","601.83 ","653.29 ","716.09 ","975.55 ","549.30 "
