"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","10,379 ","suppressed","8,843 ","suppressed","10,455 ","11,773 ","9,986 ","10,764 ","653.66 ","suppressed","758.80 ","suppressed","613.80 ","761.05 ","1193.43 ","531.83 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,906 ","suppressed","9,689 ","8,343 ","9,387 ","7,927 ","9,274 ","8,661 ","491.43 ","suppressed","1156.34 ","559.20 ","322.22 ","1207.39 ","762.98 ","606.68 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,783 ","11,591 ","suppressed","suppressed","8,312 ","9,969 ","suppressed","9,731 ","417.41 ","1050.27 ","suppressed","suppressed","1559.68 ","388.68 ","suppressed","427.28 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","2,046 ","suppressed","2,041 ","3,204 ","2,195 ","1,878 ","1,902 ","2,082 ","156.94 ","suppressed","218.74 ","597.33 ","309.50 ","210.08 ","263.55 ","187.11 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,362 ","suppressed","suppressed","suppressed","2,348 ","1,672 ","suppressed","2,417 ","367.49 ","suppressed","suppressed","suppressed","413.75 ","145.26 ","suppressed","450.73 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,050 ","suppressed","suppressed","2,809 ","2,152 ","1,960 ","2,005 ","2,057 ","192.82 ","suppressed","suppressed","522.50 ","451.29 ","249.02 ","372.61 ","215.95 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,623 ","suppressed","2,047 ","suppressed","2,184 ","suppressed","suppressed","1,596 ","325.34 ","suppressed","281.26 ","suppressed","518.20 ","suppressed","suppressed","375.41 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,180 ","suppressed","1,900 ","3,130 ","2,613 ","1,818 ","1,670 ","2,519 ","204.36 ","suppressed","229.23 ","627.70 ","300.78 ","130.87 ","253.60 ","297.72 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,935 ","suppressed","3,095 ","suppressed","1,636 ","1,892 ","suppressed","1,858 ","229.49 ","suppressed","17.00 ","suppressed","448.15 ","260.08 ","suppressed","230.02 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","21.8% ","suppressed","21.3% ","36.7% ","24.6% ","19.6% ","20.1% ","22.2% ","1.63% ","suppressed","3.00% ","5.41% ","2.44% ","2.21% ","2.96% ","1.92% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","28.6% ","suppressed","suppressed","suppressed","suppressed","24.4% ","23.7% ","30.0% ","3.82% ","suppressed","suppressed","suppressed","suppressed","3.84% ","4.16% ","4.65% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","21.6% ","suppressed","suppressed","37.0% ","26.2% ","19.7% ","21.7% ","21.6% ","1.83% ","suppressed","suppressed","4.16% ","3.27% ","2.31% ","4.26% ","2.02% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","15.6% ","suppressed","23.1% ","suppressed","20.9% ","suppressed","suppressed","14.8% ","3.20% ","suppressed","2.66% ","suppressed","4.67% ","suppressed","suppressed","3.22% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","24.5% ","suppressed","19.6% ","37.5% ","27.8% ","22.9% ","18.0% ","29.1% ","2.36% ","suppressed","2.97% ","5.94% ","3.25% ","3.48% ","3.03% ","2.96% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","19.8% ","suppressed","suppressed","suppressed","19.7% ","19.0% ","suppressed","19.1% ","2.15% ","suppressed","suppressed","suppressed","2.64% ","2.50% ","suppressed","2.18% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","54.8% ","59.6% ","66.5% ","64.1% ","52.8% ","51.9% ","65.1% ","52.7% ","2.20% ","11.71% ","10.17% ","4.06% ","2.82% ","2.95% ","5.88% ","2.23% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","9.9%*","73.4% ","8.3%*","9.9%*","17.8%*","0.9%*","24.3%*","6.3%*","2.99%*","13.58% ","5.74%*","7.00%*","9.81%*","0.68%*","7.58%*","2.94%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","55.0% ","suppressed","11.8%*","5.8%*","42.8% ","80.8% ","10.9%*","66.1% ","6.50% ","suppressed","7.85%*","3.74%*","10.29% ","8.69% ","4.67%*","7.11% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","65.4% ","67.5% ","77.6% ","65.2% ","54.5% ","70.5% ","72.4% ","61.4% ","3.25% ","11.81% ","4.63% ","4.31% ","4.97% ","6.35% ","4.40% ","4.34% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","48.4% ","suppressed","suppressed","suppressed","50.7% ","48.9% ","suppressed","49.1% ","2.07% ","suppressed","suppressed","suppressed","2.23% ","2.40% ","suppressed","2.07% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","27,361 ","suppressed","25,491 ","21,203 ","24,611 ","30,070 ","23,044 ","28,020 ","1031.10 ","suppressed","2777.53 ","1959.15 ","2726.46 ","564.55 ","2650.89 ","1097.10 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","24,740 ","suppressed","suppressed","19,919 ","29,580 ","23,938 ","suppressed","25,758 ","1925.92 ","suppressed","suppressed","2885.65 ","941.40 ","2251.75 ","suppressed","1628.95 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","27,539 ","suppressed","suppressed","21,913 ","22,947 ","30,209 ","22,741 ","28,105 ","1251.35 ","suppressed","suppressed","1412.94 ","3384.88 ","578.57 ","3912.50 ","1305.74 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","28,048 ","suppressed","22,444 ","suppressed","30,452 ","31,268 ","25,218 ","29,234 ","1442.34 ","suppressed","1454.47 ","suppressed","1290.64 ","1718.60 ","2030.26 ","1741.65 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","24,177 ","suppressed","21,100 ","19,318 ","27,136 ","27,793 ","19,059 ","26,166 ","1273.67 ","suppressed","1794.09 ","1577.75 ","1185.37 ","3067.92 ","2210.85 ","1104.58 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","28,726 ","suppressed","suppressed","30,796 ","21,529 ","30,239 ","29,961 ","28,635 ","1310.04 ","suppressed","suppressed","1912.54 ","5143.42 ","569.21 ","788.48 ","1404.37 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","7,028 ","suppressed","suppressed","7,270 ","6,833 ","7,046 ","7,194 ","7,002 ","488.21 ","suppressed","suppressed","1084.65 ","1221.68 ","596.63 ","970.72 ","542.45 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,775 ","suppressed","suppressed","suppressed","6,439 ","8,105 ","suppressed","7,101 ","963.63 ","suppressed","suppressed","suppressed","954.36 ","1206.47 ","suppressed","1047.64 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,897 ","suppressed","suppressed","8,766 ","6,309 ","7,022 ","7,454 ","6,831 ","555.16 ","suppressed","suppressed","1128.87 ","1550.23 ","597.08 ","812.03 ","612.86 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","8,098 ","suppressed","suppressed","7,181 ","11,045 ","suppressed","suppressed","8,393 ","1260.13 ","suppressed","suppressed","253.95 ","1633.58 ","suppressed","suppressed","1386.19 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","7,979 ","suppressed","suppressed","7,029 ","8,673 ","suppressed","5,700 ","8,864 ","689.05 ","suppressed","suppressed","1264.03 ","636.86 ","suppressed","937.72 ","705.16 "
