"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.j","Percent of private-sector employees that are enrolled in a plan that covers telemedicine","97.7% ","86.0% ","100% ","100% ","97.2% ","99.4% ","94.4% ","98.9% ","0.63% ","5.38% ","0% ","0% ","1.49% ","0.30% ","2.12% ","0.45% "
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","16.3% ","23.5% ","9.2%*","16.4% ","10.5%*","19.2% ","15.9% ","16.5% ","2.26% ","5.03% ","4.00%*","4.41% ","3.91%*","4.34% ","2.89% ","2.90% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","8.4% ","12.1%*","6.8%*","6.2%*","5.6%*","10.% ","8.6% ","8.3% ","1.59% ","3.74%*","3.71%*","2.57%*","3.92%*","2.65% ","2.25% ","2.02% "
"II.B.3","Number of full-time employees","373,509 ","38,900 ","34,310 ","55,149 ","77,177 ","167,973 ","98,922 ","274,587 ","25,358 ","4,499 ","6,203 ","9,001 ","14,641 ","18,982 ","8,855 ","24,511 "
"II.B.3.a","Percent of number of full-time employees","373,509 ","10.4% ","9.2% ","14.8% ","20.7% ","45.0% ","26.5% ","73.5% ","25,358 ","1.32% ","1.70% ","2.34% ","3.39% ","3.55% ","2.56% ","2.56% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","96.1% ","82.0% ","82.4% ","100% ","98.4% ","99.8% ","86.8% ","99.4% ","0.98% ","5.02% ","7.95% ","0% ","1.60% ","0.18% ","3.48% ","0.46% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","89.7% ","91.2% ","88.3% ","95.1% ","83.5% ","90.7% ","90.8% ","89.3% ","1.58% ","3.26% ","6.48% ","1.80% ","4.27% ","2.21% ","2.68% ","1.89% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","81.0% ","92.0% ","88.7% ","79.4% ","82.9% ","77.5% ","85.4% ","79.6% ","2.22% ","2.89% ","3.32% ","6.58% ","3.44% ","3.81% ","4.83% ","2.52% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","72.7% ","83.9% ","78.3% ","75.5% ","69.2% ","70.2% ","77.6% ","71.1% ","2.19% ","4.28% ","6.32% ","6.26% ","4.81% ","3.30% ","4.70% ","2.49% "
"II.B.4","Number of part-time employees","128,773 ","13,659 ","15,465 ","17,265 ","34,864*","47,520 ","38,290 ","90,483 ","14,954 ","2,973 ","4,205 ","3,651 ","10,960*","8,935 ","5,356 ","14,253 "
"II.B.4.a","Percent of number of part-time employees","128,773 ","10.6% ","12.0% ","13.4% ","27.1% ","36.9% ","29.7% ","70.3% ","14,954 ","2.44% ","3.23% ","3.00% ","6.70% ","5.63% ","4.52% ","4.52% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","91.3% ","39.3% ","81.8% ","100% ","100% ","99.8% ","71.0% ","99.9% ","2.58% ","10.94% ","11.11% ","0% ","0% ","0.19% ","7.47% ","0.10% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","37.2% ","suppressed","suppressed","39.4% ","34.0% ","41.4% ","29.9% ","39.3% ","5.30% ","suppressed","suppressed","11.31% ","9.65% ","9.21% ","7.12% ","6.60% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","43.6% ","suppressed","suppressed","35.9% ","47.0% ","43.5% ","49.9% ","42.2% ","5.95% ","suppressed","suppressed","8.17% ","7.90% ","11.27% ","9.94% ","6.90% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","16.2% ","suppressed","suppressed","14.2% ","16.0%*","18.0% ","14.9% ","16.6% ","2.91% ","suppressed","suppressed","3.76% ","6.03%*","5.34% ","3.72% ","3.64% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,285 ","7,416 ","7,812 ","9,022 ","7,655 ","8,685 ","8,372 ","8,250 ","230.22 ","742.32 ","827.54 ","612.52 ","410.78 ","245.68 ","568.33 ","225.92 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","8,047 ","8,133 ","6,323 ","9,508 ","7,646 ","7,484 ","8,531 ","7,654 ","476.19 ","935.61 ","569.50 ","1094.57 ","550.62 ","340.75 ","869.96 ","361.05 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,302 ","7,073 ","suppressed","9,054 ","7,338 ","8,655 ","8,746 ","8,176 ","316.25 ","1351.80 ","suppressed","872.83 ","584.09 ","304.10 ","924.52 ","310.69 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","8,534 ","suppressed","suppressed","8,142 ","9,148 ","9,229 ","7,240 ","8,955 ","425.76 ","suppressed","suppressed","656.75 ","701.76 ","354.29 ","1009.47 ","347.01 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,115 ","7,486 ","7,923 ","9,058 ","7,722 ","8,119 ","8,556 ","7,881 ","282.71 ","833.84 ","1000.15 ","674.79 ","415.96 ","283.20 ","655.62 ","234.28 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","8,684 ","suppressed","suppressed","8,708 ","7,265 ","9,138 ","7,372 ","8,914 ","317.34 ","suppressed","suppressed","884.07 ","1331.47 ","271.23 ","705.20 ","319.93 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","857 ","244*","140*","854*","353*","1,514 ","404*","1,040 ","115.76 ","124.65*","76.06*","283.01*","124.46*","204.94 ","158.12*","146.38 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","398 ","suppressed","suppressed","214*","386*","1,088 ","173*","581 ","83.04 ","suppressed","suppressed","108.82*","153.02*","210.23 ","81.08*","129.34 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,127 ","suppressed","suppressed","1,270*","269*","1,868 ","669*","1,258 ","208.09 ","suppressed","suppressed","550.13*","140.19*","286.23 ","360.72*","245.20 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","785 ","suppressed","suppressed","suppressed","suppressed","883 ","suppressed","923 ","123.57 ","suppressed","suppressed","suppressed","suppressed","63.60 ","suppressed","128.09 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","652 ","278*","158*","793*","366*","1,282 ","383*","794 ","132.66 ","140.98*","94.57*","291.71*","146.15*","354.35 ","168.86*","181.83 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,337 ","0 ","suppressed","suppressed","suppressed","1,701 ","suppressed","1,481 ","193.38 ","0 ","suppressed","suppressed","suppressed","241.32 ","suppressed","206.25 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","10.3% ","3.3%*","1.8%*","9.5%*","4.6%*","17.4% ","4.8%*","12.6% ","1.33% ","1.75%*","0.94%*","3.23%*","1.52%*","2.32% ","1.87%*","1.64% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","5.0% ","2.2%*","suppressed","2.2%*","5.0%*","14.5% ","2.0%*","7.6% ","1.13% ","1.36%*","suppressed","1.32%*","1.92%*","2.86% ","1.01%*","1.63% "
