"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","8,340 ","suppressed","suppressed","5,498 ","6,846 ","8,116 ","suppressed","7,521 ","790.76 ","suppressed","suppressed","311.59 ","755.36 ","481.34 ","suppressed","437.01 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","7,596 ","suppressed","suppressed","7,774 ","7,795 ","7,614 ","7,254 ","7,647 ","484.30 ","suppressed","suppressed","607.44 ","664.87 ","832.82 ","692.71 ","550.67 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","7,296 ","suppressed","suppressed","suppressed","6,889 ","7,811 ","7,746 ","6,975 ","693.09 ","suppressed","suppressed","suppressed","528.36 ","451.03 ","1373.00 ","636.24 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,127 ","suppressed","suppressed","8,208 ","6,589 ","8,723 ","9,404 ","7,652 ","508.74 ","suppressed","suppressed","645.08 ","753.69 ","345.58 ","1341.14 ","457.69 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","7,443 ","suppressed","suppressed","5,507 ","8,485 ","7,358 ","5,832 ","7,536 ","530.39 ","suppressed","suppressed","523.30 ","565.52 ","772.27 ","717.17 ","564.21 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,837 ","suppressed","suppressed","1,009 ","1,744 ","1,771 ","2,503*","1,722 ","177.98 ","suppressed","suppressed","275.14 ","234.40 ","214.58 ","798.78*","153.95 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,115 ","suppressed","suppressed","suppressed","1,993 ","1,512 ","suppressed","1,498 ","554.57 ","suppressed","suppressed","suppressed","329.07 ","289.51 ","suppressed","243.07 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,846 ","suppressed","suppressed","1,384 ","1,744 ","1,876 ","1,999 ","1,823 ","180.85 ","suppressed","suppressed","373.37 ","295.76 ","284.78 ","443.77 ","196.67 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,043 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","1,398 ","305.91 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","412.08 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,194 ","suppressed","suppressed","1,294*","1,834 ","2,043 ","2,835*","1,956 ","315.74 ","suppressed","suppressed","398.53*","337.86 ","326.44 ","1000.36*","214.34 "
