"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.4.a","Percent of number of part-time employees","708,208 ","17.0% ","16.3% ","suppressed","16.4% ","36.6% ","42.5% ","57.5% ","71,734 ","2.93% ","3.50% ","suppressed","4.19% ","5.47% ","4.88% ","4.88% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","73.2% ","22.2%*","36.5%*","78.6% ","100% ","99.3% ","39.2% ","98.3% ","4.41% ","7.67%*","12.04%*","14.38% ","0% ","0.57% ","7.32% ","1.33% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","21.9% ","suppressed","suppressed","suppressed","16.8%*","16.7% ","40.9% ","16.3% ","4.28% ","suppressed","suppressed","suppressed","8.71%*","4.21% ","11.81% ","3.82% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","36.9% ","suppressed","suppressed","suppressed","suppressed","39.4% ","suppressed","41.8% ","7.52% ","suppressed","suppressed","suppressed","suppressed","6.14% ","suppressed","7.71% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","8.1% ","suppressed","suppressed","suppressed","8.1%*","6.6%*","12.3%*","6.8%*","2.22% ","suppressed","suppressed","suppressed","6.02%*","2.33%*","5.70%*","2.32%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","9,743 ","10,652 ","11,022 ","10,355 ","9,938 ","8,908 ","10,415 ","9,552 ","330.64 ","1080.01 ","669.75 ","993.69 ","733.36 ","278.59 ","594.98 ","388.63 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","9,626 ","suppressed","suppressed","11,771 ","suppressed","9,381 ","11,651 ","9,139 ","916.50 ","suppressed","suppressed","1114.82 ","suppressed","375.98 ","1328.69 ","1092.29 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,938 ","11,669 ","11,417 ","9,425 ","10,597 ","9,072 ","10,207 ","9,862 ","362.12 ","1728.00 ","688.10 ","1403.89 ","629.01 ","366.56 ","754.42 ","407.19 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","9,174 ","9,451 ","suppressed","10,832 ","11,319 ","7,789 ","9,411 ","9,079 ","487.26 ","504.78 ","suppressed","828.91 ","908.67 ","692.43 ","466.31 ","648.46 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","9,783 ","11,164 ","11,163 ","11,220 ","9,248 ","8,035 ","10,923 ","9,251 ","553.97 ","1217.38 ","742.15 ","1103.30 ","1232.27 ","483.74 ","626.20 ","760.52 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,702 ","suppressed","suppressed","suppressed","10,767 ","9,275 ","9,029 ","9,795 ","354.48 ","suppressed","suppressed","suppressed","727.69 ","348.84 ","989.14 ","374.48 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","2,223 ","1,553*","2,300*","4,109 ","1,662 ","2,220 ","2,698 ","2,088 ","239.06 ","557.26*","897.04*","583.75 ","407.08 ","317.24 ","447.10 ","279.62 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,715 ","suppressed","suppressed","3,694 ","suppressed","1,602 ","suppressed","1,358*","471.46 ","suppressed","suppressed","692.87 ","suppressed","215.07 ","suppressed","451.70*"
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,505 ","suppressed","suppressed","suppressed","2,206 ","2,319 ","2,898 ","2,394 ","300.54 ","suppressed","suppressed","suppressed","521.46 ","432.14 ","594.18 ","349.32 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,068 ","suppressed","suppressed","suppressed","2,044 ","2,497 ","suppressed","2,341 ","394.88 ","suppressed","suppressed","suppressed","263.69 ","500.91 ","suppressed","351.59 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,278 ","suppressed","suppressed","4,515 ","1,630*","2,059*","2,599 ","2,128 ","412.14 ","suppressed","suppressed","649.18 ","644.36*","679.37*","581.57 ","533.04 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,167 ","suppressed","suppressed","suppressed","1,701 ","2,288 ","2,969 ","2,056 ","271.53 ","suppressed","suppressed","suppressed","476.30 ","349.85 ","445.16 ","301.65 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","22.8% ","14.6%*","20.9%*","39.7% ","16.7% ","24.9% ","25.9% ","21.9% ","2.53% ","5.58%*","8.29%*","4.01% ","4.10% ","3.79% ","4.64% ","3.00% "
