"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","9,578 ","9,401 ","10,165 ","7,858 ","10,242 ","10,132 ","9,260 ","9,726 ","504.88 ","1142.20 ","1161.86 ","434.07 ","946.14 ","892.17 ","559.70 ","688.93 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","10,054 ","suppressed","suppressed","7,340 ","9,572 ","10,390 ","suppressed","10,190 ","336.18 ","suppressed","suppressed","632.19 ","1046.53 ","368.58 ","suppressed","346.42 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,869 ","suppressed","2,333*","1,604 ","1,698 ","1,988 ","1,963 ","1,846 ","121.39 ","suppressed","884.19*","261.40 ","193.95 ","136.36 ","416.49 ","111.76 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,152 ","suppressed","suppressed","3,141 ","2,013 ","1,891 ","2,510 ","2,008 ","270.76 ","suppressed","suppressed","585.49 ","293.38 ","424.25 ","492.12 ","306.02 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,818 ","suppressed","suppressed","1,273 ","1,541 ","2,033 ","1,963*","1,793 ","141.10 ","suppressed","suppressed","242.65 ","209.08 ","135.27 ","638.36*","121.50 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,611 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","2,009 ","446.82 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","579.89 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,946 ","suppressed","2,468*","1,737 ","1,718 ","suppressed","2,029 ","1,908 ","216.05 ","suppressed","1002.85*","315.79 ","241.74 ","suppressed","474.46 ","224.65 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,782 ","suppressed","suppressed","suppressed","1,628 ","1,874 ","suppressed","1,795 ","87.68 ","suppressed","suppressed","suppressed","201.62 ","98.39 ","suppressed","89.22 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","19.1% ","suppressed","23.0%*","20.7% ","16.8% ","19.2% ","21.7% ","18.5% ","1.32% ","suppressed","8.21%*","3.43% ","2.32% ","1.30% ","4.33% ","1.27% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","22.3% ","suppressed","suppressed","39.7% ","suppressed","20.2% ","29.9% ","19.8% ","3.02% ","suppressed","suppressed","5.32% ","suppressed","4.61% ","5.63% ","3.17% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","18.1% ","suppressed","suppressed","16.2% ","15.4% ","19.1% ","20.1%*","17.8% ","1.44% ","suppressed","suppressed","3.32% ","2.43% ","1.30% ","6.05%*","1.31% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","19.9% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","24.4% ","5.18% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","6.33% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","20.3% ","suppressed","24.3%*","22.1% ","16.8% ","suppressed","21.9% ","19.6% ","2.47% ","suppressed","9.20%*","4.05% ","2.84% ","suppressed","4.79% ","2.77% "
