"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","9.1% ","1.9%*","0% ","suppressed","11.9%*","14.9% ","0.9%*","11.6% ","1.99% ","1.79%*","0% ","suppressed","5.14%*","2.93% ","0.87%*","2.70% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,985 ","9,299 ","8,104 ","8,700 ","8,825 ","9,313 ","7,990 ","9,225 ","241.44 ","1257.45 ","790.86 ","844.41 ","305.74 ","309.72 ","699.72 ","237.86 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","9,034 ","suppressed","suppressed","suppressed","8,273 ","9,806 ","8,329 ","9,282 ","509.99 ","suppressed","suppressed","suppressed","438.76 ","682.83 ","1074.87 ","539.29 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,980 ","7,014 ","suppressed","8,997 ","8,891 ","9,273 ","6,961 ","9,281 ","282.31 ","1020.91 ","suppressed","969.20 ","342.33 ","376.10 ","778.67 ","275.58 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","8,943 ","suppressed","suppressed","suppressed","suppressed","8,571 ","9,449 ","8,416 ","849.02 ","suppressed","suppressed","suppressed","suppressed","468.42 ","1530.50 ","518.49 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,445 ","9,269 ","suppressed","8,518 ","8,286 ","8,057 ","7,718 ","8,845 ","476.96 ","1327.77 ","suppressed","986.05 ","565.14 ","629.56 ","837.81 ","532.37 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,404 ","suppressed","suppressed","9,845 ","9,166 ","9,523 ","9,075 ","9,429 ","224.94 ","suppressed","suppressed","749.46 ","308.62 ","327.70 ","781.80 ","234.95 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,730 ","2,266*","suppressed","2,003 ","1,672 ","1,510 ","2,002 ","1,665 ","118.61 ","763.05*","suppressed","326.86 ","164.21 ","144.61 ","348.22 ","120.87 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,082 ","suppressed","suppressed","suppressed","1,894 ","2,077 ","suppressed","2,070 ","263.48 ","suppressed","suppressed","suppressed","313.83 ","404.09 ","suppressed","302.68 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,643 ","suppressed","suppressed","2,091 ","1,646 ","1,320 ","1,976 ","1,593 ","127.27 ","suppressed","suppressed","350.45 ","177.03 ","131.85 ","365.32 ","137.46 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,744 ","suppressed","suppressed","suppressed","suppressed","1,598 ","suppressed","1,529 ","506.99 ","suppressed","suppressed","suppressed","suppressed","108.79 ","suppressed","188.81 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,892 ","suppressed","suppressed","1,990 ","1,764 ","1,401 ","2,070 ","1,794 ","202.16 ","suppressed","suppressed","353.71 ","180.13 ","187.85 ","409.71 ","221.74 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,604 ","suppressed","suppressed","suppressed","1,613 ","1,528 ","suppressed","1,595 ","131.61 ","suppressed","suppressed","suppressed","239.03 ","164.47 ","suppressed","136.23 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","19.3% ","24.4% ","24.1% ","23.0% ","18.9% ","16.2% ","25.1% ","18.0% ","1.21% ","6.49% ","4.74% ","2.96% ","2.25% ","1.42% ","3.64% ","1.22% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","23.1% ","suppressed","suppressed","suppressed","22.9% ","21.2% ","suppressed","22.3% ","2.37% ","suppressed","suppressed","suppressed","3.57% ","3.03% ","suppressed","2.46% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","18.3% ","suppressed","suppressed","23.2% ","18.5% ","14.2% ","28.4% ","17.2% ","1.38% ","suppressed","suppressed","2.93% ","2.44% ","1.45% ","4.66% ","1.43% "
