"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,106 ","suppressed","suppressed","suppressed","1,810 ","2,030 ","2,260 ","2,026 ","221.75 ","suppressed","suppressed","suppressed","209.05 ","288.01 ","515.27 ","202.04 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,920 ","2,228 ","1,956 ","1,264 ","1,985 ","2,007 ","1,722 ","1,953 ","149.99 ","0.00 ","388.44 ","308.18 ","420.10 ","168.47 ","312.59 ","167.85 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,092 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","1,790 ","389.92 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","341.80 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,140 ","suppressed","1,713 ","2,109 ","1,833 ","2,750 ","2,048 ","2,188 ","228.51 ","suppressed","361.95 ","371.17 ","435.62 ","413.21 ","316.96 ","308.18 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,813 ","suppressed","suppressed","suppressed","2,151 ","1,762 ","suppressed","1,791 ","110.76 ","suppressed","suppressed","suppressed","368.50 ","108.83 ","suppressed","112.33 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","23.9% ","suppressed","21.8% ","23.4% ","25.0% ","23.6% ","24.7% ","23.7% ","1.62% ","suppressed","5.33% ","4.18% ","4.55% ","1.85% ","3.76% ","1.79% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","28.4% ","46.7% ","suppressed","33.1% ","26.7% ","22.2% ","35.3% ","25.5% ","2.55% ","2.87% ","suppressed","5.65% ","3.10% ","2.52% ","5.98% ","2.27% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","22.8% ","29.3% ","22.8% ","14.3% ","24.8% ","23.5% ","19.8% ","23.3% ","1.88% ","0.00% ","6.25% ","3.67% ","5.68% ","1.96% ","4.17% ","2.09% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","25.7% ","suppressed","1.9%*","suppressed","suppressed","25.3% ","suppressed","25.1% ","4.28% ","suppressed","1.98%*","suppressed","suppressed","4.47% ","suppressed","3.71% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","27.2% ","suppressed","21.3% ","26.2% ","23.2% ","37.5% ","24.6% ","28.7% ","3.25% ","suppressed","6.15% ","4.62% ","5.81% ","7.21% ","4.18% ","4.59% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","21.2% ","suppressed","suppressed","suppressed","29.1% ","20.3% ","suppressed","20.9% ","1.19% ","suppressed","suppressed","suppressed","5.48% ","0.90% ","suppressed","1.20% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","54.2% ","suppressed","55.8% ","62.7% ","55.6% ","52.2% ","57.1% ","53.6% ","2.07% ","suppressed","6.66% ","5.12% ","5.81% ","2.11% ","5.16% ","2.26% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","9.3%*","suppressed","19.1%*","18.1%*","17.0%*","1.1%*","19.8%*","6.8%*","3.54%*","suppressed","9.16%*","8.44%*","12.06%*","0.62%*","6.81%*","4.11%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","51.9% ","suppressed","25.0%*","17.6%*","31.6%*","77.9% ","13.5%*","61.0% ","5.19% ","suppressed","8.75%*","7.82%*","9.75%*","5.79% ","4.35%*","6.07% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","59.5% ","suppressed","54.3% ","65.8% ","59.3% ","61.5% ","58.2% ","60.2% ","3.18% ","suppressed","7.83% ","4.86% ","6.37% ","2.96% ","5.91% ","3.66% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","50.2% ","38.2% ","60.9% ","suppressed","48.9% ","50.0% ","51.1% ","50.1% ","2.38% ","3.37% ","10.52% ","suppressed","8.62% ","2.37% ","7.51% ","2.47% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","23,800 ","suppressed","23,845 ","23,403 ","22,499 ","24,379 ","23,191 ","23,913 ","635.95 ","suppressed","2256.96 ","1223.57 ","1213.67 ","950.04 ","1458.96 ","704.96 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","22,630 ","suppressed","20,338 ","22,866 ","19,652 ","27,230 ","20,440 ","24,089 ","1178.39 ","suppressed","1463.33 ","2273.59 ","1093.76 ","1904.84 ","1445.51 ","1529.67 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","24,499 ","suppressed","25,892 ","24,199 ","23,707 ","24,678 ","25,518 ","24,374 ","754.56 ","suppressed","2752.33 ","1412.41 ","1658.25 ","1012.56 ","1996.60 ","801.96 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","22,254 ","suppressed","suppressed","suppressed","21,601 ","22,161 ","suppressed","22,037 ","1701.39 ","suppressed","suppressed","suppressed","2052.70 ","2422.33 ","suppressed","1804.37 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","22,762 ","suppressed","23,054 ","22,765 ","23,350 ","21,675 ","22,181 ","23,041 ","877.62 ","suppressed","2407.68 ","1680.35 ","1716.69 ","885.79 ","1549.80 ","1053.40 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","24,419 ","suppressed","suppressed","24,733 ","21,195 ","24,859 ","26,680 ","24,285 ","897.52 ","suppressed","suppressed","1421.53 ","1603.44 ","1149.03 ","2836.62 ","923.94 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","6,437 ","suppressed","7,260 ","10,422 ","3,955 ","6,625 ","7,727 ","6,199 ","564.93 ","suppressed","1428.65 ","1577.31 ","943.98 ","760.30 ","1079.52 ","627.09 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","9,097 ","suppressed","suppressed","15,137 ","5,012 ","7,641 ","10,488 ","8,172 ","1057.04 ","suppressed","suppressed","2936.18 ","515.87 ","1103.17 ","1485.09 ","1416.28 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,311 ","suppressed","suppressed","suppressed","4,224*","6,808 ","6,485 ","6,289 ","635.02 ","suppressed","suppressed","suppressed","1386.53*","789.11 ","1318.68 ","694.01 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","4,232*","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","4,536*","1349.62*","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","1520.61*"
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,812 ","suppressed","suppressed","7,378 ","4,391 ","10,210 ","7,251 ","6,602 ","885.22 ","suppressed","suppressed","1357.13 ","1263.27 ","1933.92 ","1242.71 ","1149.37 "
