"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","66.6% ","3.2%*","19.0%*","45.5% ","99.6% ","89.3% ","15.3%*","89.5% ","6.27% ","2.20%*","13.32%*","10.68% ","0.39% ","8.26% ","6.09%*","5.75% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","18.3%*","suppressed","suppressed","9.7%*","11.0%*","23.2%*","6.1%*","19.2%*","5.63%*","suppressed","suppressed","6.83%*","6.61%*","9.50%*","4.96%*","6.16%*"
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","30.7% ","suppressed","suppressed","suppressed","suppressed","32.2% ","suppressed","31.3% ","7.78% ","suppressed","suppressed","suppressed","suppressed","9.53% ","suppressed","8.00% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","5.6%*","0% ","0% ","0.2%*","suppressed","7.5%*","0.4%*","6.0%*","1.98%*","0% ","0% ","0.25%*","suppressed","3.41%*","0.39%*","2.19%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,355 ","suppressed","suppressed","8,658 ","9,478 ","7,849 ","7,330 ","8,455 ","332.76 ","suppressed","suppressed","523.52 ","766.64 ","406.39 ","562.68 ","362.24 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","8,127 ","suppressed","suppressed","9,513 ","14,017 ","6,700 ","8,574 ","8,084 ","1295.30 ","suppressed","suppressed","1115.77 ","920.88 ","785.65 ","573.09 ","1407.74 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,527 ","suppressed","suppressed","8,665 ","9,336 ","8,207 ","6,957 ","8,671 ","250.37 ","suppressed","suppressed","536.49 ","659.49 ","276.12 ","723.52 ","257.13 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","6,707 ","suppressed","suppressed","6,754 ","suppressed","8,899 ","suppressed","6,534 ","1396.51 ","suppressed","suppressed","670.95 ","suppressed","1282.50 ","suppressed","1606.91 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,277 ","suppressed","suppressed","7,975 ","8,998 ","8,358 ","7,187 ","8,661 ","374.13 ","suppressed","suppressed","641.70 ","775.63 ","430.14 ","655.27 ","384.80 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","8,385 ","suppressed","suppressed","9,560 ","9,698 ","7,774 ","7,969 ","8,395 ","436.79 ","suppressed","suppressed","777.43 ","1022.45 ","446.65 ","755.44 ","446.89 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","2,137 ","suppressed","suppressed","3,075 ","2,348 ","1,807 ","1,920 ","2,158 ","151.11 ","suppressed","suppressed","514.49 ","237.18 ","145.70 ","287.58 ","163.70 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,789 ","suppressed","suppressed","2,109 ","3,726 ","1,337 ","2,147 ","1,754 ","342.79 ","suppressed","suppressed","168.04 ","531.24 ","112.91 ","188.75 ","369.90 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,206 ","suppressed","suppressed","3,165 ","2,126 ","1,968 ","1,816 ","2,242 ","163.51 ","suppressed","suppressed","600.01 ","207.83 ","159.06 ","373.60 ","174.01 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,424 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","2,456 ","381.38 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","430.13 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,192 ","suppressed","suppressed","2,812 ","2,274 ","1,538 ","1,840 ","2,317 ","300.84 ","suppressed","suppressed","692.65 ","393.76 ","198.75 ","341.77 ","393.95 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,115 ","suppressed","suppressed","3,424 ","2,382 ","1,847 ","suppressed","2,112 ","175.48 ","suppressed","suppressed","651.94 ","286.59 ","161.98 ","suppressed","179.37 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","25.6% ","suppressed","suppressed","35.5% ","24.8% ","23.0% ","26.2% ","25.5% ","1.49% ","suppressed","suppressed","5.65% ","1.75% ","1.62% ","3.27% ","1.60% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","22.0% ","suppressed","suppressed","22.2% ","26.6% ","20.0% ","suppressed","21.7% ","1.76% ","suppressed","suppressed","3.13% ","2.10% ","2.11% ","suppressed","1.98% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","25.9% ","suppressed","suppressed","36.5% ","22.8% ","24.0% ","26.1% ","25.9% ","1.82% ","suppressed","suppressed","6.25% ","1.73% ","2.10% ","4.61% ","1.94% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","36.1% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","37.6% ","8.06% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","9.56% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","26.5% ","suppressed","suppressed","35.3% ","25.3% ","18.4% ","25.6% ","26.8% ","3.35% ","suppressed","suppressed","7.46% ","2.78% ","2.57% ","3.99% ","4.20% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","25.2% ","suppressed","suppressed","suppressed","24.6% ","23.8% ","suppressed","25.2% ","1.67% ","suppressed","suppressed","suppressed","2.23% ","1.66% ","suppressed","1.71% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","58.1% ","suppressed","suppressed","62.6% ","62.1% ","55.3% ","54.7% ","58.4% ","2.26% ","suppressed","suppressed","4.86% ","3.05% ","3.38% ","5.94% ","2.41% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","3.7%*","suppressed","0% ","suppressed","2.6%*","3.1%*","14.8%*","2.6%*","1.31%*","suppressed","0% ","suppressed","2.40%*","1.65%*","7.39%*","1.20%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","72.3% ","suppressed","0% ","43.0%*","68.6% ","87.1% ","18.4%*","77.6% ","5.34% ","suppressed","0% ","14.35%*","9.44% ","8.13% ","8.97%*","5.77% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","62.2% ","suppressed","suppressed","63.0% ","70.1% ","55.3% ","61.9% ","62.3% ","2.70% ","suppressed","suppressed","3.88% ","5.86% ","1.90% ","4.71% ","3.26% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","56.6% ","suppressed","suppressed","62.0% ","59.1% ","55.3% ","suppressed","57.4% ","2.93% ","suppressed","suppressed","10.24% ","3.28% ","3.87% ","suppressed","2.96% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","23,497 ","suppressed","suppressed","22,208 ","22,302 ","24,131 ","20,362 ","23,868 ","839.28 ","suppressed","suppressed","2904.83 ","2137.77 ","857.06 ","2973.79 ","825.53 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","25,015 ","suppressed","suppressed","suppressed","suppressed","23,004 ","suppressed","25,037 ","1954.54 ","suppressed","suppressed","suppressed","suppressed","1473.67 ","suppressed","2161.14 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","23,926 ","suppressed","suppressed","21,739 ","23,039 ","24,706 ","19,333 ","24,475 ","813.85 ","suppressed","suppressed","3317.77 ","1483.29 ","785.87 ","3386.94 ","687.20 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","suppressed","suppressed","suppressed","23,729 ","suppressed","suppressed","23,895 ","suppressed","suppressed","suppressed","suppressed","1320.01 ","suppressed","suppressed","1382.96 ","suppressed"
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","24,455 ","suppressed","suppressed","26,045 ","23,135 ","23,788 ","24,750 ","24,357 ","1248.10 ","suppressed","suppressed","1856.64 ","2690.95 ","1260.92 ","2899.12 ","1353.10 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","23,226 ","suppressed","suppressed","suppressed","22,038 ","24,175 ","suppressed","23,757 ","1000.00 ","suppressed","suppressed","suppressed","2696.42 ","946.83 ","suppressed","962.02 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","6,650 ","suppressed","suppressed","8,383*","7,192 ","6,113 ","5,322*","6,808 ","499.83 ","suppressed","suppressed","2790.39*","661.68 ","535.32 ","2142.37*","473.73 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,522 ","suppressed","suppressed","suppressed","suppressed","4,805 ","suppressed","5,574 ","929.73 ","suppressed","suppressed","suppressed","suppressed","504.72 ","suppressed","712.53 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,683 ","suppressed","suppressed","7,369*","6,872 ","6,537 ","suppressed","7,060 ","575.11 ","suppressed","suppressed","2999.94*","700.88 ","617.98 ","suppressed","534.37 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","9,690 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","878.28 ","suppressed"
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","9,075 ","suppressed","suppressed","11,611 ","9,124 ","8,179 ","7,725 ","9,526 ","1002.48 ","suppressed","suppressed","2547.93 ","1325.78 ","927.94 ","1845.99 ","1213.65 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","5,966 ","suppressed","suppressed","suppressed","6,579 ","5,851 ","suppressed","6,193 ","516.12 ","suppressed","suppressed","suppressed","674.62 ","563.68 ","suppressed","469.75 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","28.3% ","suppressed","suppressed","37.7% ","32.2% ","25.3% ","26.1%*","28.5% ","1.83% ","suppressed","suppressed","8.67% ","3.49% ","1.93% ","8.34%*","1.82% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","26.1% ","suppressed","suppressed","suppressed","27.4% ","20.9% ","suppressed","22.3% ","2.82% ","suppressed","suppressed","suppressed","1.61% ","2.07% ","suppressed","1.78% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","27.9% ","suppressed","suppressed","33.9% ","29.8% ","26.5% ","suppressed","28.8% ","2.07% ","suppressed","suppressed","9.67% ","3.34% ","2.31% ","suppressed","2.06% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","suppressed","suppressed","suppressed","suppressed","94.6% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","4.59% ","suppressed","suppressed","suppressed"
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","37.1% ","suppressed","suppressed","44.6% ","39.4% ","34.4% ","31.2% ","39.1% ","4.31% ","suppressed","suppressed","9.70% ","7.88% ","2.51% ","9.19% ","4.87% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","25.7% ","suppressed","suppressed","suppressed","29.9% ","24.2% ","suppressed","26.1% ","1.85% ","suppressed","suppressed","suppressed","3.63% ","2.03% ","suppressed","1.80% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","21.9% ","suppressed","suppressed","20.1% ","21.3% ","22.9% ","24.8% ","21.7% ","1.78% ","suppressed","suppressed","4.98% ","2.78% ","2.52% ","7.31% ","1.81% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","7.4%*","suppressed","0% ","27.3%*","0% ","5.2%*","39.9%*","suppressed","4.09%*","suppressed","0% ","20.96%*","0% ","3.78%*","21.85%*","suppressed"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","78.0% ","suppressed","0% ","49.6%*","75.9% ","88.7% ","48.0%*","81.5% ","4.95% ","suppressed","0% ","17.38%*","8.07% ","6.58% ","19.41%*","5.25% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","18.7% ","suppressed","suppressed","17.9% ","18.4% ","20.0% ","17.8% ","19.0% ","1.87% ","suppressed","suppressed","2.13% ","4.13% ","3.34% ","4.37% ","2.01% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","23.1% ","suppressed","suppressed","suppressed","22.4% ","23.3% ","suppressed","22.4% ","2.30% ","suppressed","suppressed","suppressed","3.49% ","2.81% ","suppressed","2.21% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","15,825 ","suppressed","suppressed","17,499 ","17,084 ","15,128 ","15,355 ","15,875 ","454.56 ","suppressed","suppressed","1285.73 ","1356.69 ","485.99 ","1212.46 ","483.59 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","16,205 ","suppressed","suppressed","17,842 ","15,767 ","15,265 ","15,931 ","16,311 ","755.95 ","suppressed","suppressed","1526.10 ","1233.99 ","389.68 ","1483.97 ","871.75 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","15,700 ","suppressed","suppressed","suppressed","17,399 ","15,105 ","suppressed","15,768 ","553.11 ","suppressed","suppressed","suppressed","1662.47 ","563.33 ","suppressed","566.99 "
