"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","91.6% ","99.3% ","95.8% ","94.6% ","86.7% ","92.6% ","94.9% ","91.0% ","3.19% ","0.74% ","2.31% ","2.13% ","7.59% ","4.71% ","1.76% ","3.78% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","71.9% ","83.5% ","57.3% ","74.4% ","64.7% ","75.8% ","70.7% ","72.2% ","2.56% ","7.94% ","10.98% ","3.42% ","7.86% ","2.13% ","5.40% ","2.88% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","65.9% ","82.9% ","54.9% ","70.4% ","56.1% ","70.1% ","67.1% ","65.7% ","3.04% ","7.91% ","10.38% ","3.82% ","7.05% ","4.41% ","5.23% ","3.48% "
"II.B.4","Number of part-time employees","247,451 ","39,571 ","45,106 ","52,692 ","67,101*","42,979 ","108,668 ","138,782 ","29,376 ","6,502 ","10,830 ","15,135 ","21,203*","8,503 ","13,654 ","26,695 "
"II.B.4.a","Percent of number of part-time employees","247,451 ","16.0% ","18.2% ","21.3% ","27.1% ","17.4% ","43.9% ","56.1% ","29,376 ","2.94% ","4.23% ","5.36% ","6.67% ","3.50% ","5.79% ","5.79% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","74.3% ","16.7%*","45.0%*","92.0% ","97.8% ","100% ","44.6% ","97.6% ","4.51% ","6.84%*","13.56%*","5.88% ","2.32% ","0% ","7.51% ","1.70% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","18.9% ","suppressed","suppressed","9.6%*","12.9%*","38.8% ","18.4%*","19.0% ","4.39% ","suppressed","suppressed","8.15%*","4.87%*","10.08% ","9.11%*","5.01% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","34.6% ","suppressed","0% ","2.9% ","suppressed","27.2% ","suppressed","37.0% ","8.04% ","suppressed","0% ","0.47% ","suppressed","7.28% ","suppressed","7.60% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","6.5%*","suppressed","0% ","0.3%*","7.6%*","10.5%*","5.1%*","7.0%*","2.00%*","suppressed","0% ","0.27%*","3.80%*","3.41%*","4.69%*","2.20%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,657 ","7,092 ","7,241 ","8,139 ","9,034 ","8,934 ","7,572 ","8,874 ","203.00 ","1063.31 ","501.50 ","432.99 ","412.06 ","263.39 ","485.53 ","209.03 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","8,462 ","7,746 ","7,654 ","6,401 ","8,948 ","8,856 ","6,776 ","8,818 ","457.37 ","589.51 ","277.94 ","1261.98 ","745.05 ","233.10 ","823.52 ","467.69 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,723 ","suppressed","6,538 ","8,254 ","8,987 ","9,075 ","7,488 ","8,951 ","245.67 ","suppressed","591.11 ","349.09 ","519.76 ","299.87 ","597.17 ","245.06 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","8,637 ","suppressed","8,384 ","suppressed","9,858 ","8,013 ","suppressed","8,481 ","489.36 ","suppressed","680.20 ","suppressed","1207.55 ","470.22 ","suppressed","485.28 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,252 ","7,988 ","7,250 ","8,116 ","8,041 ","8,951 ","7,740 ","8,468 ","307.10 ","874.06 ","529.48 ","518.66 ","606.37 ","467.44 ","489.40 ","349.78 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,017 ","suppressed","suppressed","8,230 ","9,771 ","8,926 ","suppressed","9,141 ","269.72 ","suppressed","suppressed","634.53 ","490.10 ","299.64 ","suppressed","261.48 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,784 ","suppressed","suppressed","1,752 ","1,598 ","1,962 ","1,724 ","1,796 ","122.45 ","suppressed","suppressed","268.84 ","254.32 ","161.93 ","349.84 ","129.10 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,588 ","suppressed","suppressed","suppressed","1,606 ","1,633 ","suppressed","1,576 ","251.53 ","suppressed","suppressed","suppressed","423.89 ","169.05 ","suppressed","262.59 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,924 ","suppressed","suppressed","2,158 ","1,622 ","1,998 ","2,068 ","1,898 ","122.90 ","suppressed","suppressed","305.11 ","239.19 ","158.77 ","427.97 ","121.63 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,320 ","suppressed","suppressed","suppressed","1,380 ","suppressed","suppressed","1,588 ","335.58 ","suppressed","suppressed","suppressed","256.05 ","suppressed","suppressed","390.33 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,663 ","suppressed","suppressed","1,606 ","1,419 ","2,100 ","1,508 ","1,728 ","207.61 ","suppressed","suppressed","279.18 ","241.92 ","487.12 ","372.70 ","246.62 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,892 ","suppressed","suppressed","suppressed","1,730 ","1,902 ","suppressed","1,841 ","141.10 ","suppressed","suppressed","suppressed","411.84 ","91.72 ","suppressed","140.49 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","20.6% ","suppressed","suppressed","21.5% ","17.7% ","22.0% ","22.8% ","20.2% ","1.56% ","suppressed","suppressed","3.70% ","2.82% ","2.16% ","5.14% ","1.60% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","18.8% ","46.4% ","suppressed","suppressed","17.9% ","18.4% ","suppressed","17.9% ","3.14% ","4.53% ","suppressed","suppressed","4.92% ","1.60% ","suppressed","3.09% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","22.1% ","suppressed","suppressed","26.1% ","18.0% ","22.0% ","27.6% ","21.2% ","1.65% ","suppressed","suppressed","3.89% ","2.53% ","2.17% ","6.42% ","1.58% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","15.3% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","18.7% ","4.18% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","4.95% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","20.1% ","suppressed","suppressed","19.8% ","17.7% ","23.5% ","19.5% ","20.4% ","2.73% ","suppressed","suppressed","3.95% ","2.43% ","6.50% ","5.33% ","3.17% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","21.0% ","suppressed","suppressed","suppressed","17.7% ","21.3% ","suppressed","20.1% ","1.71% ","suppressed","suppressed","suppressed","4.27% ","1.28% ","suppressed","1.66% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","56.8% ","suppressed","69.1% ","63.6% ","60.6% ","53.5% ","55.5% ","57.1% ","1.63% ","suppressed","12.38% ","4.06% ","2.78% ","2.25% ","5.45% ","1.61% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","14.7% ","suppressed","suppressed","24.2%*","15.9%*","3.2%*","41.9% ","9.2% ","2.85% ","suppressed","suppressed","8.40%*","5.61%*","1.45%*","9.60% ","2.47% "
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","52.9% ","suppressed","suppressed","20.2%*","57.4% ","69.6% ","16.1%*","60.2% ","5.43% ","suppressed","suppressed","8.64%*","9.13% ","10.61% ","6.45%*","6.54% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","64.3% ","63.5% ","69.5% ","63.1% ","66.7% ","62.1% ","60.5% ","66.0% ","2.49% ","11.57% ","13.15% ","4.78% ","3.96% ","3.55% ","5.89% ","2.36% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","51.5% ","suppressed","suppressed","65.3% ","56.7% ","50.4% ","suppressed","52.5% ","1.90% ","suppressed","suppressed","5.35% ","3.44% ","2.12% ","suppressed","1.81% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","25,493 ","17,326 ","19,477 ","23,938 ","28,368 ","26,506 ","19,915 ","27,038 ","942.24 ","2271.22 ","530.68 ","1419.97 ","1245.16 ","1029.13 ","1871.52 ","795.11 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","25,580 ","suppressed","suppressed","18,375 ","27,162 ","25,637 ","20,280 ","26,337 ","1397.11 ","suppressed","suppressed","2471.20 ","2238.66 ","1066.78 ","2986.67 ","1389.21 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","25,430 ","suppressed","19,314 ","25,614 ","29,172 ","26,640 ","19,845 ","27,243 ","1246.23 ","suppressed","293.85 ","1405.58 ","1782.00 ","1332.39 ","2132.40 ","1027.37 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","25,773 ","suppressed","suppressed","suppressed","29,131 ","27,576 ","suppressed","27,854 ","1898.96 ","suppressed","suppressed","suppressed","2184.46 ","2224.84 ","suppressed","1783.64 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","23,812 ","suppressed","18,995 ","24,318 ","23,646 ","23,820 ","23,739 ","23,858 ","1031.13 ","suppressed","541.45 ","1696.55 ","1846.69 ","2234.61 ","1560.62 ","1363.83 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","26,283 ","13,932 ","suppressed","22,376 ","30,313 ","27,194 ","14,992 ","28,112 ","1251.79 ","1033.37 ","suppressed","1728.07 ","1301.26 ","1036.54 ","1039.02 ","831.36 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","8,222 ","suppressed","suppressed","9,332 ","10,097 ","6,619 ","9,353 ","7,908 ","612.38 ","suppressed","suppressed","867.59 ","1211.83 ","627.41 ","1754.55 ","598.81 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","8,216 ","suppressed","suppressed","7,240 ","10,922 ","4,334 ","suppressed","7,653 ","1112.16 ","suppressed","suppressed","1070.89 ","1422.45 ","706.30 ","suppressed","1165.96 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","8,251 ","suppressed","suppressed","10,016 ","9,607 ","6,963 ","9,479 ","7,853 ","765.50 ","suppressed","suppressed","1117.84 ","1848.08 ","601.40 ","2056.36 ","709.24 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,974 ","suppressed","suppressed","suppressed","8,534 ","suppressed","suppressed","9,415 ","1768.17 ","suppressed","suppressed","suppressed","670.31 ","suppressed","suppressed","1897.27 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","9,119 ","suppressed","suppressed","8,686 ","9,082 ","9,345 ","8,844 ","9,289 ","1090.55 ","suppressed","suppressed","904.69 ","2159.11 ","2185.09 ","1740.00 ","1379.97 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","7,800 ","suppressed","suppressed","11,988 ","10,516 ","5,920 ","suppressed","7,442 ","729.94 ","suppressed","suppressed","1862.96 ","1492.29 ","302.12 ","suppressed","591.26 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","32.3% ","suppressed","suppressed","39.0% ","35.6% ","25.0% ","47.0% ","29.2% ","2.81% ","suppressed","suppressed","3.50% ","4.88% ","2.70% ","9.50% ","2.44% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","32.1% ","suppressed","suppressed","suppressed","40.2% ","16.9% ","suppressed","29.1% ","3.75% ","suppressed","suppressed","suppressed","7.02% ","2.07% ","suppressed","3.70% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","32.4% ","suppressed","suppressed","39.1% ","32.9% ","26.1% ","47.8% ","28.8% ","3.83% ","suppressed","suppressed","4.28% ","7.04% ","2.95% ","12.22% ","3.03% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","30.9% ","suppressed","suppressed","suppressed","29.3% ","suppressed","suppressed","33.8% ","6.69% ","suppressed","suppressed","suppressed","2.22% ","suppressed","suppressed","7.62% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","38.3% ","suppressed","suppressed","35.7% ","38.4% ","39.2% ","37.3% ","38.9% ","4.44% ","suppressed","suppressed","3.37% ","8.63% ","9.97% ","6.23% ","6.02% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","29.7% ","suppressed","suppressed","53.6% ","34.7% ","21.8% ","suppressed","26.5% ","3.50% ","suppressed","suppressed","7.69% ","5.68% ","1.29% ","suppressed","2.25% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","24.8% ","suppressed","suppressed","20.2% ","26.5% ","23.7% ","31.5% ","23.4% ","1.97% ","suppressed","suppressed","3.45% ","3.43% ","2.65% ","5.65% ","1.98% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","6.2%*","suppressed","suppressed","suppressed","1.3%*","1.4%*","23.4%*","1.4%*","2.72%*","suppressed","suppressed","suppressed","1.35%*","0.83%*","12.96%*","0.69%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","68.0% ","suppressed","suppressed","19.6%*","70.8% ","79.6% ","43.7%*","74.7% ","4.97% ","suppressed","suppressed","8.70%*","9.53% ","6.28% ","15.55%*","5.04% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","19.1% ","suppressed","suppressed","20.3% ","20.0% ","18.5% ","23.1% ","17.2% ","2.32% ","suppressed","suppressed","4.15% ","3.33% ","4.87% ","4.36% ","2.48% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","28.9% ","78.7% ","suppressed","suppressed","30.6% ","25.5% ","59.8% ","26.7% ","2.64% ","6.22% ","suppressed","suppressed","4.55% ","2.72% ","9.73% ","2.38% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","17,574 ","suppressed","suppressed","15,150 ","17,308 ","18,307 ","15,480 ","17,861 ","481.20 ","suppressed","suppressed","900.62 ","833.15 ","573.72 ","1259.62 ","486.94 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","16,572 ","suppressed","suppressed","15,270 ","16,112 ","18,125 ","15,385 ","17,107 ","1100.95 ","suppressed","suppressed","996.66 ","1783.52 ","1965.51 ","1281.68 ","1355.27 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","18,184 ","suppressed","suppressed","suppressed","18,101 ","18,358 ","suppressed","18,180 ","415.08 ","suppressed","suppressed","suppressed","876.11 ","451.47 ","suppressed","417.15 "
"II.E.2","Average total employee contribution (in dollars) per enrolled employee for employee-plus-one coverage at establishments that offer health insurance","4,862 ","suppressed","suppressed","5,527 ","5,360 ","4,786 ","4,195 ","4,954 ","407.48 ","suppressed","suppressed","498.13 ","931.61 ","527.50 ","1256.06 ","427.94 "
"II.E.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for employee-plus-one coverage at private-sector establishments that offer health insurance","4,829 ","suppressed","suppressed","5,679 ","4,368 ","5,275*","4,120*","5,148 ","922.59 ","suppressed","suppressed","554.65 ","792.70 ","2217.43*","1276.59*","1213.29 "
