"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","9,233 ","suppressed","13,543 ","suppressed","13,012 ","10,148 ","suppressed","11,424 ","1118.04 ","suppressed","979.22 ","suppressed","1132.15 ","1056.22 ","suppressed","813.04 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,990 ","9,783 ","suppressed","8,121 ","9,655 ","8,369 ","9,684 ","8,727 ","388.40 ","894.38 ","suppressed","769.95 ","385.46 ","388.09 ","1124.44 ","314.72 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","8,795 ","suppressed","suppressed","9,010 ","suppressed","10,121 ","8,353 ","9,294 ","554.67 ","suppressed","suppressed","530.37 ","suppressed","531.43 ","869.18 ","563.52 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,943 ","7,878 ","11,330 ","7,378 ","9,309 ","8,361 ","8,997 ","8,882 ","610.03 ","1013.62 ","2153.35 ","777.76 ","641.52 ","419.35 ","1102.05 ","357.50 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,035 ","suppressed","suppressed","9,426 ","10,136 ","8,866 ","8,148 ","9,265 ","371.49 ","suppressed","suppressed","654.34 ","600.84 ","471.31 ","926.32 ","404.04 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,497 ","suppressed","suppressed","1,569 ","1,362 ","1,637 ","1,258*","1,620 ","171.24 ","suppressed","suppressed","418.95 ","244.41 ","117.48 ","437.47*","126.20 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,637 ","0 ","suppressed","suppressed","suppressed","2,263 ","suppressed","2,355 ","332.82 ","0 ","suppressed","suppressed","suppressed","290.73 ","suppressed","206.60 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,465 ","suppressed","suppressed","suppressed","1,105 ","1,504 ","1,472*","1,463 ","229.16 ","suppressed","suppressed","suppressed","235.43 ","121.27 ","736.43*","141.77 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,497 ","suppressed","suppressed","suppressed","suppressed","1,953 ","suppressed","1,788 ","268.85 ","suppressed","suppressed","suppressed","suppressed","370.98 ","suppressed","308.65 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,329 ","suppressed","suppressed","suppressed","suppressed","1,475 ","1,336*","1,321 ","360.07 ","suppressed","suppressed","suppressed","suppressed","142.85 ","650.25*","211.91 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,612 ","suppressed","suppressed","suppressed","1,480 ","1,692 ","suppressed","1,740 ","139.41 ","suppressed","suppressed","suppressed","189.94 ","147.75 ","suppressed","144.21 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","16.6% ","suppressed","suppressed","18.3% ","13.8% ","18.7% ","14.5% ","17.7% ","1.56% ","suppressed","suppressed","4.61% ","2.35% ","1.06% ","4.10% ","1.24% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","17.7% ","0% ","suppressed","suppressed","suppressed","22.3% ","suppressed","20.6% ","2.38% ","0% ","suppressed","suppressed","suppressed","2.57% ","suppressed","1.58% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","16.3% ","suppressed","suppressed","suppressed","11.4% ","18.0% ","15.2%*","16.8% ","2.12% ","suppressed","suppressed","suppressed","2.44% ","1.19% ","6.20%*","1.53% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","17.0% ","suppressed","suppressed","suppressed","suppressed","19.3% ","suppressed","19.2% ","2.90% ","suppressed","suppressed","suppressed","suppressed","3.05% ","suppressed","3.41% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","14.9% ","suppressed","suppressed","suppressed","suppressed","17.6% ","14.8%*","14.9% ","3.28% ","suppressed","suppressed","suppressed","suppressed","1.35% ","5.74%*","2.47% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","17.8% ","suppressed","suppressed","suppressed","14.6% ","19.1% ","suppressed","18.8% ","1.38% ","suppressed","suppressed","suppressed","1.72% ","1.26% ","suppressed","1.31% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","51.6% ","70.9% ","58.9% ","52.4% ","48.9% ","48.0% ","59.6% ","48.3% ","2.29% ","8.77% ","8.31% ","5.06% ","3.64% ","3.80% ","4.48% ","2.68% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","25.2% ","70.8% ","suppressed","34.6%*","22.8%*","3.9%*","55.0% ","10.%*","4.51% ","13.19% ","suppressed","12.69%*","10.84%*","2.49%*","8.90% ","4.02%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","59.3% ","suppressed","suppressed","59.2% ","64.2% ","74.9% ","36.1% ","71.2% ","5.32% ","suppressed","suppressed","14.02% ","10.72% ","7.93% ","9.49% ","6.19% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","57.5% ","66.2% ","60.3% ","46.1% ","55.4% ","61.6% ","56.8% ","58.2% ","3.52% ","10.92% ","9.14% ","7.00% ","7.10% ","4.41% ","5.58% ","4.04% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","48.2% ","suppressed","suppressed","57.9% ","45.9% ","44.7% ","65.2% ","45.2% ","3.05% ","suppressed","suppressed","6.89% ","4.16% ","4.60% ","7.20% ","3.31% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","27,084 ","24,553 ","25,326 ","25,835 ","29,216 ","26,902 ","25,028 ","27,668 ","774.85 ","1763.52 ","1747.31 ","2607.36 ","1915.64 ","780.91 ","1441.39 ","873.93 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","32,196 ","suppressed","suppressed","34,412 ","39,402 ","suppressed","29,072 ","32,681 ","2780.19 ","suppressed","suppressed","2650.27 ","3603.22 ","suppressed","1884.38 ","3142.37 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","25,841 ","suppressed","25,513 ","20,701 ","27,556 ","26,419 ","23,511 ","26,392 ","894.34 ","suppressed","1762.83 ","2423.45 ","1846.60 ","940.68 ","1804.61 ","958.45 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","29,159 ","25,960 ","suppressed","29,539 ","suppressed","32,469 ","27,386 ","30,785 ","1433.85 ","1468.25 ","suppressed","2282.36 ","suppressed","1848.96 ","2125.21 ","1730.42 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","27,646 ","24,553 ","27,037 ","28,083 ","31,283 ","25,346 ","26,569 ","28,877 ","1032.03 ","1763.52 ","1492.90 ","1704.68 ","2627.77 ","1071.88 ","1197.19 ","1611.34 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","26,857 ","suppressed","20,403 ","23,728 ","28,474 ","27,089 ","21,554 ","27,416 ","1044.61 ","suppressed","538.59 ","4539.73 ","2492.41 ","851.06 ","2101.29 ","1034.81 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","6,830 ","suppressed","suppressed","7,523 ","7,420*","5,933 ","7,410 ","6,666 ","685.22 ","suppressed","suppressed","1778.88 ","2293.11*","360.58 ","1459.97 ","783.74 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,064 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","7,688 ","1159.60 ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","1252.01 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,477 ","suppressed","suppressed","suppressed","7,653*","5,568 ","7,561 ","6,220 ","867.36 ","suppressed","suppressed","suppressed","2843.05*","317.81 ","2162.58 ","959.34 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","8,624 ","suppressed","suppressed","suppressed","5,329 ","9,780 ","8,272 ","8,947 ","875.50 ","suppressed","suppressed","suppressed","319.29 ","1751.92 ","1184.17 ","1297.41 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","7,534 ","suppressed","suppressed","suppressed","suppressed","suppressed","8,930 ","5,936*","1117.11 ","suppressed","suppressed","suppressed","suppressed","suppressed","1206.15 ","1814.85*"
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","6,547 ","suppressed","suppressed","suppressed","9,351 ","5,702 ","suppressed","6,817 ","792.77 ","suppressed","suppressed","suppressed","2482.76 ","329.92 ","suppressed","796.60 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","25.2% ","suppressed","suppressed","29.1% ","25.4%*","22.1% ","29.6% ","24.1% ","2.55% ","suppressed","suppressed","5.80% ","8.23%*","1.35% ","4.95% ","2.94% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","21.9% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","4.25% ","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed","suppressed"
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","25.1% ","suppressed","suppressed","suppressed","27.8%*","21.1% ","32.2% ","23.6% ","3.34% ","suppressed","suppressed","suppressed","10.52%*","1.32% ","7.58% ","3.73% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","29.6% ","suppressed","suppressed","suppressed","suppressed","suppressed","30.2% ","29.1% ","3.69% ","suppressed","suppressed","suppressed","suppressed","suppressed","5.54% ","4.87% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","27.3% ","suppressed","suppressed","suppressed","suppressed","31.0% ","33.6% ","20.6%*","4.42% ","suppressed","suppressed","suppressed","suppressed","6.19% ","4.71% ","6.74%*"
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","24.4% ","suppressed","suppressed","suppressed","32.8% ","21.0% ","suppressed","24.9% ","2.92% ","suppressed","suppressed","suppressed","9.45% ","1.20% ","suppressed","3.02% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","30.2% ","16.1%*","suppressed","29.8% ","34.1% ","32.3% ","22.8% ","33.3% ","2.36% ","5.80%*","suppressed","5.98% ","3.47% ","3.90% ","4.44% ","2.79% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","7.8%*","suppressed","suppressed","9.4%*","16.4%*","0% ","17.3%*","5.1%*","2.97%*","suppressed","suppressed","5.78%*","9.68%*","0% ","7.97%*","3.08%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","71.3% ","0% ","suppressed","51.6% ","73.6% ","89.3% ","30.7%*","82.8% ","5.14% ","0% ","suppressed","14.62% ","11.84% ","3.63% ","12.83%*","4.86% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","23.8% ","suppressed","suppressed","31.1% ","suppressed","17.7% ","23.5% ","24.0% ","3.28% ","suppressed","suppressed","6.98% ","suppressed","3.02% ","5.05% ","4.04% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","33.9% ","0% ","suppressed","suppressed","36.7% ","35.8% ","suppressed","36.2% ","3.21% ","0% ","suppressed","suppressed","3.90% ","4.73% ","suppressed","3.42% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","18,455 ","suppressed","15,080 ","19,010 ","21,591 ","18,174 ","16,466 ","19,248 ","624.12 ","suppressed","1258.16 ","1766.62 ","1091.03 ","849.25 ","1308.89 ","682.08 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","17,125 ","suppressed","14,912 ","18,018 ","suppressed","15,759 ","16,495 ","17,940 ","1028.86 ","suppressed","1324.00 ","2697.46 ","suppressed","815.32 ","1552.48 ","1216.53 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","19,261 ","suppressed","suppressed","20,486 ","21,631 ","18,797 ","suppressed","19,638 ","810.19 ","suppressed","suppressed","1777.49 ","1194.13 ","1031.43 ","suppressed","832.15 "
"II.E.2","Average total employee contribution (in dollars) per enrolled employee for employee-plus-one coverage at establishments that offer health insurance","4,612 ","suppressed","suppressed","suppressed","3,793 ","3,985 ","6,009 ","4,055 ","402.60 ","suppressed","suppressed","suppressed","763.18 ","288.00 ","1170.49 ","306.33 "
"II.E.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for employee-plus-one coverage at private-sector establishments that offer health insurance","4,449 ","suppressed","suppressed","suppressed","suppressed","suppressed","5,727 ","2,794 ","802.61 ","suppressed","suppressed","suppressed","suppressed","suppressed","1268.97 ","692.81 "
