"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,877 ","1,306 ","1,630 ","1,846 ","2,134 ","1,853 ","1,595 ","1,961 ","106.25 ","377.83 ","200.82 ","160.72 ","301.10 ","84.09 ","162.32 ","128.60 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,886 ","1,751 ","1,992 ","1,965 ","1,875 ","1,832 ","1,920 ","1,871 ","42.77 ","180.94 ","127.13 ","80.11 ","79.47 ","80.52 ","79.36 ","50.94 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,761 ","1,623 ","2,089 ","1,881 ","1,713 ","1,762 ","1,953 ","1,752 ","33.05 ","346.45 ","261.17 ","140.81 ","103.38 ","32.44 ","136.85 ","33.93 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","20.1% ","18.5% ","22.3% ","22.6% ","19.9% ","19.6% ","21.3% ","19.9% ","0.29% ","1.66% ","1.13% ","0.80% ","0.67% ","0.36% ","0.74% ","0.31% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","18.8% ","24.0% ","26.7% ","23.2% ","19.4% ","15.5% ","23.8% ","17.6% ","0.62% ","3.42% ","2.25% ","1.64% ","1.08% ","0.80% ","1.63% ","0.63% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","20.5% ","17.5% ","20.8% ","22.3% ","19.3% ","20.7% ","20.9% ","20.4% ","0.31% ","1.87% ","1.42% ","1.00% ","0.71% ","0.39% ","0.86% ","0.33% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","20.9% ","13.3% ","19.5% ","22.3% ","23.8% ","20.0% ","18.0% ","21.7% ","1.07% ","3.88% ","2.53% ","1.87% ","2.83% ","0.93% ","1.90% ","1.26% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","21.4% ","18.8% ","21.9% ","22.6% ","21.3% ","21.2% ","21.1% ","21.6% ","0.46% ","1.81% ","1.22% ","0.92% ","0.86% ","0.91% ","0.82% ","0.57% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","19.1% ","16.5% ","24.9% ","22.3% ","18.5% ","19.0% ","22.4% ","19.0% ","0.35% ","3.73% ","2.92% ","1.45% ","1.02% ","0.37% ","1.60% ","0.36% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","58.1% ","61.1% ","65.4% ","64.1% ","59.8% ","55.2% ","63.5% ","57.1% ","0.36% ","1.91% ","1.37% ","0.99% ","0.83% ","0.46% ","0.85% ","0.39% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","13.0% ","52.7% ","32.6% ","24.4% ","13.4% ","4.8% ","35.5% ","8.7% ","0.57% ","2.90% ","2.41% ","1.86% ","1.32% ","0.61% ","1.48% ","0.60% "
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","55.1% ","10.7% ","14.2% ","19.0% ","48.4% ","74.9% ","14.5% ","62.8% ","1.01% ","1.48% ","1.67% ","1.53% ","1.95% ","1.66% ","1.02% ","1.19% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","61.6% ","61.8% ","65.6% ","65.2% ","62.9% ","56.8% ","64.0% ","60.7% ","0.60% ","2.09% ","1.52% ","0.94% ","1.03% ","1.25% ","0.93% ","0.75% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","55.5% ","55.8% ","64.3% ","59.7% ","56.9% ","54.6% ","60.9% ","55.2% ","0.44% ","4.30% ","3.11% ","3.02% ","1.20% ","0.46% ","1.97% ","0.45% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","26,281 ","23,768 ","24,138 ","24,591 ","26,687 ","26,733 ","24,176 ","26,602 ","175.57 ","903.68 ","656.21 ","396.89 ","365.55 ","238.21 ","407.15 ","191.26 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","25,909 ","23,239 ","22,249 ","24,311 ","25,220 ","27,410 ","23,033 ","26,535 ","442.82 ","1043.46 ","1793.67 ","805.99 ","704.64 ","722.65 ","794.98 ","505.30 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","26,411 ","24,167 ","25,163 ","25,061 ","27,241 ","26,506 ","24,887 ","26,606 ","203.43 ","1367.74 ","640.67 ","507.22 ","441.68 ","261.47 ","544.70 ","217.81 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","26,091 ","23,104 ","23,669 ","22,850 ","26,303 ","27,401 ","23,243 ","26,693 ","498.72 ","1668.54 ","1272.29 ","868.64 ","1115.77 ","697.00 ","757.83 ","574.53 "
