"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.3","Number of full-time employees","2,877,049 ","236,123 ","251,213 ","273,073 ","598,108 ","1,518,531 ","662,350 ","2,214,698 ","223,878 ","23,466 ","47,638 ","38,597 ","86,134 ","207,344 ","54,526 ","220,432 "
"II.B.3.a","Percent of number of full-time employees","2,877,049 ","8.2% ","8.7% ","9.5% ","20.8% ","52.8% ","23.0% ","77.0% ","223,878 ","1.00% ","1.71% ","1.46% ","2.94% ","3.95% ","2.36% ","2.36% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","88.7% ","27.4% ","81.3% ","80.9% ","100% ","96.5% ","60.8% ","97.1% ","1.84% ","7.16% ","7.37% ","7.70% ","0% ","2.26% ","5.32% ","1.58% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","95.4% ","100% ","91.7% ","99.9% ","97.1% ","94.4% ","95.7% ","95.4% ","1.23% ","0% ","4.43% ","0.10% ","1.38% ","2.01% ","2.22% ","1.40% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","70.8% ","77.4% ","65.7% ","69.8% ","74.5% ","69.8% ","68.1% ","71.3% ","2.29% ","7.08% ","8.92% ","4.74% ","3.25% ","3.48% ","4.85% ","2.58% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","67.6% ","77.4% ","60.3% ","69.7% ","72.4% ","65.9% ","65.2% ","68.0% ","2.33% ","7.08% ","9.21% ","4.73% ","3.42% ","3.50% ","5.00% ","2.62% "
"II.B.4","Number of part-time employees","843,936 ","101,526 ","suppressed","112,768 ","136,963 ","416,820 ","236,243 ","607,694 ","113,911 ","18,071 ","suppressed","22,530 ","26,510 ","105,793 ","31,388 ","110,234 "
"II.B.4.a","Percent of number of part-time employees","843,936 ","12.0% ","suppressed","13.4% ","16.2% ","49.4% ","28.0% ","72.0% ","113,911 ","2.49% ","suppressed","2.92% ","3.43% ","6.88% ","4.58% ","4.58% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","77.3% ","15.0%*","suppressed","38.2%*","98.9% ","100% ","35.6% ","93.6% ","4.20% ","9.64%*","suppressed","11.47%*","1.11% ","0% ","7.80% ","3.15% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","21.7% ","suppressed","suppressed","30.8%*","12.4%*","23.3% ","32.2%*","20.2% ","4.84% ","suppressed","suppressed","13.20%*","5.11%*","6.89% ","12.80%*","5.16% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","40.8% ","suppressed","suppressed","suppressed","suppressed","37.7% ","suppressed","38.8% ","4.79% ","suppressed","suppressed","suppressed","suppressed","5.34% ","suppressed","5.10% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","8.9% ","suppressed","suppressed","6.5%*","5.8%*","8.8%*","15.9%*","7.8% ","2.29% ","suppressed","suppressed","3.38%*","2.89%*","3.06%*","7.37%*","2.31% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,970 ","suppressed","9,005 ","7,595 ","9,502 ","9,045 ","8,141 ","9,157 ","240.79 ","suppressed","1184.35 ","619.16 ","458.51 ","282.20 ","723.33 ","240.40 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","8,704 ","suppressed","suppressed","7,250 ","9,772 ","8,004 ","8,974 ","8,609 ","546.26 ","suppressed","suppressed","1066.90 ","709.51 ","578.77 ","1567.46 ","494.95 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,248 ","suppressed","7,679 ","8,095 ","10,273 ","9,234 ","7,834 ","9,505 ","275.73 ","suppressed","943.35 ","933.21 ","487.39 ","335.67 ","688.00 ","288.06 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","7,911 ","suppressed","suppressed","6,681 ","7,704 ","8,668 ","suppressed","7,859 ","662.10 ","suppressed","suppressed","649.33 ","724.08 ","481.93 ","suppressed","528.98 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,397 ","suppressed","9,062 ","7,282 ","9,362 ","7,836 ","8,212 ","8,491 ","408.06 ","suppressed","1438.97 ","740.63 ","724.35 ","391.27 ","883.09 ","413.41 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,380 ","suppressed","suppressed","8,431 ","9,610 ","9,451 ","7,904 ","9,496 ","255.57 ","suppressed","suppressed","910.61 ","600.68 ","280.05 ","1001.01 ","260.98 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","2,054 ","suppressed","1,787 ","2,525 ","1,756 ","2,279 ","1,763 ","2,120 ","118.26 ","suppressed","515.68 ","440.73 ","201.03 ","167.20 ","302.47 ","125.61 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,707 ","suppressed","suppressed","suppressed","2,113*","3,110 ","suppressed","2,848 ","323.21 ","suppressed","suppressed","suppressed","637.15*","441.50 ","suppressed","382.71 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,037 ","suppressed","suppressed","2,376 ","1,957 ","2,118 ","1,809 ","2,079 ","133.36 ","suppressed","suppressed","680.47 ","216.12 ","168.43 ","441.56 ","132.93 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,391 ","suppressed","suppressed","suppressed","suppressed","2,740 ","suppressed","1,532 ","292.24 ","suppressed","suppressed","suppressed","suppressed","464.58 ","suppressed","355.46 "
