"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","91.5% ","43.9% ","68.8% ","88.7% ","100% ","99.2% ","64.9% ","99.4% ","1.42% ","8.00% ","8.26% ","4.75% ","0.04% ","0.80% ","4.85% ","0.54% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","94.4% ","95.7% ","96.2% ","92.9% ","95.0% ","94.2% ","95.5% ","94.2% ","1.75% ","2.53% ","1.20% ","3.16% ","3.41% ","2.70% ","1.47% ","2.06% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","69.9% ","84.5% ","67.6% ","64.4% ","61.1% ","73.8% ","68.3% ","70.2% ","2.10% ","5.17% ","5.26% ","4.68% ","4.91% ","2.43% ","3.58% ","2.39% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","66.0% ","80.9% ","65.0% ","59.8% ","58.1% ","69.5% ","65.3% ","66.1% ","2.39% ","6.04% ","5.45% ","4.84% ","5.16% ","3.30% ","3.74% ","2.76% "
"II.B.4","Number of part-time employees","473,652 ","62,183 ","83,535 ","74,473*","72,742*","180,719 ","177,854 ","295,798 ","59,802 ","17,380 ","20,136 ","22,411*","22,263*","44,610 ","27,483 ","53,656 "
"II.B.4.a","Percent of number of part-time employees","473,652 ","13.1% ","17.6% ","15.7% ","15.4% ","38.2% ","37.5% ","62.5% ","59,802 ","3.57% ","4.17% ","4.47% ","4.39% ","6.66% ","5.64% ","5.64% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","74.9% ","13.4%*","38.7%*","81.5% ","100% ","99.9% ","35.2% ","98.8% ","5.10% ","5.87%*","12.92%*","9.89% ","0% ","0.07% ","7.92% ","1.16% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","22.1% ","suppressed","suppressed","3.8%*","10.5%*","26.2% ","36.2%*","19.1% ","5.07% ","suppressed","suppressed","2.21%*","4.93%*","7.80% ","13.57%*","5.12% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","27.0% ","suppressed","suppressed","suppressed","suppressed","33.1% ","suppressed","31.5% ","7.57% ","suppressed","suppressed","suppressed","suppressed","9.91% ","suppressed","8.59% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","6.0%*","suppressed","suppressed","1.6%*","2.5%*","8.7%*","5.8%*","6.0%*","2.03%*","suppressed","suppressed","1.03%*","1.25%*","3.65%*","2.93%*","2.38%*"
