"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","25.3% ","30.6% ","8.2%*","19.9%*","17.3% ","33.7% ","17.2% ","27.7% ","4.42% ","5.66% ","4.33%*","6.90%*","4.83% ","7.96% ","3.09% ","5.55% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","14.8% ","16.2% ","1.3%*","11.0%*","8.4% ","21.6% ","8.5% ","16.6% ","2.75% ","4.05% ","0.57%*","4.77%*","2.31% ","4.85% ","2.09% ","3.43% "
"II.B.3","Number of full-time employees","2,072,448 ","136,072 ","170,572 ","271,557 ","439,293 ","1,054,954 ","451,282 ","1,621,166 ","224,039 ","17,491 ","33,820 ","34,294 ","60,463 ","223,360 ","40,926 ","222,162 "
"II.B.3.a","Percent of number of full-time employees","2,072,448 ","6.6% ","8.2% ","13.1% ","21.2% ","50.9% ","21.8% ","78.2% ","224,039 ","1.08% ","1.78% ","2.06% ","3.57% ","5.84% ","2.86% ","2.86% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","90.4% ","32.9% ","66.4% ","92.4% ","93.1% ","100% ","62.9% ","98.0% ","1.77% ","8.71% ","10.45% ","3.18% ","4.16% ","0% ","5.27% ","1.18% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","92.3% ","79.4% ","89.5% ","95.9% ","97.7% ","90.1% ","90.5% ","92.6% ","2.14% ","11.86% ","5.45% ","2.08% ","1.37% ","3.71% ","3.55% ","2.44% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","58.2% ","73.9% ","68.5% ","67.6% ","52.7% ","56.5% ","66.3% ","56.8% ","7.70% ","10.74% ","4.27% ","4.14% ","7.28% ","13.47% ","3.39% ","8.87% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","53.7% ","suppressed","61.3% ","64.9% ","51.4% ","50.9% ","60.0% ","52.6% ","6.62% ","suppressed","4.91% ","4.16% ","6.97% ","11.04% ","3.71% ","7.65% "
"II.B.4","Number of part-time employees","968,658 ","82,361 ","87,304 ","253,650*","233,372*","311,971 ","245,343 ","723,315 ","156,944 ","14,431 ","19,057 ","118,730*","77,636*","66,457 ","29,246 ","155,460 "
"II.B.4.a","Percent of number of part-time employees","968,658 ","8.5% ","9.0% ","26.2%*","24.1% ","32.2% ","25.3% ","74.7% ","156,944 ","2.00% ","2.33% ","9.52%*","6.99% ","6.64% ","4.73% ","4.73% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","83.4% ","21.7%*","36.1%*","90.2% ","98.1% ","96.6% ","41.6% ","97.7% ","3.54% ","9.53%*","12.08%*","6.04% ","1.58% ","3.36% ","7.33% ","1.61% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","16.8% ","suppressed","suppressed","2.2%*","6.6%*","35.0% ","11.7%*","17.6%*","4.92% ","suppressed","suppressed","0.81%*","3.26%*","9.77% ","5.32%*","5.63%*"
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","52.2% ","suppressed","suppressed","suppressed","suppressed","56.2% ","suppressed","53.3% ","6.72% ","suppressed","suppressed","suppressed","suppressed","6.66% ","suppressed","6.83% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","8.8%*","suppressed","suppressed","1.1%*","2.3%*","19.7%*","4.7%*","9.4%*","3.35%*","suppressed","suppressed","0.77%*","0.94%*","7.24%*","2.16%*","3.84%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,586 ","suppressed","8,255 ","8,753 ","8,370 ","8,631 ","8,336 ","8,644 ","258.62 ","suppressed","1253.61 ","493.95 ","330.85 ","389.41 ","635.18 ","283.74 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","7,343 ","suppressed","suppressed","7,936 ","9,179 ","6,125 ","7,083 ","7,450 ","697.07 ","suppressed","suppressed","1251.80 ","1072.40 ","832.21 ","662.29 ","970.01 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,750 ","suppressed","suppressed","8,894 ","7,890 ","8,980 ","8,598 ","8,779 ","286.27 ","suppressed","suppressed","635.64 ","297.28 ","364.70 ","988.28 ","283.25 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","9,010 ","suppressed","suppressed","9,256 ","9,530 ","8,753 ","9,028 ","9,004 ","372.45 ","suppressed","suppressed","644.03 ","697.06 ","579.82 ","491.89 ","458.10 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,524 ","suppressed","suppressed","8,756 ","7,793 ","8,563 ","8,469 ","8,548 ","496.07 ","suppressed","suppressed","585.21 ","408.98 ","1200.04 ","897.37 ","597.43 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","8,632 ","suppressed","8,029 ","8,739 ","8,902 ","8,654 ","8,037 ","8,700 ","254.00 ","suppressed","586.42 ","350.43 ","512.81 ","329.50 ","513.67 ","279.41 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,939 ","suppressed","2,629*","2,480 ","1,714 ","1,755 ","2,661 ","1,770 ","117.02 ","suppressed","812.77*","336.65 ","122.74 ","136.46 ","389.86 ","107.49 "
