"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","50.6% ","suppressed","8.6%*","14.4%*","66.7% ","70.4% ","16.0%*","60.2% ","5.85% ","suppressed","5.43%*","5.73%*","10.93% ","10.63% ","5.42%*","7.18% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","62.9% ","64.3% ","66.1% ","81.6% ","67.4% ","46.3% ","70.7% ","59.1% ","4.51% ","11.78% ","5.76% ","3.11% ","9.63% ","2.93% ","4.66% ","5.40% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","56.2% ","suppressed","suppressed","73.3% ","66.2% ","51.8% ","69.8% ","55.4% ","5.71% ","suppressed","suppressed","11.20% ","5.12% ","7.35% ","10.20% ","5.97% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","27,618 ","suppressed","20,524 ","25,405 ","24,655 ","29,118 ","22,978 ","28,199 ","1841.44 ","suppressed","2901.16 ","1968.05 ","2025.78 ","2158.10 ","1771.31 ","1945.70 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","25,666 ","suppressed","suppressed","suppressed","suppressed","25,503 ","27,000 ","25,430 ","1488.36 ","suppressed","suppressed","suppressed","suppressed","1700.26 ","3828.36 ","1617.11 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","28,099 ","20,613 ","suppressed","27,501 ","23,775 ","29,927 ","22,176 ","28,736 ","2176.71 ","2023.77 ","suppressed","2090.78 ","2198.86 ","2377.93 ","1962.82 ","2244.04 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","25,606 ","suppressed","suppressed","23,544 ","28,259 ","suppressed","suppressed","27,159 ","2075.07 ","suppressed","suppressed","2021.17 ","2128.05 ","suppressed","suppressed","1808.00 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","23,950 ","20,237 ","19,294 ","26,751 ","19,280 ","26,216 ","22,031 ","24,559 ","1183.06 ","1842.77 ","2799.85 ","2299.21 ","1403.19 ","1029.15 ","1809.39 ","1346.88 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","29,930 ","suppressed","suppressed","suppressed","28,308 ","30,331 ","suppressed","29,992 ","2221.30 ","suppressed","suppressed","suppressed","1525.62 ","2570.26 ","suppressed","2267.12 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","8,222 ","suppressed","suppressed","9,798 ","7,881 ","8,560 ","5,989 ","8,501 ","1320.78 ","suppressed","suppressed","2424.63 ","1279.22 ","1732.75 ","1696.77 ","1415.45 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","6,330 ","suppressed","suppressed","suppressed","14,394 ","4,833 ","suppressed","5,478 ","833.77 ","suppressed","suppressed","suppressed","1181.61 ","735.79 ","suppressed","664.99 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","8,363 ","suppressed","suppressed","suppressed","7,206 ","9,209 ","3,250*","8,913 ","1587.45 ","suppressed","suppressed","suppressed","1328.89 ","1907.93 ","1198.70*","1616.23 "
