"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","6.6% ","suppressed","0% ","9.2%*","1.2%*","13.6% ","suppressed","7.2% ","1.66% ","suppressed","0% ","5.49%*","0.75%*","3.18% ","suppressed","1.96% "
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","9,502 ","6,851 ","9,010 ","9,569 ","10,463 ","9,496 ","8,505 ","9,768 ","375.27 ","869.22 ","1086.25 ","816.14 ","783.40 ","510.89 ","891.82 ","386.41 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","10,098 ","suppressed","7,368 ","9,462 ","9,967 ","12,146 ","7,784 ","10,873 ","557.57 ","suppressed","868.72 ","715.79 ","1336.64 ","960.45 ","506.28 ","690.87 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","9,400 ","suppressed","11,093 ","9,689 ","10,619 ","9,153 ","8,917 ","9,528 ","505.75 ","suppressed","1136.32 ","1634.77 ","1074.55 ","516.61 ","1514.26 ","467.92 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","8,490 ","suppressed","suppressed","9,536 ","11,259 ","7,870 ","suppressed","8,494 ","470.06 ","suppressed","suppressed","684.31 ","586.80 ","304.87 ","suppressed","501.43 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","9,238 ","6,851 ","9,452 ","9,743 ","10,097 ","9,372 ","8,534 ","9,694 ","518.08 ","869.22 ","1104.35 ","957.66 ","691.97 ","894.02 ","977.25 ","508.33 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","9,753 ","suppressed","3,498 ","9,163 ","10,755 ","9,542 ","suppressed","9,812 ","520.78 ","suppressed","252.00 ","1512.50 ","1329.25 ","598.79 ","suppressed","537.32 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","2,350 ","suppressed","3,592 ","2,682 ","2,335 ","2,227 ","2,410 ","2,335 ","149.58 ","suppressed","786.51 ","314.88 ","312.60 ","210.78 ","426.13 ","152.99 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,438 ","suppressed","suppressed","2,399 ","suppressed","2,354 ","1,578 ","2,726 ","287.71 ","suppressed","suppressed","383.59 ","suppressed","549.23 ","366.88 ","340.69 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,355 ","suppressed","5,661 ","2,979 ","1,806 ","2,340 ","2,907 ","2,209 ","187.56 ","suppressed","661.29 ","545.65 ","177.86 ","240.25 ","724.38 ","172.79 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,092 ","suppressed","suppressed","suppressed","suppressed","1,672 ","suppressed","2,090 ","206.55 ","suppressed","suppressed","suppressed","suppressed","139.75 ","suppressed","226.19 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,511 ","suppressed","3,814 ","2,677 ","2,426 ","2,530 ","2,477 ","2,533 ","226.66 ","suppressed","813.11 ","426.63 ","390.08 ","365.75 ","470.13 ","215.28 "
"II.C.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","2,199 ","suppressed","suppressed","2,696 ","2,262 ","2,114 ","suppressed","2,216 ","201.29 ","suppressed","suppressed","315.99 ","449.60 ","260.26 ","suppressed","207.56 "
"II.C.3","Percent of total premiums contributed by employees enrolled in single coverage at establishments that offer health insurance","24.7% ","suppressed","39.9% ","28.0% ","22.3% ","23.5% ","28.3% ","23.9% ","1.59% ","suppressed","5.34% ","2.37% ","3.60% ","2.34% ","3.43% ","1.76% "
"II.C.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","24.1% ","suppressed","suppressed","25.4% ","suppressed","19.4% ","20.3% ","25.1% ","3.17% ","suppressed","suppressed","3.07% ","suppressed","3.95% ","4.77% ","3.74% "
"II.C.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","25.1% ","suppressed","51.0% ","30.7% ","17.0% ","25.6% ","32.6% ","23.2% ","1.77% ","suppressed","2.73% ","3.94% ","1.50% ","2.55% ","4.43% ","1.87% "
"II.C.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in single coverage at establishments that offer health insurance","24.6% ","suppressed","suppressed","suppressed","32.7% ","21.2% ","25.0% ","24.6% ","2.10% ","suppressed","suppressed","suppressed","6.42% ","2.52% ","2.26% ","2.34% "
"II.C.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","27.2% ","suppressed","40.4% ","27.5% ","24.0% ","27.0% ","29.0% ","26.1% ","1.80% ","suppressed","5.42% ","2.99% ","3.49% ","2.43% ","3.71% ","1.82% "
"II.C.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in single coverage at private sector establishments that offer health insurance","22.5% ","suppressed","suppressed","29.4% ","21.0% ","22.2% ","suppressed","22.6% ","2.43% ","suppressed","suppressed","3.45% ","5.50% ","2.95% ","suppressed","2.50% "
"II.C.4","Percent of employees enrolled in a health insurance plan that have single coverage","62.5% ","75.7% ","68.0% ","64.9% ","59.2% ","60.8% ","67.5% ","61.3% ","2.17% ","13.38% ","6.95% ","5.10% ","3.24% ","2.94% ","6.82% ","2.04% "
"II.C.4.a","Percent of employees enrolled in a health insurance plan that have single coverage that required no employee contribution","6.5% ","suppressed","18.6%*","6.9%*","suppressed","1.9%*","21.2%*","2.5%*","1.76% ","suppressed","8.63%*","4.30%*","suppressed","1.60%*","7.33%*","1.39%*"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","51.3% ","0% ","7.4%*","29.9%*","55.7% ","72.8% ","9.0%*","62.6% ","6.38% ","0% ","5.69%*","10.76%*","11.50% ","10.24% ","4.30%*","7.17% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","68.9% ","75.7% ","69.0% ","70.0% ","65.6% ","67.1% ","71.3% ","67.5% ","3.03% ","13.38% ","7.60% ","4.60% ","3.88% ","4.15% ","6.41% ","2.69% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","57.4% ","suppressed","58.2% ","55.5% ","54.9% ","58.8% ","suppressed","58.1% ","2.69% ","suppressed","4.06% ","9.85% ","4.36% ","3.44% ","suppressed","2.60% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","28,161 ","suppressed","22,002 ","24,581 ","33,712 ","28,146 ","23,407 ","29,510 ","1154.64 ","suppressed","1193.75 ","1682.93 ","2367.68 ","1763.86 ","1445.10 ","1356.82 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","30,139 ","suppressed","23,207 ","25,926 ","32,390 ","37,628 ","22,164 ","33,556 ","2153.12 ","suppressed","1411.56 ","2573.16 ","2457.30 ","2433.38 ","3010.36 ","2133.09 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","27,554 ","suppressed","22,220 ","22,911 ","34,064 ","26,136 ","23,797 ","28,372 ","1398.60 ","suppressed","1197.21 ","2044.10 ","3200.08 ","1570.95 ","1473.63 ","1631.21 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","27,072 ","suppressed","suppressed","suppressed","34,584 ","25,872 ","suppressed","27,886 ","1484.61 ","suppressed","suppressed","suppressed","2706.48 ","936.77 ","suppressed","1386.55 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","26,022 ","suppressed","23,031 ","26,182 ","32,105 ","25,050 ","23,276 ","28,036 ","1531.97 ","suppressed","1103.36 ","1744.22 ","2035.91 ","3965.36 ","2064.89 ","2155.35 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","29,352 ","suppressed","17,381 ","23,177 ","34,593 ","28,800 ","23,694 ","30,041 ","1542.09 ","suppressed","407.55 ","2503.80 ","3431.76 ","1866.43 ","989.15 ","1643.42 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","7,434 ","suppressed","suppressed","6,825*","8,757 ","7,359 ","5,703*","7,926 ","593.77 ","suppressed","suppressed","2216.27*","930.65 ","640.79 ","1780.52*","508.31 "
