"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","69.1% ","68.5% ","58.5% ","64.2% ","73.7% ","68.9% ","64.1% ","70.1% ","2.15% ","6.34% ","5.83% ","4.94% ","3.78% ","3.37% ","3.54% ","2.49% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","65.2% ","59.0% ","52.4% ","61.4% ","69.7% ","65.9% ","58.2% ","66.7% ","2.26% ","6.41% ","5.93% ","5.26% ","4.53% ","3.41% ","3.65% ","2.63% "
"II.B.4","Number of part-time employees","385,589 ","70,033 ","suppressed","62,661 ","74,440*","151,619 ","142,290 ","243,299 ","41,179 ","10,072 ","suppressed","13,081 ","23,284*","30,542 ","15,253 ","38,696 "
"II.B.4.a","Percent of number of part-time employees","385,589 ","18.2% ","suppressed","16.3% ","19.3% ","39.3% ","36.9% ","63.1% ","41,179 ","2.90% ","suppressed","3.35% ","5.22% ","5.68% ","4.53% ","4.53% "
"II.B.4.b","Percent of part-time employees at establishments that offer health insurance","75.1% ","23.3% ","suppressed","62.4% ","100% ","100% ","36.0% ","98.0% ","3.86% ","7.00% ","suppressed","11.64% ","0% ","0% ","6.47% ","2.00% "
"II.B.4.b.(1)","Percent of part-time employees eligible for health insurance at establishments that offer health insurance","18.0% ","suppressed","suppressed","42.2%*","9.3%*","16.5% ","36.1%*","14.1% ","3.51% ","suppressed","suppressed","13.37%*","3.99%*","4.01% ","10.96%*","2.93% "
"II.B.4.b.(1).(a)","Percent of part-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","25.8% ","suppressed","suppressed","suppressed","suppressed","29.8% ","suppressed","31.3% ","5.59% ","suppressed","suppressed","suppressed","suppressed","8.66% ","suppressed","6.74% "
"II.B.4.b.(2)","Percent of part-time employees that are enrolled in health insurance at establishments that offer health insurance","4.6% ","suppressed","1.5%*","6.3%*","3.3%*","4.9%*","5.8%*","4.4%*","1.21% ","suppressed","1.64%*","3.00%*","1.54%*","1.96%*","2.60%*","1.35%*"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","9,987 ","7,637 ","8,410 ","10,030 ","10,273 ","10,264 ","8,243 ","10,364 ","315.88 ","1212.53 ","634.37 ","699.25 ","428.75 ","534.81 ","486.14 ","364.30 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","9,236 ","suppressed","suppressed","suppressed","10,260 ","9,304 ","7,891 ","9,449 ","855.55 ","suppressed","suppressed","suppressed","527.06 ","1251.25 ","845.24 ","984.45 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","10,208 ","7,583 ","7,577 ","10,271 ","10,278 ","10,781 ","8,033 ","10,722 ","341.18 ","1477.23 ","468.29 ","875.29 ","560.50 ","508.15 ","582.79 ","375.72 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","10,245 ","suppressed","suppressed","suppressed","10,263 ","9,811 ","suppressed","10,246 ","509.65 ","suppressed","suppressed","suppressed","774.22 ","667.28 ","suppressed","527.33 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","9,144 ","7,073 ","8,693 ","10,212 ","10,116 ","6,609 ","8,078 ","9,670 ","493.24 ","1160.65 ","763.45 ","804.61 ","356.95 ","1783.28 ","567.36 ","680.51 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","10,611 ","suppressed","7,224 ","9,060 ","10,553 ","10,770 ","8,869 ","10,731 ","346.15 ","suppressed","594.16 ","835.85 ","943.07 ","394.51 ","639.41 ","363.18 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,771 ","1,695*","1,481 ","2,658 ","1,520 ","1,751 ","1,843 ","1,755 ","124.43 ","533.52*","364.06 ","260.75 ","167.98 ","204.01 ","262.19 ","140.29 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,711 ","suppressed","suppressed","suppressed","suppressed","1,412 ","suppressed","1,690 ","294.12 ","suppressed","suppressed","suppressed","suppressed","365.54 ","suppressed","320.65 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,755 ","suppressed","suppressed","2,698 ","1,178 ","1,924 ","1,913 ","1,718 ","144.33 ","suppressed","suppressed","312.39 ","164.40 ","240.08 ","304.67 ","163.42 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,004 ","suppressed","suppressed","suppressed","2,217 ","1,677 ","suppressed","2,141 ","213.99 ","suppressed","suppressed","suppressed","178.87 ","309.86 ","suppressed","209.95 "
"II.C.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for single coverage at private-sector establishments that offer health insurance","1,807 ","suppressed","suppressed","2,729 ","1,673 ","1,143*","1,809 ","1,806 ","183.83 ","suppressed","suppressed","295.14 ","240.14 ","492.47*","305.62 ","228.53 "
