"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.1","Average total single premium (in dollars) per enrolled employee at establishments that offer health insurance","8,907 ","11,363 ","9,410 ","7,787 ","8,321 ","9,135 ","9,253 ","8,822 ","212.41 ","1325.70 ","1070.24 ","476.86 ","351.91 ","273.10 ","666.61 ","204.62 "
"II.C.1.a","Average total single premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","8,269 ","suppressed","7,194 ","7,695 ","8,400 ","8,679 ","7,856 ","8,356 ","340.94 ","suppressed","529.98 ","726.01 ","717.90 ","349.16 ","638.96 ","392.48 "
"II.C.1.b","Average total single premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","8,974 ","suppressed","9,091 ","7,546 ","8,448 ","9,121 ","9,325 ","8,887 ","274.18 ","suppressed","1319.04 ","700.50 ","411.19 ","352.77 ","902.30 ","257.15 "
"II.C.1.c","Average total single premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","9,606 ","suppressed","11,672 ","suppressed","7,684 ","10,196 ","suppressed","9,281 ","677.42 ","suppressed","373.65 ","suppressed","1076.96 ","984.93 ","suppressed","743.65 "
"II.C.1.d","Average total single premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","8,705 ","suppressed","9,840 ","7,941 ","7,742 ","8,518 ","9,513 ","8,018 ","503.64 ","suppressed","1186.95 ","625.40 ","565.28 ","942.40 ","862.38 ","425.90 "
"II.C.1.e","Average total single premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","8,975 ","14,494 ","7,457 ","7,719 ","8,604 ","9,182 ","8,881 ","8,987 ","246.27 ","729.32 ","636.69 ","627.17 ","466.12 ","288.86 ","1134.27 ","240.66 "
"II.C.2","Average total employee contribution (in dollars) per enrolled employee for single coverage at establishments that offer health insurance","1,722 ","suppressed","3,092 ","1,618 ","1,399 ","1,672 ","2,206 ","1,602 ","125.34 ","suppressed","871.28 ","280.99 ","181.30 ","86.73 ","506.60 ","84.33 "
"II.C.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,487 ","suppressed","suppressed","suppressed","suppressed","1,399 ","suppressed","1,514 ","217.72 ","suppressed","suppressed","suppressed","suppressed","206.09 ","suppressed","220.50 "
"II.C.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for single coverage at establishments that offer health insurance","1,695 ","suppressed","suppressed","1,788 ","1,285 ","1,782 ","1,897 ","1,644 ","100.57 ","suppressed","suppressed","218.94 ","209.20 ","89.32 ","349.22 ","90.73 "
"II.C.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for single coverage at establishments that offer health insurance","2,280 ","suppressed","5,663 ","3,490 ","1,190 ","suppressed","suppressed","1,511 ","645.79 ","suppressed","411.76 ","234.34 ","265.93 ","suppressed","suppressed","278.21 "
