"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.B.2.l","Percent of private-sector employees working in establishments that are able to do their jobs by teleworking","32.1% ","24.4% ","14.4%*","16.0% ","29.1% ","45.6% ","19.3% ","37.7% ","4.85% ","4.05% ","4.65%*","4.03% ","4.43% ","9.50% ","2.62% ","6.46% "
"II.B.2.m","Percent of private-sector employees working in establishments that telework on a regular basis","23.4% ","16.0% ","8.9%*","8.7%*","16.5% ","37.7% ","12.5% ","28.2% ","5.35% ","3.13% ","3.71%*","2.87%*","4.96% ","10.61% ","2.03% ","7.28% "
"II.B.3","Number of full-time employees","1,357,042 ","139,092 ","125,711 ","175,760 ","318,527 ","597,953 ","358,311 ","998,731 ","125,439 ","15,746 ","23,705 ","25,358 ","40,483 ","117,693 ","28,479 ","123,320 "
"II.B.3.a","Percent of number of full-time employees","1,357,042 ","10.2% ","9.3% ","13.0% ","23.5% ","44.1% ","26.4% ","73.6% ","125,439 ","1.43% ","1.84% ","2.06% ","3.25% ","5.22% ","2.91% ","2.91% "
"II.B.3.b","Percent of full-time employees at establishments that offer health insurance","87.8% ","45.0% ","68.0% ","91.8% ","99.0% ","94.7% ","63.4% ","96.5% ","2.05% ","7.10% ","8.85% ","3.30% ","0.59% ","3.10% ","4.70% ","1.85% "
"II.B.3.b.(1)","Percent of full-time employees eligible for health insurance at establishments that offer health insurance","94.5% ","97.6% ","95.6% ","98.3% ","88.9% ","96.0% ","96.7% ","94.0% ","1.83% ","2.01% ","2.19% ","0.52% ","5.91% ","1.54% ","1.04% ","2.26% "
"II.B.3.b.(1).(a)","Percent of full-time employees eligible for health insurance that are enrolled in health insurance at establishments that offer health insurance","72.5% ","73.8% ","77.2% ","74.6% ","76.7% ","68.9% ","73.5% ","72.2% ","3.50% ","6.54% ","7.15% ","6.19% ","3.08% ","6.06% ","3.75% ","4.22% "
"II.B.3.b.(2)","Percent of full-time employees that are enrolled in health insurance at establishments that offer health insurance","68.5% ","72.0% ","73.8% ","73.3% ","68.2% ","66.1% ","71.1% ","67.9% ","3.26% ","6.25% ","7.12% ","6.09% ","4.98% ","5.49% ","3.67% ","3.88% "
"II.B.4","Number of part-time employees","310,647 ","80,394 ","39,943 ","44,884 ","58,036 ","87,390 ","153,539 ","157,108 ","25,961 ","10,226 ","8,682 ","9,242 ","14,591 ","16,094 ","14,275 ","21,992 "
"II.B.4.a","Percent of number of part-time employees","310,647 ","25.9% ","12.9% ","14.4% ","18.7% ","28.1% ","49.4% ","50.6% ","25,961 ","3.24% ","2.73% ","2.83% ","4.10% ","4.25% ","4.24% ","4.24% "
