"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","30.2% ","suppressed","suppressed","67.7% ","suppressed","suppressed","suppressed","26.4% ","5.66% ","suppressed","suppressed","1.25% ","suppressed","suppressed","suppressed","5.15% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","44.7% ","suppressed","56.7% ","54.1% ","suppressed","suppressed","45.6% ","44.1% ","4.24% ","suppressed","5.98% ","3.32% ","suppressed","suppressed","7.84% ","4.83% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","23.8% ","suppressed","81.7% ","suppressed","28.8% ","21.1% ","74.5% ","22.8% ","1.79% ","suppressed","0.53% ","suppressed","3.78% ","1.63% ","5.38% ","1.67% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","23.2% ","29.7%*","16.8% ","19.9% ","17.7% ","27.5% ","18.9% ","24.2% ","1.91% ","10.36%*","2.27% ","5.54% ","3.62% ","2.31% ","3.72% ","2.17% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","2.9%*","suppressed","suppressed","0% ","0% ","0% ","18.6%*","0% ","1.78%*","suppressed","suppressed","0% ","0% ","0% ","10.95%*","0% "
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","65.0% ","suppressed","suppressed","10.2%*","72.8% ","89.6% ","12.4%*","74.6% ","6.16% ","suppressed","suppressed","6.83%*","10.22% ","4.80% ","4.84%*","6.69% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","19.9% ","29.5%*","16.6% ","19.6%*","14.1%*","22.1% ","18.6% ","20.7% ","3.04% ","10.79%*","1.81% ","6.10%*","4.29%*","4.14% ","4.10% ","4.23% "
"II.D.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that have family coverage","25.5% ","suppressed","suppressed","suppressed","19.6% ","28.3% ","suppressed","25.6% ","2.52% ","suppressed","suppressed","suppressed","5.25% ","2.57% ","suppressed","2.60% "
"II.E.1","Average total employee-plus-one premium (in dollars) per enrolled employee at establishments that offer health insurance","17,941 ","21,197 ","16,181 ","17,657 ","17,821 ","18,022 ","18,432 ","17,872 ","586.59 ","1800.60 ","2802.75 ","967.33 ","1136.74 ","888.17 ","1275.26 ","648.65 "
"II.E.1.d","Average total employee-plus-one premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","16,917 ","21,197 ","suppressed","17,717 ","16,281 ","13,700 ","18,957 ","15,713 ","1027.69 ","1800.60 ","suppressed","1023.17 ","2097.33 ","2227.68 ","1321.39 ","1241.40 "
"II.E.1.e","Average total employee-plus-one premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","18,404 ","suppressed","suppressed","suppressed","18,173 ","18,638 ","suppressed","18,492 ","600.65 ","suppressed","suppressed","suppressed","1142.51 ","700.94 ","suppressed","595.98 "
"II.E.2","Average total employee contribution (in dollars) per enrolled employee for employee-plus-one coverage at establishments that offer health insurance","5,033 ","suppressed","8,350 ","6,659 ","4,574 ","4,266 ","7,519 ","4,682 ","338.99 ","suppressed","1477.10 ","1173.08 ","348.42 ","335.98 ","1156.19 ","335.25 "
