"Table No.","Table Description","Total","Less than 10 employees","10-24 employees","25-99 employees","100-999 employees","1000 or more employees","Less than 50 employees","50 or more employees","Std. Err. Total","Std. Err. Less than 10 employees","Std. Err. 10-24 employees","Std. Err. 25-99 employees","Std. Err. 100-999 employees","Std. Err. 1000 or more employees","Std. Err. Less than 50 employees","Std. Err. 50 or more employees"
"II.C.4.b","Percent of private-sector employees enrolled in a health insurance plan that have single coverage that are enrolled in a self-insured plan","61.2% ","suppressed","16.0%*","10.5%*","47.2% ","80.3% ","13.3%*","68.4% ","4.72% ","suppressed","8.46%*","4.82%*","9.14% ","7.32% ","4.91%*","5.41% "
"II.C.5","Percent of private-sector employees enrolled in a purchased health insurance plan that take single coverage","67.8% ","72.2% ","64.3% ","65.1% ","73.7% ","65.0% ","66.3% ","68.4% ","2.62% ","11.65% ","5.50% ","4.97% ","3.08% ","4.82% ","4.93% ","3.17% "
"II.C.6","Percent of private-sector employees enrolled in a self-insured health insurance plan that take single coverage","58.7% ","suppressed","suppressed","suppressed","63.9% ","57.8% ","63.8% ","58.6% ","1.98% ","suppressed","suppressed","suppressed","11.66% ","1.25% ","9.98% ","2.01% "
"II.D.1","Average total family premium (in dollars) per enrolled employee at establishments that offer health insurance","25,396 ","suppressed","27,173 ","24,675 ","27,515 ","24,993 ","24,957 ","25,454 ","982.59 ","suppressed","2052.43 ","2417.67 ","2439.79 ","1184.36 ","1433.66 ","1095.27 "
"II.D.1.a","Average total family premium (in dollars) for exclusive-provider plans per enrolled employee at establishments that offer health insurance","22,927 ","suppressed","suppressed","25,777 ","22,573 ","22,133 ","24,921 ","22,559 ","2811.93 ","suppressed","suppressed","1238.73 ","1548.83 ","4226.87 ","1930.39 ","3252.50 "
"II.D.1.b","Average total family premium (in dollars) for mixed-provider plans per enrolled employee at establishments that offer health insurance","26,370 ","suppressed","29,093 ","23,804 ","29,893 ","25,781 ","25,439 ","26,466 ","975.65 ","suppressed","1799.00 ","4352.53 ","2327.46 ","916.80 ","2209.02 ","1049.54 "
"II.D.1.c","Average total family premium (in dollars) for any-provider plans per enrolled employee at establishments that offer health insurance","24,355 ","suppressed","suppressed","suppressed","22,636 ","25,495 ","suppressed","24,588 ","1157.01 ","suppressed","suppressed","suppressed","2086.95 ","1570.40 ","suppressed","1228.78 "
"II.D.1.d","Average total family premium (in dollars) for purchased plans per enrolled employee at private-sector establishments that offer health insurance","24,404 ","suppressed","26,969 ","23,590 ","24,389 ","23,882 ","25,505 ","23,864 ","883.38 ","suppressed","2051.56 ","2365.42 ","896.09 ","1428.53 ","1558.20 ","982.52 "
"II.D.1.e","Average total family premium (in dollars) for self-insured plans per enrolled employee at private-sector establishments that offer health insurance","25,821 ","suppressed","suppressed","suppressed","29,725 ","25,184 ","suppressed","25,922 ","1334.88 ","suppressed","suppressed","suppressed","2683.29 ","1365.05 ","suppressed","1364.13 "
"II.D.2","Average total employee contribution (in dollars) per enrolled employee for family coverage at establishments that offer health insurance","7,976 ","suppressed","suppressed","14,470 ","8,991 ","7,101 ","10,263 ","7,676 ","513.25 ","suppressed","suppressed","2832.62 ","1498.66 ","443.78 ","2771.72 ","427.76 "
"II.D.2.a","Average total employee contribution (in dollars) for exclusive-provider plans per enrolled employee for family coverage at establishments that offer health insurance","8,718 ","suppressed","suppressed","suppressed","9,546 ","6,107 ","suppressed","7,240 ","1662.01 ","suppressed","suppressed","suppressed","1145.92 ","951.83 ","suppressed","944.75 "
"II.D.2.b","Average total employee contribution (in dollars) for mixed-provider plans per enrolled employee for family coverage at establishments that offer health insurance","7,552 ","suppressed","suppressed","10,882 ","8,103 ","7,188 ","suppressed","7,500 ","480.21 ","suppressed","suppressed","1794.54 ","1818.57 ","462.85 ","suppressed","485.38 "
"II.D.2.c","Average total employee contribution (in dollars) for any-provider plans per enrolled employee for family coverage at establishments that offer health insurance","9,206 ","suppressed","suppressed","suppressed","12,522 ","8,907 ","suppressed","10,087 ","1134.94 ","suppressed","suppressed","suppressed","1783.12 ","1574.77 ","suppressed","1232.13 "
"II.D.2.d","Average total employee contribution (in dollars) for purchased plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","9,999 ","suppressed","suppressed","13,913 ","12,355 ","7,101 ","11,159 ","9,430 ","1305.62 ","suppressed","suppressed","3276.39 ","1832.57 ","466.90 ","3115.17 ","1037.99 "
"II.D.2.e","Average total employee contribution (in dollars) for self-insured plans per enrolled employee for family coverage at private-sector establishments that offer health insurance","7,110 ","suppressed","suppressed","suppressed","6,614 ","7,101 ","suppressed","7,160 ","471.29 ","suppressed","suppressed","suppressed","873.18 ","510.61 ","suppressed","477.22 "
"II.D.3","Percent of total premiums contributed (in dollars) by employees enrolled in family coverage at establishments that offer health insurance","31.4% ","suppressed","suppressed","58.6% ","32.7% ","28.4% ","41.1% ","30.2% ","2.17% ","suppressed","suppressed","10.63% ","7.88% ","1.73% ","10.42% ","1.91% "
"II.D.3.a","Percent of total premiums for exclusive-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","38.0% ","suppressed","59.5% ","suppressed","42.3% ","27.6% ","suppressed","32.1% ","5.90% ","suppressed","2.97% ","suppressed","5.21% ","2.74% ","suppressed","2.70% "
"II.D.3.b","Percent of total premiums for mixed-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","28.6% ","suppressed","suppressed","45.7% ","27.1% ","27.9% ","suppressed","28.3% ","2.09% ","suppressed","suppressed","6.88% ","7.78% ","1.78% ","suppressed","2.14% "
"II.D.3.c","Percent of total premiums for any-provider plans contributed by employees enrolled in family coverage at establishments that offer health insurance","37.8% ","suppressed","suppressed","suppressed","55.3% ","34.9% ","suppressed","41.0% ","5.35% ","suppressed","suppressed","suppressed","4.63% ","7.89% ","suppressed","6.18% "
"II.D.3.d","Percent of total premiums for purchased plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","41.0% ","suppressed","suppressed","59.0% ","50.7% ","29.7% ","43.8% ","39.5% ","4.82% ","suppressed","suppressed","12.66% ","6.82% ","2.05% ","11.53% ","3.75% "
"II.D.3.e","Percent of total premiums for self-insured plans contributed by employees enrolled in family coverage at private-sector establishments that offer health insurance","27.5% ","suppressed","suppressed","suppressed","22.3% ","28.2% ","suppressed","27.6% ","2.03% ","suppressed","suppressed","suppressed","4.67% ","1.96% ","suppressed","2.06% "
"II.D.4","Percent of employees enrolled in a health insurance plan that have family coverage","20.9% ","suppressed","20.4% ","21.7% ","17.4% ","22.3% ","19.7% ","21.1% ","1.27% ","suppressed","4.19% ","4.56% ","4.98% ","1.11% ","3.59% ","1.36% "
"II.D.4.a","Percent of employees enrolled in a health insurance plan that have family coverage that required no employee contribution","3.4%*","suppressed","suppressed","0% ","1.5%*","0.1%*","26.5%*","0.3%*","1.22%*","suppressed","suppressed","0% ","1.19%*","0.10%*","9.70%*","0.21%*"
"II.D.4.b","Percent of private-sector employees enrolled in a health insurance plan that have family coverage that are enrolled in a self-insured plan","70.0% ","suppressed","suppressed","13.1%*","58.6% ","85.4% ","14.8%*","77.3% ","5.76% ","suppressed","suppressed","7.36%*","17.02% ","7.64% ","7.31%*","6.24% "
"II.D.5","Percent of private-sector employees enrolled in a purchased health insurance plan that have family coverage","17.7% ","suppressed","21.8% ","21.3% ","14.6% ","18.2% ","19.4% ","16.9% ","1.73% ","suppressed","4.64% ","5.11% ","2.33% ","2.63% ","3.91% ","1.90% "
